ClubID,ClubNombre,LigaCodigo,AliasSalarios,AliasRating,AliasRend,LigaID
1,Alavés,La_liga,Alaves,Deportivo Alaves,Alavés,1
2,Almería,La_liga,Almeria,Almeria,Almería,1
3,Athletic Club,La_liga,Athletic Club,Athletic Club,Athletic Club,1
4,Atlético Madrid,La_liga,Atletico Madrid,Atletico,Atlético Madrid,1
5,Barcelona,La_liga,Barcelona,Barcelona,Barcelona,1
6,Cádiz,La_liga,Cadiz,Cadiz,Cádiz,1
7,Celta Vigo,La_liga,Celta Vigo,Celta Vigo,Celta Vigo,1
8,Elche,La_liga,Elche,Elche,Elche,1
9,Espanyol,La_liga,Espanyol,Espanyol,Espanyol,1
10,Getafe,La_liga,Getafe,Getafe,Getafe,1
11,Girona,La_liga,Girona,Girona,Girona,1
12,Granada,La_liga,Granada,Granada,Granada,1
13,Las Palmas,La_liga,Las Palmas,Las Palmas,Las Palmas,1
14,Leganés,La_liga,Leganes,Leganes,Leganés,1
15,Levante,La_liga,Levante,Levante,Levante,1
16,Mallorca,La_liga,Mallorca,Mallorca,Mallorca,1
17,Osasuna,La_liga,Osasuna,Osasuna,Osasuna,1
18,Rayo Vallecano,La_liga,Rayo Vallecano,Rayo Vallecano,Rayo Vallecano,1
19,Real Betis,La_liga,Real Betis,Real Betis,Real Betis,1
20,Real Madrid,La_liga,Real Madrid,Real Madrid,Real Madrid,1
21,Real Oviedo,La_liga,Real Oviedo,Real Oviedo,Real Oviedo,1
22,Real Sociedad,La_liga,Real Sociedad,Real Sociedad,Real Sociedad,1
23,Real Valladolid,La_liga,Real Valladolid,Real Valladolid,Real Valladolid,1
24,Sevilla,La_liga,Sevilla,Sevilla,Sevilla,1
25,Valencia,La_liga,Valencia,Valencia,Valencia,1
26,Villarreal,La_liga,Villarreal,Villarreal,Villarreal,1
27,Arsenal,Premier,Arsenal,Arsenal,Arsenal,2
28,Aston Villa,Premier,Aston Villa,Aston Villa,Aston Villa,2
29,Bournemouth,Premier,Bournemouth,Bournemouth,Bournemouth,2
30,Brentford,Premier,Brentford,Brentford,Brentford,2
31,Brighton,Premier,Brighton,Brighton,Brighton,2
32,Burnley,Premier,Burnley,Burnley,Burnley,2
33,Chelsea,Premier,Chelsea,Chelsea,Chelsea,2
34,Crystal Palace,Premier,Crystal Palace,Crystal Palace,Crystal Palace,2
35,Everton,Premier,Everton,Everton,Everton,2
36,Fulham,Premier,Fulham,Fulham,Fulham,2
37,Ipswich Town,Premier,Ipswich Town,Ipswich,Ipswich Town,2
38,Leeds United,Premier,Leeds,Leeds,Leeds United,2
39,Leicester City,Premier,Leicester,Leicester,Leicester City,2
40,Liverpool,Premier,Liverpool,Liverpool,Liverpool,2
41,Luton Town,Premier,Luton Town,Luton,Luton Town,2
42,Manchester City,Premier,Manchester City,Man City,Manchester City,2
43,Manchester United,Premier,Manchester United,Man Utd,Manchester Utd,2
44,Newcastle,Premier,Newcastle,Newcastle,Newcastle United,2
45,Nottingham Forest,Premier,Nottingham Forest,Nottingham Forest,Nottingham Forest,2
46,Sheffield United,Premier,Sheffield United,Sheff Utd,Sheffield United,2
