PlayerID,PlayerNorm,ClubID,Temporada,Player,Age,Country,Position
1,aaron anselmino,33,2024-2025,Aaron Anselmino,19.0,ar ARG,DF
2,aaron anselmino,123,2025-2026,Aarón Anselmino,20.0,Argentina,D
3,aaron ciammaglichella,99,2022-2023,Aaron Ciammaglichella,17.0,it ITA,MF
4,aaron ciammaglichella,99,2023-2024,Aaron Ciammaglichella,18.0,it ITA,MF
5,aaron ciammaglichella,99,2024-2025,Aaron Ciammaglichella,19.0,it ITA,MF
6,aaron cresswell,50,2022-2023,Aaron Cresswell,32.0,eng ENG,DF
7,aaron cresswell,50,2023-2024,Aaron Cresswell,33.0,eng ENG,DF
8,aaron cresswell,50,2024-2025,Aaron Cresswell,34.0,eng ENG,DF
9,aaron escandell,13,2023-2024,Aarón Escandell,27.0,es ESP,GK
10,aaron escandell,21,2025-2026,Aarón Escandell,30.0,Spain,K
11,aaron hickey,30,2022-2023,Aaron Hickey,20.0,sct SCO,DF
12,aaron hickey,30,2023-2024,Aaron Hickey,21.0,sct SCO,"DF,MF"
13,aaron hickey,30,2024-2025,Aaron Hickey,22.0,sct SCO,"DF,MF"
14,aaron hickey,30,2025-2026,Aaron Hickey,23.0,Scotland,D
15,aaron loupalo-bi,36,2025-2026,Aaron Loupalo-Bi,20.0,England,F
16,aaron malouda,109,2023-2024,Aaron Malouda,17.0,fr FRA,FW
17,aaron malouda,109,2024-2025,Aaron Malouda,18.0,fr FRA,FW
18,aaron martin,66,2022-2023,Aarón Martín,25.0,es ESP,"MF,DF"
19,aaron martin,84,2023-2024,Aarón Martín,26.0,es ESP,"MF,DF"
20,aaron martin,84,2024-2025,Aarón Martín,27.0,es ESP,"DF,MF"
21,aaron martin,84,2025-2026,Aarón Martín,28.0,Spain,D
22,aaron ramsdale,27,2022-2023,Aaron Ramsdale,24.0,eng ENG,GK
23,aaron ramsdale,27,2023-2024,Aaron Ramsdale,25.0,eng ENG,GK
24,aaron ramsdale,27,2024-2025,Aaron Ramsdale,26.0,eng ENG,GK
25,aaron ramsdale,44,2025-2026,Aaron Ramsdale,27.0,England,K
26,aaron ramsdale,47,2024-2025,Aaron Ramsdale,26.0,eng ENG,GK
