PlayerID,ClubID,LigaID,TemporadaID,Rating,Mins,Goals,Assists,Starts,SubsIn,TotalApps
1336,4,1,1,7.69,2863,15.0,16.0,31,7,38
7496,20,1,1,7.53,2044,19.0,3.0,24,0,24
12108,5,1,1,7.49,2852,23.0,7.0,33,1,34
8104,16,1,1,7.38,90,,,1,0,1
14064,20,1,1,7.35,2833,10.0,9.0,32,1,33
12232,20,1,1,7.26,2382,9.0,8.0,25,9,34
9897,5,1,1,7.23,116,1.0,,2,0,2
11478,5,1,1,7.2,1983,6.0,1.0,22,4,26
7073,9,1,1,7.15,2989,16.0,2.0,33,1,34
4780,5,1,1,7.15,2539,2.0,4.0,29,4,33
4955,26,1,1,7.14,1260,,,14,0,14
11184,5,1,1,7.14,1416,5.0,7.0,16,9,25
10077,22,1,1,7.13,2500,2.0,9.0,28,5,33
5134,6,1,1,7.1,1126,4.0,1.0,13,1,14
8071,16,1,1,7.09,2841,6.0,6.0,33,3,36
4376,20,1,1,7.08,2509,7.0,4.0,29,5,34
12815,9,1,1,7.08,3325,6.0,3.0,38,0,38
3998,10,1,1,7.07,2986,14.0,3.0,35,0,35
7217,26,1,1,7.06,1960,1.0,,22,2,24
5775,18,1,1,7.05,2990,9.0,5.0,36,1,37
11847,5,1,1,7.04,2087,7.0,7.0,25,11,36
13737,20,1,1,7.04,2164,2.0,4.0,25,5,30
450,11,1,1,7.04,2341,1.0,5.0,26,4,30
1648,20,1,1,7.04,2120,,4.0,24,9,33
3161,6,1,1,7.04,360,,,4,0,4
6435,6,1,1,7.03,3060,,,34,0,34
3707,20,1,1,7.03,2703,5.0,,30,3,33
13977,16,1,1,7.01,2953,15.0,3.0,34,1,35
12841,5,1,1,6.99,2347,,4.0,28,2,30
13260,22,1,1,6.98,2452,9.0,4.0,29,6,35
5204,19,1,1,6.98,2878,1.0,,33,1,34
7025,25,1,1,6.98,2716,1.0,3.0,31,0,31
6236,7,1,1,6.98,3163,,3.0,36,1,37
7277,5,1,1,6.97,2429,1.0,3.0,28,1,29
7055,4,1,1,6.96,2421,2.0,1.0,26,2,28
2902,26,1,1,6.96,3289,3.0,4.0,37,0,37
9021,20,1,1,6.94,1436,9.0,6.0,15,16,31
13398,20,1,1,6.94,2790,,,31,0,31
4943,26,1,1,6.94,1227,7.0,3.0,14,7,21
2086,22,1,1,6.93,2418,8.0,4.0,28,6,34
8279,24,1,1,6.92,1448,1.0,,16,3,19
5508,7,1,1,6.91,2868,12.0,3.0,31,6,37
14038,11,1,1,6.91,1494,3.0,6.0,17,2,19
12302,5,1,1,6.91,1802,,2.0,21,1,22
14449,26,1,1,6.91,2465,4.0,5.0,31,5,36
8535,2,1,1,6.91,2860,2.0,7.0,34,3,37
11951,4,1,1,6.91,1860,,,22,0,22
4396,19,1,1,6.9,90,,,1,0,1
458,5,1,1,6.9,2477,1.0,6.0,30,3,33
10643,3,1,1,6.89,2675,6.0,4.0,32,4,36
12548,26,1,1,6.89,2350,6.0,5.0,27,10,37
2669,19,1,1,6.88,1080,,,12,0,12
1401,16,1,1,6.88,2767,2.0,3.0,31,0,31
10701,26,1,1,6.87,1603,12.0,4.0,16,10,26
1703,19,1,1,6.87,1395,3.0,1.0,17,2,19
8979,5,1,1,6.85,3349,,,38,0,38
14380,4,1,1,6.85,2330,7.0,3.0,26,9,35
13854,2,1,1,6.85,242,2.0,,3,0,3
732,22,1,1,6.85,2398,12.0,3.0,28,6,34
3204,22,1,1,6.85,1958,2.0,5.0,25,3,28
910,4,1,1,6.85,1906,13.0,2.0,23,13,36
4947,5,1,1,6.85,383,,,5,2,7
334,17,1,1,6.85,1890,,,21,0,21
1054,25,1,1,6.84,2552,2.0,4.0,29,5,34
3205,10,1,1,6.84,3420,,,38,0,38
4884,5,1,1,6.84,2543,2.0,4.0,30,6,36
655,19,1,1,6.83,1350,,3.0,15,0,15
5705,3,1,1,6.83,2853,10.0,3.0,34,2,36
6962,23,1,1,6.83,2508,,,28,0,28
5068,26,1,1,6.82,1130,2.0,3.0,14,8,22
6960,5,1,1,6.82,1423,2.0,3.0,14,10,24
1132,5,1,1,6.82,1767,1.0,1.0,22,1,23
901,18,1,1,6.82,2890,5.0,5.0,34,1,35
4787,7,1,1,6.82,2308,11.0,4.0,28,8,36
5717,3,1,1,6.81,1339,1.0,,15,0,15
12577,25,1,1,6.81,2897,6.0,1.0,33,5,38
7234,19,1,1,6.81,1475,3.0,2.0,16,5,21
9099,4,1,1,6.81,1712,1.0,2.0,21,1,22
12213,4,1,1,6.81,1935,2.0,7.0,24,6,30
11412,26,1,1,6.8,3055,1.0,,34,0,34
222,2,1,1,6.8,1477,4.0,3.0,18,11,29
1438,23,1,1,6.8,212,1.0,,3,0,3
14559,3,1,1,6.79,2408,1.0,1.0,27,2,29
14441,3,1,1,6.79,2337,1.0,1.0,27,1,28
10430,4,1,1,6.79,2872,4.0,2.0,33,0,33
8476,8,1,1,6.79,2475,7.0,2.0,29,6,35
5904,6,1,1,6.79,2204,,1.0,25,2,27
12773,23,1,1,6.79,270,2.0,1.0,3,4,7
3763,20,1,1,6.78,2003,,1.0,21,16,37
14535,19,1,1,6.78,1681,1.0,1.0,19,4,23
11238,16,1,1,6.78,2980,2.0,4.0,34,1,35
9087,24,1,1,6.78,1917,3.0,2.0,21,9,30
6239,25,1,1,6.77,603,1.0,,6,4,10
11300,24,1,1,6.77,1177,1.0,3.0,15,1,16
12631,18,1,1,6.77,2470,3.0,2.0,29,6,35
3159,17,1,1,6.77,2684,2.0,,31,1,32
12174,22,1,1,6.76,2795,,,31,2,33
3605,16,1,1,6.76,90,,,1,0,1
5899,4,1,1,6.76,923,,,11,2,13
3168,11,1,1,6.75,1658,3.0,1.0,19,1,20
5146,23,1,1,6.75,2310,1.0,5.0,26,8,34
3467,22,1,1,6.75,1647,,,18,2,20
705,22,1,1,6.74,154,1.0,,2,0,2
2888,20,1,1,6.74,1568,,4.0,19,11,30
4937,8,1,1,6.74,2745,1.0,6.0,31,4,35
609,3,1,1,6.74,2304,4.0,1.0,26,11,37
2740,16,1,1,6.74,2215,1.0,,27,1,28
11058,10,1,1,6.74,2051,1.0,1.0,23,2,25
1504,11,1,1,6.74,2737,3.0,4.0,32,1,33
3444,25,1,1,6.74,448,3.0,1.0,5,5,10
4951,19,1,1,6.74,2515,,,29,2,31
13887,7,1,1,6.74,3151,,,35,1,36
3718,8,1,1,6.73,3240,,,36,0,36
4444,9,1,1,6.73,1440,,,16,0,16
5642,3,1,1,6.72,1692,,3.0,19,11,30
11273,6,1,1,6.72,3123,,4.0,35,1,36
10984,3,1,1,6.72,2555,10.0,2.0,32,4,36
9172,4,1,1,6.72,2111,3.0,2.0,24,2,26
6587,4,1,1,6.72,651,4.0,3.0,7,7,14
14226,19,1,1,6.72,2454,3.0,,31,2,33
224,9,1,1,6.72,34,,,0,1,1
7842,4,1,1,6.72,2560,,3.0,30,3,33
4638,18,1,1,6.72,3409,2.0,3.0,38,0,38
4152,26,1,1,6.72,1958,3.0,,22,6,28
12846,19,1,1,6.72,2417,4.0,3.0,28,3,31
13149,4,1,1,6.72,1946,,,22,0,22
2813,23,1,1,6.71,1471,8.0,3.0,16,3,19
8540,17,1,1,6.71,2489,1.0,,31,2,33
8517,24,1,1,6.71,1163,4.0,,11,8,19
672,22,1,1,6.71,3420,,,38,0,38
2326,6,1,1,6.71,24,,1.0,0,1,1
13933,11,1,1,6.71,2618,13.0,,33,2,35
10234,17,1,1,6.71,2458,3.0,2.0,28,5,33
9343,22,1,1,6.71,3102,1.0,3.0,35,1,36
5380,5,1,1,6.71,141,,,1,2,3
11111,11,1,1,6.71,2952,2.0,,33,0,33
8548,20,1,1,6.7,1141,4.0,1.0,12,11,23
4049,25,1,1,6.7,1675,1.0,,19,4,23
12389,19,1,1,6.7,2340,,,26,0,26
3779,2,1,1,6.7,1275,7.0,2.0,15,6,21
1283,17,1,1,6.7,1811,8.0,,22,9,31
11456,11,1,1,6.69,2520,,,28,0,28
11700,16,1,1,6.69,3240,,,36,0,36
8620,2,1,1,6.69,1498,4.0,4.0,18,3,21
10397,19,1,1,6.69,970,2.0,2.0,12,3,15
12852,23,1,1,6.69,1442,1.0,,17,6,23
348,19,1,1,6.68,1451,,,15,11,26
14068,9,1,1,6.68,2434,1.0,1.0,27,7,34
13405,25,1,1,6.68,2015,,,24,3,27
12371,6,1,1,6.68,2471,3.0,2.0,28,5,33
6149,4,1,1,6.67,2493,,,28,0,28
11074,8,1,1,6.67,2450,,1.0,28,0,28
10555,24,1,1,6.67,2779,3.0,1.0,31,3,34
5723,16,1,1,6.67,2457,,1.0,28,2,30
13225,24,1,1,6.67,1063,2.0,4.0,10,15,25
9242,24,1,1,6.66,1268,,,13,2,15
7408,25,1,1,6.66,1452,6.0,,15,11,26
11128,3,1,1,6.66,2824,1.0,6.0,32,5,37
4439,2,1,1,6.66,3286,,,37,0,37
1456,17,1,1,6.66,1791,,1.0,20,3,23
809,26,1,1,6.65,1636,,3.0,20,6,26
45,17,1,1,6.65,1516,4.0,2.0,19,9,28
11876,26,1,1,6.65,2120,,,24,1,25
8645,20,1,1,6.65,1746,4.0,3.0,19,14,33
8625,19,1,1,6.65,1769,,,22,1,23
12826,5,1,1,6.65,1309,4.0,1.0,15,8,23
10317,25,1,1,6.65,2449,3.0,,28,1,29
7080,7,1,1,6.65,3121,3.0,,35,0,35
5616,22,1,1,6.64,2547,1.0,1.0,29,2,31
8628,19,1,1,6.64,1816,1.0,3.0,21,12,33
1025,22,1,1,6.64,874,3.0,1.0,9,14,23
5487,7,1,1,6.64,2171,,1.0,26,0,26
11150,18,1,1,6.64,2164,3.0,4.0,28,6,34
2530,6,1,1,6.64,707,1.0,,7,8,15
13449,4,1,1,6.63,1259,1.0,3.0,17,10,27
10085,3,1,1,6.63,2576,3.0,3.0,28,8,36
2315,8,1,1,6.63,2647,,1.0,31,1,32
2032,19,1,1,6.63,2385,15.0,3.0,29,6,35
316,17,1,1,6.63,2023,3.0,6.0,23,8,31
12229,11,1,1,6.63,2188,4.0,4.0,25,9,34
8603,10,1,1,6.63,1862,,3.0,22,5,27
9338,16,1,1,6.62,2659,,,30,0,30
9895,4,1,1,6.62,269,4.0,,3,5,8
2345,25,1,1,6.62,243,1.0,,3,0,3
10403,20,1,1,6.62,1632,1.0,1.0,18,9,27
4356,8,1,1,6.62,90,,,1,0,1
616,8,1,1,6.62,725,1.0,1.0,8,7,15
4081,5,1,1,6.62,1414,1.0,,15,9,24
310,22,1,1,6.62,1758,,1.0,20,3,23
2402,25,1,1,6.62,1364,,,14,3,17
8890,16,1,1,6.61,713,1.0,,9,3,12
7753,17,1,1,6.61,1316,1.0,6.0,15,12,27
885,23,1,1,6.61,12,,,0,1,1
8091,2,1,1,6.61,1746,5.0,2.0,24,4,28
465,18,1,1,6.61,3105,1.0,1.0,35,0,35
330,26,1,1,6.61,1460,,,16,5,21
2145,9,1,1,6.6,2413,1.0,7.0,29,1,30
2416,9,1,1,6.6,1589,3.0,,18,2,20
2909,16,1,1,6.6,2115,3.0,6.0,26,9,35
7033,9,1,1,6.6,461,1.0,,5,4,9
13855,22,1,1,6.6,83,1.0,,1,1,2
2286,7,1,1,6.6,2150,3.0,5.0,23,12,35
6290,23,1,1,6.59,1612,1.0,,19,6,25
13353,6,1,1,6.59,1951,4.0,3.0,24,7,31
11155,18,1,1,6.59,2564,,,29,5,34
606,26,1,1,6.59,1947,6.0,2.0,19,16,35
9316,19,1,1,6.59,456,,,6,0,6
2511,17,1,1,6.59,1724,8.0,2.0,23,6,29
2914,3,1,1,6.59,2374,1.0,,26,3,29
10621,25,1,1,6.59,1410,1.0,1.0,18,8,26
12822,6,1,1,6.59,1176,3.0,,14,3,17
614,2,1,1,6.59,1124,1.0,2.0,12,4,16
3127,20,1,1,6.58,1841,1.0,3.0,21,2,23
12638,11,1,1,6.58,3012,,1.0,34,0,34
13345,8,1,1,6.58,2073,4.0,,23,9,32
11523,26,1,1,6.58,1980,,,22,0,22
5140,2,1,1,6.58,1877,4.0,3.0,24,3,27
3720,19,1,1,6.58,1770,,,18,7,25
4422,20,1,1,6.58,1359,,1.0,17,1,18
4714,7,1,1,6.57,1898,,4.0,21,15,36
4433,24,1,1,6.57,1581,,1.0,19,3,22
12531,25,1,1,6.57,1371,4.0,,17,8,25
7762,23,1,1,6.57,2319,1.0,2.0,28,8,36
4577,18,1,1,6.57,2570,4.0,,31,0,31
5886,23,1,1,6.57,1122,1.0,1.0,13,12,25
12198,19,1,1,6.57,1610,2.0,3.0,19,11,30
5770,24,1,1,6.57,803,,2.0,10,2,12
10022,11,1,1,6.57,2400,2.0,3.0,27,7,34
5856,23,1,1,6.56,1776,,,18,4,22
9292,9,1,1,6.56,2468,10.0,2.0,29,2,31
12681,4,1,1,6.56,1091,3.0,1.0,11,20,31
10559,10,1,1,6.55,2069,,,26,3,29
14511,24,1,1,6.55,1660,8.0,1.0,17,14,31
12534,2,1,1,6.55,1988,1.0,2.0,22,10,32
4902,4,1,1,6.55,1001,,2.0,11,10,21
11035,24,1,1,6.55,2149,3.0,1.0,27,5,32
8035,2,1,1,6.55,711,6.0,,7,12,19
5866,11,1,1,6.55,1592,3.0,3.0,18,6,24
1275,5,1,1,6.55,1382,7.0,3.0,12,24,36
2028,11,1,1,6.55,686,1.0,,10,1,11
1677,4,1,1,6.55,2255,,,25,8,33
5713,3,1,1,6.54,1323,,1.0,14,6,20
1606,22,1,1,6.54,1077,1.0,,13,11,24
2845,10,1,1,6.54,1961,1.0,1.0,26,2,28
12842,18,1,1,6.54,2412,6.0,5.0,27,11,38
6972,26,1,1,6.54,503,,,5,5,10
12859,17,1,1,6.54,1530,,,17,0,17
6270,23,1,1,6.54,2395,1.0,,28,4,32
4443,2,1,1,6.54,90,,,1,0,1
11808,26,1,1,6.54,824,1.0,1.0,11,5,16
690,22,1,1,6.54,346,,,3,7,10
