PlayerID,ClubID,LigaID,TemporadaID,MP,Mins,Starts,Nineties,Goals,Assists,GoalsAssists,GoalsNoPK,PK,PKAtt,YellowCards,RedCards,PointsPerMatch,OnGoals,OnGoalsAgainst,PlusMinus,PlusMinus90,OnOff
118,19,1,1,13,607.0,7,6.7,,,,,,,,,1.08,7.0,10.0,-3.0,-0.44,-0.7
885,23,1,1,1,13.0,0,0.1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.79
9087,24,1,1,30,1912.0,21,21.2,,,,,,,,,1.33,28.0,34.0,-6.0,-0.28,-0.22
7272,3,1,1,8,675.0,7,7.5,,,,,,,,,0.75,5.0,6.0,-1.0,-0.13,-0.3
888,23,1,1,34,1888.0,18,21.0,,,,,,,,,1.15,19.0,36.0,-17.0,-0.81,-0.05
7080,7,1,1,35,3119.0,35,34.7,,,,,,,,,1.14,40.0,48.0,-8.0,-0.23,0.37
12833,2,1,1,29,2297.0,27,25.5,,,,,,,,,0.93,31.0,45.0,-14.0,-0.55,-0.39
1720,23,1,1,1,11.0,0,0.1,,,,,,,,,0.0,0.0,1.0,-1.0,-8.18,-7.42
11419,19,1,1,12,447.0,3,5.0,,,,,,,,,1.67,2.0,6.0,-4.0,-0.81,-1.08
3127,20,1,1,23,1838.0,21,20.4,,,,,,,,,2.3,49.0,18.0,31.0,1.52,1.06
1232,5,1,1,4,25.0,0,0.3,,,,,,,,,2.25,0.0,0.0,0.0,0.0,-1.33
13665,6,1,1,4,223.0,2,2.5,,,,,,,,,0.0,0.0,7.0,-7.0,-2.83,-2.37
6960,5,1,1,24,1419.0,14,15.8,,,,,,,,,2.17,27.0,8.0,19.0,1.21,-0.19
11876,26,1,1,25,2119.0,24,23.5,,,,,,,,,1.52,29.0,23.0,6.0,0.25,-0.64
12335,6,1,1,31,2043.0,22,22.7,,,,,,,,,1.29,18.0,26.0,-8.0,-0.35,0.63
11058,10,1,1,25,2047.0,23,22.7,,,,,,,,,1.04,19.0,24.0,-5.0,-0.22,0.17
5844,6,1,1,31,1311.0,13,14.6,,,,,,,,,1.06,8.0,26.0,-18.0,-1.24,-1.02
2282,10,1,1,35,2119.0,26,23.5,,,,,,,,,1.0,17.0,27.0,-10.0,-0.42,-0.36
457,8,1,1,1,15.0,0,0.2,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.98
1233,10,1,1,26,1138.0,11,12.6,,,,,,,,,1.19,17.0,15.0,2.0,0.16,0.67
10170,22,1,1,19,587.0,5,6.5,,,,,,,,,1.89,11.0,9.0,2.0,0.31,-0.14
3580,25,1,1,34,2539.0,29,28.2,,,,,,,,,1.15,30.0,32.0,-2.0,-0.07,0.03
10445,6,1,1,0,,0,,,,,,,,,,,,,,,
7003,19,1,1,0,,0,,,,,,,,,,,,,,,
9089,5,1,1,24,1172.0,11,13.0,,,,,,,,,2.29,22.0,11.0,11.0,0.84,-0.72
2301,24,1,1,1,10.0,0,0.1,,,,,,,,,3.0,0.0,1.0,-1.0,-9.0,-8.84
4870,10,1,1,22,1501.0,16,16.7,,,,,,,,,1.41,17.0,15.0,2.0,0.12,0.73
5453,7,1,1,0,,0,,,,,,,,,,,,,,,
5629,26,1,1,0,,0,,,,,,,,,,,,,,,
14441,3,1,1,28,2332.0,27,25.9,,,,,,,,,1.5,33.0,30.0,3.0,0.12,0.03
