Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Omar Marmoush,Eintracht Frankfurt,8.23,1454,15.0,9.0,17
Michael Olise,Bayern,7.74,2348,12.0,15.0,28(6)
Harry Kane,Bayern,7.72,2391,26.0,8.0,28(3)
Jamal Musiala,Bayern,7.56,1807,12.0,2.0,21(4)
Florian Wirtz,Leverkusen,7.5,2357,10.0,12.0,25(6)
Joshua Kimmich,Bayern,7.38,2847,3.0,6.0,32(1)
Tim KleindienstBorussia M.,Gladbach,7.35,2744,16.0,7.0,31
Xavi SimonsRBL,Desconocido,7.32,2157,10.0,7.0,25
Hugo Ekitiké,Eintracht Frankfurt,7.31,2582,15.0,8.0,31(2)
Serhou Guirassy,Borussia Dortmund,7.3,2601,21.0,2.0,29(1)
Maximilian Mittelstädt,Stuttgart,7.22,2476,1.0,7.0,28(3)
Dayot Upamecano,Bayern,7.22,1763,2.0,,20
Nadiem Amiri,Mainz,7.2,2485,7.0,5.0,30
Franck HonoratBorussia M.,Gladbach,7.2,1455,4.0,7.0,18(1)
Mohamed SimakanRBL,Desconocido,7.14,55,,,1
Tom Bischof,Hoffenheim,7.12,2567,5.0,2.0,30(1)
Ritsu Doan,Freiburg,7.12,2876,10.0,7.0,33(1)
Moritz Jenz,Mainz,7.1,1602,,,18(1)
Tiago Pereira CardosoBorussia M.,Gladbach,7.1,378,,,4(1)
Willi OrbánRBL,Desconocido,7.08,2224,5.0,,25
Alphonso Davies,Bayern,7.08,1562,1.0,2.0,17(2)
Leroy Sané,Bayern,7.07,1634,11.0,5.0,17(13)
Nathaniel Brown,Eintracht Frankfurt,7.06,1954,3.0,6.0,22(4)
Stefan Bell,Mainz,7.06,1435,,1.0,15(3)
Vincenzo Grifo,Freiburg,7.05,2454,8.0,11.0,31(3)
Diogo Leite,Union Berlin,7.03,2548,1.0,2.0,29(1)
Alejandro Grimaldo,Leverkusen,7.02,2647,2.0,7.0,31(1)
Mohammed Amoura,Wolfsburg,7.01,2485,10.0,9.0,29(2)
Kingsley Coman,Bayern,7.0,1285,5.0,4.0,14(14)
Jens Stage,Werder Bremen,6.99,2213,10.0,5.0,26(2)
Kim Min-Jae,Bayern,6.98,2289,2.0,,27
Romano Schmid,Werder Bremen,6.98,2846,5.0,4.0,32
Marius Müller,Wolfsburg,6.97,474,,,5(1)
Rasmus Kristensen,Eintracht Frankfurt,6.97,2516,5.0,3.0,28(2)
Marvin Ducksch,Werder Bremen,6.97,2439,8.0,8.0,30(2)
Patrick MainkaFC,Heidenheim,6.97,3060,1.0,,34
