Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Thibaut Courtois,Real Madrid,7.82,333,,,4
Jude Bellingham,Real Madrid,7.81,2324,19.0,6.0,27(1)
Samu Aghehowa,Granada,7.5,81,1.0,,1
Vinícius Júnior,Real Madrid,7.41,1875,15.0,5.0,22(4)
Isco,Real Betis,7.4,2340,8.0,5.0,28(1)
Savinho,Girona,7.29,2992,9.0,10.0,35(2)
Alexander Sørloth,Villarreal,7.23,2493,23.0,6.0,30(4)
Antoine Griezmann,Atletico,7.23,2654,16.0,6.0,31(2)
Antal Yaakobishvili,Girona,7.22,61,,,0(1)
Dominik Greif,Mallorca,7.2,90,,,1
Robert Lewandowski,Barcelona,7.2,2759,19.0,8.0,32(3)
Mikel Merino,Real Sociedad,7.18,2485,5.0,3.0,27(5)
Juanma Herzog,Las Palmas,7.16,291,2.0,,3(1)
Nico Williams,Athletic Club,7.16,2283,5.0,11.0,29(2)
Iñaki Williams,Athletic Club,7.15,2856,12.0,3.0,32(2)
Gorka Guruzeta,Athletic Club,7.15,2241,14.0,5.0,30(2)
Ilkay Gündogan,Barcelona,7.15,2998,5.0,9.0,33(3)
Rodrygo,Real Madrid,7.14,2391,10.0,5.0,28(6)
Gerard Moreno,Villarreal,7.13,2232,10.0,6.0,28(2)
Frenkie de Jong,Barcelona,7.12,1644,2.0,,20
Toni Kroos,Real Madrid,7.12,2130,1.0,8.0,24(9)
Federico Valverde,Real Madrid,7.12,2911,2.0,7.0,33(4)
Jaume Domènech,Valencia,7.12,74,,,1(1)
Yangel Herrera,Girona,7.11,2121,5.0,,27(2)
Lamine Yamal,Barcelona,7.11,2200,5.0,5.0,22(15)
Takefusa Kubo,Real Sociedad,7.11,2155,7.0,4.0,24(6)
João Cancelo,Barcelona,7.09,2506,2.0,4.0,29(3)
Gavi,Barcelona,7.08,943,1.0,1.0,10(2)
Artem Dovbyk,Girona,7.08,2606,24.0,8.0,32(4)
Aleix García,Girona,7.08,3201,3.0,6.0,36(1)
Sergio Ramos,Sevilla,7.06,2518,3.0,,28
Brahim Díaz,Real Madrid,7.06,1553,8.0,6.0,18(13)
Johnny Cardoso,Real Betis,7.06,1332,1.0,2.0,15(2)
Ante Budimir,Osasuna,7.06,2449,17.0,2.0,29(4)
Arda Güler,Real Madrid,7.04,373,6.0,,4(6)
Pepelu,Valencia,7.04,3305,7.0,1.0,37
Antonio Raíllo,Mallorca,7.03,2203,3.0,2.0,25(1)
Yannick Carrasco,Atletico,7.03,223,,1.0,3
Fran Vieites,Real Betis,7.01,315,,,3(1)
Iago Aspas,Celta Vigo,7.01,2716,9.0,10.0,31(4)
Ayoze Pérez,Real Betis,7.0,2309,9.0,1.0,29(2)
Aurélien Tchouaméni,Real Madrid,7.0,1987,3.0,1.0,22(5)
Viktor Tsygankov,Girona,6.99,2067,8.0,7.0,26(4)
Raphinha,Barcelona,6.99,1373,6.0,9.0,17(11)
Eduardo Camavinga,Real Madrid,6.98,1826,,2.0,21(10)
Pablo Fornals,Real Betis,6.98,1155,3.0,2.0,14(1)
Álex Baena,Villarreal,6.97,2599,2.0,14.0,33(1)
Pichu,Mallorca,6.96,90,,,1
Juan Foyth,Villarreal,6.96,1062,1.0,1.0,12
Ivan Rakitic,Sevilla,6.95,1426,2.0,1.0,16(2)
Borja Mayoral,Getafe,6.95,2165,15.0,1.0,25(2)
Jesús Owono,Deportivo Alaves,6.94,360,,,4
Andrii Lunin,Real Madrid,6.94,1890,,,21
Lucas Ocampos,Sevilla,6.93,2887,4.0,3.0,34(1)
Yerson Mosquera,Villarreal,6.93,1229,2.0,1.0,14(2)
Dani Carvajal,Real Madrid,6.92,2177,4.0,3.0,25(3)
Paulo Gazzaniga,Girona,6.92,3420,,,38
Samuel Lino,Atletico,6.91,2092,4.0,5.0,25(9)
Loïc Badé,Sevilla,6.91,2284,,1.0,27(1)
Bryan Zaragoza,Granada,6.91,1640,6.0,2.0,18(3)
Brais Méndez,Real Sociedad,6.91,2422,5.0,6.0,27(5)
Luka Modric,Real Madrid,6.9,1688,2.0,6.0,18(14)
Eric García,Girona,6.88,2641,5.0,,30
Martín Zubimendi,Real Sociedad,6.88,2655,4.0,1.0,29(2)
Pedri,Barcelona,6.87,1476,4.0,2.0,16(8)
Mason Greenwood,Getafe,6.87,2668,8.0,6.0,30(3)
Jules Koundé,Barcelona,6.86,2899,1.0,2.0,32(3)
Sergi Cardona,Las Palmas,6.86,2816,1.0,2.0,30(5)
Álvaro Morata,Atletico,6.85,1912,15.0,3.0,21(11)
João Félix,Barcelona,6.85,1544,7.0,3.0,18(12)
Marc Pubill,Almeria,6.85,1889,1.0,3.0,22(1)
Vedat Muriqi,Mallorca,6.84,2330,7.0,2.0,25(4)
Carlos Vicente,Deportivo Alaves,6.84,1121,2.0,4.0,12(6)
Lucas Vázquez,Real Madrid,6.84,1412,3.0,6.0,14(15)
Youssef En-Nesyri,Sevilla,6.84,2576,16.0,2.0,28(5)
Yéremy Pino,Villarreal,6.83,481,,,7
Álvaro Valles,Las Palmas,6.83,3264,,,37
Miguel Gutiérrez,Girona,6.83,3037,2.0,7.0,35
Yuri Berchiche,Athletic Club,6.83,1934,3.0,1.0,22(5)
Isaac Romero,Sevilla,6.82,1050,4.0,4.0,14
Cristian Rivero,Valencia,6.82,56,,,0(1)
Jørgen Strand Larsen,Celta Vigo,6.82,2889,13.0,3.0,36(1)
Claudio Bravo,Real Betis,6.81,630,,,7
Diego Rico,Getafe,6.81,2538,,7.0,28(4)
Germán Pezzella,Real Betis,6.81,2771,1.0,,32
Marc-André ter Stegen,Barcelona,6.8,2520,,,28
Óscar De Marcos,Athletic Club,6.8,2263,1.0,5.0,26(2)
Guido Rodríguez,Real Betis,6.8,1852,2.0,,22(2)
Lucas Robertone,Almeria,6.8,2392,,5.0,29(4)
Renato Tapia,Celta Vigo,6.8,1338,,,15(6)
Daley Blind,Girona,6.8,2972,1.0,2.0,33(1)
Pablo Barrios,Atletico,6.79,1559,,1.0,17(7)
Giorgi Mamardashvili,Valencia,6.79,3289,,,37
Unai Simón,Athletic Club,6.79,3184,,,36
Iván Martín,Girona,6.79,2747,5.0,4.0,33(3)
Filip Jörgensen,Villarreal,6.79,3240,,,36
Hugo Álvarez,Celta Vigo,6.79,763,1.0,1.0,8(4)
Íñigo Ruíz de Galarreta,Athletic Club,6.78,2106,1.0,1.0,25(4)
Carl Starfelt,Celta Vigo,6.78,2221,1.0,,26(1)
Rodrigo De Paul,Atletico,6.77,2088,3.0,5.0,25(9)
Robin Le Normand,Real Sociedad,6.77,2473,2.0,,28(1)
Aitor Ruibal,Real Betis,6.77,1018,2.0,1.0,11(7)
Pau Cubarsí,Barcelona,6.77,1563,,,18(1)
Javi Galán,Real Sociedad,6.77,1076,,1.0,13(1)
Jonathan Bamba,Celta Vigo,6.76,1997,3.0,2.0,24(3)
Lucas Boyé,Granada,6.76,2555,6.0,3.0,30(1)
Luiz Henrique,Real Betis,6.76,612,,3.0,6(8)
Ronald Araujo,Barcelona,6.75,1996,1.0,2.0,21(4)
Sergi Roberto,Barcelona,6.75,864,3.0,2.0,10(4)
David Gil,Cadiz,6.75,371,,,4(1)
David Alaba,Real Madrid,6.75,1156,,1.0,14
Kepa Arrizabalaga,Real Madrid,6.74,1197,,,13(1)
Nemanja Maksimovic,Getafe,6.74,3272,4.0,,37
Ørjan Nyland,Sevilla,6.74,2160,,,24
Mario Hermoso,Atletico,6.74,2558,,1.0,29(2)
