Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Armand Laurienté,Lorient,8.61,269,1.0,,3
Lionel MessiPSG,Desconocido,8.28,2842,16.0,16.0,32
Kylian MbappéPSG,Desconocido,7.8,2822,29.0,5.0,32(2)
Martin Terrier,Rennes,7.71,1330,9.0,4.0,16
NeymarPSG,Desconocido,7.71,1553,13.0,11.0,18(2)
Sofiane Diop,Monaco,7.56,66,1.0,,1
Dango Ouattara,Lorient,7.44,1552,6.0,5.0,18
Alexandre Lacazette,Lyon,7.42,2938,27.0,5.0,34(1)
Rémy Cabella,Lille,7.38,2535,7.0,10.0,28(4)
Lucas Paquetá,Lyon,7.32,161,,,2
Téji Savanier,Montpellier,7.28,2557,12.0,4.0,30
Enzo Le Fée,Lorient,7.26,3039,5.0,5.0,35
Romain Faivre,Lorient,7.22,1253,5.0,3.0,14(2)
Terem Moffi,Nice,7.21,1334,6.0,3.0,15(1)
Joaquín Blázquez,Brest,7.19,90,,,1
Jonathan David,Lille,7.18,3179,24.0,4.0,36(1)
Benjamin André,Lille,7.16,2919,1.0,1.0,33(1)
Benjamin Lecomte,Montpellier,7.15,1710,,,19
Benjamin Bourigeaud,Rennes,7.15,3084,7.0,10.0,37
Issiaga Sylla,Montpellier,7.15,1306,1.0,3.0,15
Florian Sotoca,Lens,7.13,3064,7.0,9.0,34(4)
Amine Gouiri,Rennes,7.12,2532,15.0,3.0,29(4)
Gaëtan Laborde,Nice,7.12,2514,13.0,3.0,28(5)
Aleksandr Golovin,Monaco,7.11,2484,8.0,7.0,29(5)
Seko Fofana,Lens,7.1,3079,7.0,5.0,34(1)
Kiki Kouyaté,Montpellier,7.1,1259,,,15
Ghjuvanni QuilichiniAC,Ajaccio,7.1,81,,,0(1)
Andrei Girotto,Nantes,7.09,3153,1.0,1.0,36
Edon Zhegrova,Lille,7.08,1056,3.0,4.0,11(11)
Donovan Léon,Auxerre,7.08,180,,,2
Branco van den Boomen,Toulouse,7.08,2893,5.0,8.0,32(3)
Jérémy Doku,Rennes,7.08,1287,6.0,2.0,13(16)
Jean-Ricner Bellegarde,Strasbourg,7.07,2428,2.0,6.0,29(1)
Steve Mounié,Brest,7.07,1662,6.0,,20(3)
Wissam Ben Yedder,Monaco,7.07,2130,19.0,6.0,28(4)
Fabien Centonze,Nantes,7.06,1693,,,19(4)
Nathan Ngoumou,Toulouse,7.06,90,,,1
Sofiane Boufal,Angers,7.06,838,4.0,3.0,9(4)
