Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Asmir Begovic,Everton,7.82,90,,,1
Kevin De Bruyne,Man City,7.58,2425,7.0,16.0,28(4)
Stefan Ortega,Man City,7.56,270,,,3
Erling Haaland,Man City,7.54,2779,36.0,8.0,33(2)
Harry Kane,Tottenham,7.51,3408,30.0,3.0,38
Bruno Fernandes,Man Utd,7.44,3320,8.0,8.0,37
Gabriel Jesus,Arsenal,7.42,2075,11.0,6.0,24(2)
Kieran Trippier,Newcastle,7.41,3348,1.0,7.0,38
Bukayo Saka,Arsenal,7.4,3195,14.0,11.0,37(1)
Solly March,Brighton,7.38,2728,7.0,7.0,31(2)
Jack Grealish,Man City,7.33,2064,5.0,7.0,23(5)
Martin Ødegaard,Arsenal,7.29,3149,15.0,7.0,37
Rodri,Man City,7.26,2921,2.0,6.0,34(2)
Gabriel Martinelli,Arsenal,7.25,2806,15.0,5.0,34(2)
Ivan Toney,Brentford,7.25,2955,20.0,4.0,33
Joelinton,Newcastle,7.25,2664,6.0,1.0,30(2)
James Maddison,Leicester,7.24,2486,10.0,9.0,28(2)
Rodrigo Bentancur,Tottenham,7.22,1506,5.0,2.0,17(1)
Bruno Guimarães,Newcastle,7.21,2735,4.0,5.0,32
Casemiro,Man Utd,7.17,2126,4.0,3.0,24(4)
Mohamed Salah,Liverpool,7.17,3297,19.0,12.0,37(1)
Phil Foden,Man City,7.13,1844,11.0,5.0,22(10)
Ilkay Gündogan,Man City,7.11,2359,8.0,4.0,27(4)
Trent Alexander-Arnold,Liverpool,7.11,2932,2.0,9.0,34(3)
Ethan Pinnock,Brentford,7.11,2700,3.0,,30
Aleksandar Mitrovic,Fulham,7.08,2015,14.0,1.0,23(1)
Marcus Rashford,Man Utd,7.08,2890,17.0,5.0,32(3)
Reece James,Chelsea,7.07,1244,1.0,1.0,14(2)
Thomas Partey,Arsenal,7.06,2487,3.0,,28(5)
Felipe,Nottingham Forest,7.06,1419,,1.0,15(1)
Cody Gakpo,Liverpool,7.06,1465,7.0,2.0,17(4)
Alexander Isak,Newcastle,7.06,1527,10.0,1.0,17(5)
João Cancelo,Man City,7.05,1279,2.0,1.0,16(1)
Alexis Mac Allister,Brighton,7.05,2886,10.0,2.0,31(4)
Fabian Schär,Newcastle,7.05,3209,1.0,3.0,36
Declan Rice,West Ham,7.02,3272,4.0,2.0,36(1)
Pierre-Emile Højbjerg,Tottenham,7.02,3133,4.0,5.0,35
Eberechi Eze,Crystal Palace,7.02,2644,10.0,4.0,30(8)
Riyad Mahrez,Man City,7.01,1924,5.0,10.0,22(8)
Bryan Mbeumo,Brentford,7.01,2931,9.0,8.0,36(2)
Yerry Mina,Everton,7.01,596,2.0,,7
Kaoru Mitoma,Brighton,7.0,2318,7.0,5.0,24(9)
Pascal Groß,Brighton,7.0,3246,9.0,8.0,37
Michael Olise,Crystal Palace,6.99,2757,2.0,11.0,31(6)
Dwight McNeil,Everton,6.99,2502,7.0,3.0,28(8)
Willian,Fulham,6.99,2144,5.0,5.0,25(2)
Leandro Trossard,Brighton,6.99,1326,7.0,2.0,16
Ben Mee,Brentford,6.98,3272,3.0,2.0,37
Kenny Tete,Fulham,6.98,2575,1.0,5.0,29(2)
Granit Xhaka,Arsenal,6.98,3004,7.0,7.0,36(1)
Lucas Paquetá,West Ham,6.98,2171,4.0,3.0,27(1)
Martin Dúbravka,Newcastle,6.98,156,,,1(1)
James Tarkowski,Everton,6.97,3420,1.0,1.0,38
Luis Díaz,Liverpool,6.97,997,4.0,2.0,11(6)
Ollie Watkins,Aston Villa,6.96,3136,15.0,6.0,36(1)
Diogo Dalot,Man Utd,6.96,2155,1.0,2.0,24(2)
Pedro Porro,Tottenham,6.96,1138,3.0,3.0,13(2)
Marcus Tavernier,Bournemouth,6.95,1749,5.0,4.0,19(4)
Rúben Neves,Wolves,6.95,3022,6.0,1.0,33(2)
James Ward-Prowse,Southampton,6.95,3373,9.0,4.0,38
David Raya,Brentford,6.95,3420,,,38
Thiago Silva,Chelsea,6.95,2352,,2.0,26(1)
Son Heung-Min,Tottenham,6.95,2899,10.0,6.0,33(3)
N'Golo Kanté,Chelsea,6.95,520,,1.0,6(1)
Virgil van Dijk,Liverpool,6.94,2836,3.0,1.0,32
João Palhinha,Fulham,6.93,3113,3.0,,35
Aaron Wan-Bissaka,Man Utd,6.93,1436,,,16(3)
Douglas Luiz,Aston Villa,6.93,2933,6.0,6.0,33(4)
Alisson Becker,Liverpool,6.92,3330,,1.0,37
Bernd Leno,Fulham,6.92,3240,,,36
Callum Wilson,Newcastle,6.92,1887,18.0,5.0,21(10)
Moisés Caicedo,Brighton,6.92,3141,1.0,1.0,34(3)
Miguel Almirón,Newcastle,6.91,2508,11.0,2.0,29(5)
Benoît Badiashile,Chelsea,6.91,904,1.0,,10(1)
Wesley Fofana,Leicester,6.9,180,,,2
Christian Nørgaard,Brentford,6.9,1771,1.0,3.0,21(1)
Lewis Hall,Chelsea,6.9,658,,,8(1)
Luke Shaw,Man Utd,6.9,2558,1.0,2.0,30(1)
Joe Willock,Newcastle,6.88,2578,3.0,6.0,31(4)
Emiliano Martínez,Aston Villa,6.87,3141,,,36
Oleksandr Zinchenko,Arsenal,6.86,2135,1.0,2.0,26(1)
Jacob Ramsey,Aston Villa,6.86,2647,6.0,7.0,31(4)
Roberto Firmino,Liverpool,6.85,1213,11.0,4.0,13(12)
Sèrge Aurier,Nottingham Forest,6.85,1949,1.0,,22(2)
Leandro Trossard,Arsenal,6.84,930,1.0,10.0,10(10)
Gabriel Magalhães,Arsenal,6.84,3411,3.0,,38
Lisandro Martínez,Man Utd,6.84,2117,1.0,,24(3)
Morgan Gibbs-White,Nottingham Forest,6.83,2978,5.0,8.0,34(1)
Kalidou Koulibaly,Chelsea,6.83,1801,2.0,1.0,20(3)
Jadon Sancho,Man Utd,6.82,1699,6.0,3.0,21(5)
Çaglar Söyüncü,Leicester,6.82,529,1.0,,6(1)
Philip Billing,Bournemouth,6.82,2787,7.0,1.0,34(2)
Antony,Man Utd,6.82,1819,4.0,2.0,23(2)
Michael Keane,Everton,6.82,983,1.0,2.0,10(2)
Alex Iwobi,Everton,6.82,3382,2.0,7.0,38
Thiago Alcântara,Liverpool,6.82,1256,,,14(4)
Wilfried Zaha,Crystal Palace,6.82,2295,7.0,2.0,27
