Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Salvatore Sirigu,Fiorentina,7.63,90,,,1
Victor Osimhen,Napoli,7.45,2583,26.0,4.0,30(2)
Khvicha Kvaratskhelia,Napoli,7.43,2541,12.0,10.0,30(4)
Francesco Bardi,Bologna,7.36,90,,,1
Sergej Milinkovic-Savic,Lazio,7.24,3030,9.0,8.0,34(2)
Paulo Dybala,Roma,7.2,1752,12.0,6.0,22(4)
Rafael LeãoAC,Milan,7.19,2434,15.0,8.0,28(7)
Lautaro Martínez,Inter,7.18,2577,21.0,6.0,27(11)
Mattia Zaccagni,Lazio,7.16,2783,10.0,6.0,33(2)
Domenico Berardi,Sassuolo,7.15,1872,12.0,7.0,22(4)
Armand Laurienté,Sassuolo,7.11,2191,7.0,6.0,27(1)
Adrien Rabiot,Juventus,7.11,2751,8.0,4.0,31(1)
Teun Koopmeiners,Atalanta,7.11,2861,10.0,4.0,32(1)
Lorenzo Pellegrini,Roma,7.09,2558,4.0,5.0,29(3)
Felipe Anderson,Lazio,7.09,2969,9.0,2.0,35(3)
Mário Rui,Napoli,7.09,1763,,6.0,21(1)
Lucas Martínez Quarta,Fiorentina,7.08,2173,1.0,1.0,25(2)
Hakan Çalhanoglu,Inter,7.07,2375,3.0,6.0,28(5)
Kim Min-Jae,Napoli,7.07,3055,2.0,2.0,35
Gerard Deulofeu,Udinese,7.06,1219,2.0,6.0,15(1)
Giovanni Di Lorenzo,Napoli,7.04,3257,3.0,4.0,36(1)
Danilo,Juventus,7.04,3182,3.0,3.0,35(2)
Frank Anguissa,Napoli,7.03,3062,3.0,5.0,36
Simone Perilli,Verona,7.0,90,,,1
Carlos Augusto,Monza,6.99,3087,6.0,5.0,35
Luis Alberto,Lazio,6.98,2444,6.0,7.0,27(8)
Stefan Posch,Bologna,6.96,2541,6.0,2.0,30
Romelu Lukaku,Inter,6.96,1663,10.0,6.0,19(6)
Ismaël BennacerAC,Milan,6.96,2015,2.0,2.0,24(4)
Martin Turk,Sampdoria,6.96,360,,,4
Nicolò Barella,Inter,6.94,2622,6.0,6.0,31(4)
Armando Izzo,Monza,6.93,2475,1.0,,29(1)
Piotr Zielinski,Napoli,6.93,2306,3.0,8.0,27(10)
Fabiano Parisi,Empoli,6.93,2835,2.0,,33
Nicolás Domínguez,Bologna,6.92,2309,3.0,2.0,26(5)
Cristiano Biraghi,Fiorentina,6.92,2556,2.0,4.0,30(3)
Bremer,Juventus,6.92,2640,4.0,1.0,30
Chris Smalling,Roma,6.91,2808,3.0,1.0,31(1)
Pierluigi Gollini,Fiorentina,6.91,270,,,3
Sandro TonaliAC,Milan,6.91,2721,2.0,7.0,30(4)
Ademola Lookman,Atalanta,6.91,1737,13.0,6.0,20(11)
Ivan Provedel,Lazio,6.89,3412,,,37(1)
Fikayo TomoriAC,Milan,6.89,2765,1.0,1.0,32(1)
Juan Cuadrado,Juventus,6.89,2090,1.0,3.0,24(7)
Olivier GiroudAC,Milan,6.88,2148,13.0,5.0,25(8)
Manuel Locatelli,Juventus,6.88,2460,,2.0,29(3)
Boulaye Dia,Salernitana,6.88,2527,16.0,6.0,27(6)
