Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Harry KaneBayern, 32, AM(C),FW","Harry Kane Bayern, 32, AM(C),FW",32,2844,36,8,2,-,4.6,73.6,0.9,8,7.82
"2Serhou GuirassyStuttgart, 30, AM(L),FW","Serhou Guirassy Stuttgart, 30, AM(L),FW",25(3),2214,28,2,-,-,3.3,81.4,2.3,8,7.73
"3Leroy SanéBayern, 30, M(CLR),FW","Leroy Sané Bayern, 30, M(CLR),FW",25(2),2142,8,11,4,-,2.7,84.4,0.1,2,7.68
"4Jamal MusialaBayern, 23, M(CLR)","Jamal Musiala Bayern, 23, M(CLR)",20(4),1767,10,6,2,-,2.4,81.9,0.3,4,7.65
"5Alejandro GrimaldoLeverkusen, 30, D(L),M(L)","Alejandro Grimaldo Leverkusen, 30, D(L),M(L)",31(2),2787,10,13,1,-,2.2,87.2,0.4,7,7.58
"6Xavi SimonsRBL, 23, AM(CLR),FW","Xavi Simons RBL, 23, AM(CLR),FW",32,2675,8,11,9,1,2.5,82.0,0.6,6,7.58
"7Florian WirtzLeverkusen, 22, AM(CLR),FW","Florian Wirtz Leverkusen, 22, AM(CLR),FW",26(6),2384,11,11,3,-,2.2,84.6,0.3,5,7.5
"8Victor BonifaceLeverkusen, 25, FW","Victor Boniface Leverkusen, 25, FW",18(5),1554,14,8,2,-,3.5,73.0,1.2,3,7.49
"9Nadiem AmiriMainz, 29, M(CLR),FW","Nadiem Amiri Mainz, 29, M(CLR),FW",15,1319,1,4,5,-,2.4,78.4,0.7,2,7.47
"10Deniz UndavStuttgart, 29, AM(C),FW","Deniz Undav Stuttgart, 29, AM(C),FW",23(7),2100,18,9,5,-,3.6,75.4,0.6,5,7.45
"11Fabian BredlowStuttgart, 31, GK","Fabian Bredlow Stuttgart, 31, GK",4,360,-,-,-,-,-,73.8,0.3,-,7.38
"12Matej KovárLeverkusen, 25, GK","Matej Kovár Leverkusen, 25, GK",1,90,-,-,-,-,-,100.0,-,-,7.33
"13Exequiel PalaciosLeverkusen, 27, M(C)","Exequiel Palacios Leverkusen, 27, M(C)",21(3),1841,4,5,6,-,0.9,92.1,0.4,-,7.32
"14Niklas BesteFC Heidenheim, 27, D(L),M(CLR)","Niklas Beste FC Heidenheim, 27, D(L),M(CLR)",31,2625,8,11,4,-,1.6,67.2,0.3,7,7.32
"15Loïs OpendaRBL, 26, AM(C),FW","Loïs Openda RBL, 26, AM(C),FW",33(1),2716,24,7,4,-,3.6,69.2,0.7,6,7.32
"16Maximilian MittelstädtStuttgart, 29, D(L),M(CL)","Maximilian Mittelstädt Stuttgart, 29, D(L),M(CL)",23(8),2106,2,4,5,-,0.7,87.7,1,3,7.28
"17David RaumRBL, 28, D(L),M(LR)","David Raum RBL, 28, D(L),M(LR)",31,2745,2,8,6,-,0.5,80.6,0.9,2,7.2
"18Kevin StögerBochum, 32, M(CL)","Kevin Stöger Bochum, 32, M(CL)",32,2679,7,9,8,-,2.3,71.8,0.3,4,7.19
"19Dani OlmoRBL, 27, AM(CLR),FW","Dani Olmo RBL, 27, AM(CLR),FW",17(4),1455,4,5,-,-,2.1,79.6,0.6,1,7.17
"20Andrej KramaricHoffenheim, 34, AM(CLR),FW","Andrej Kramaric Hoffenheim, 34, AM(CLR),FW",25(5),2207,15,6,4,-,2.3,84.2,0.3,2,7.17
"21Chris FührichStuttgart, 28, M(CLR),FW","Chris Führich Stuttgart, 28, M(CLR),FW",33(1),2595,8,7,2,-,1.6,86.0,0.1,2,7.15
"22Alphonso DaviesBayern, 25, D(L),M(LR)","Alphonso Davies Bayern, 25, D(L),M(LR)",24(5),2067,2,5,-,-,0.4,88.9,0.5,1,7.13
"23Kingsley ComanBayern, 29, M(LR),FW","Kingsley Coman Bayern, 29, M(LR),FW",15(2),1123,3,3,1,-,2,87.9,0.4,2,7.13
"24Granit XhakaLeverkusen, 33, D(L),M(C)","Granit Xhaka Leverkusen, 33, D(L),M(C)",32(1),2828,3,-,5,-,1.4,92.1,0.8,-,7.13
"25Joshua KimmichBayern, 31, D(CR),DMC,M(R)","Joshua Kimmich Bayern, 31, D(CR),DMC,M(R)",27(1),2186,1,6,1,1,0.9,91.3,0.2,2,7.13
"26Omar MarmoushEintracht Frankfurt, 27, AM(CL),FW","Omar Marmoush Eintracht Frankfurt, 27, AM(CL),FW",27(2),2311,12,6,7,-,2.7,73.4,1,4,7.11
"27Jonas HofmannLeverkusen, 33, D(R),M(CLR),FW","Jonas Hofmann Leverkusen, 33, D(R),M(CLR),FW",26(6),2215,5,7,3,-,1.9,84.5,0.1,2,7.11
"28Kjell WätjenBorussia Dortmund, 20, AM(CR)","Kjell Wätjen Borussia Dortmund, 20, AM(CR)",1(1),104,-,1,-,-,-,86.5,-,-,7.1
"29Donyell MalenBorussia Dortmund, 27, AM(CLR),FW","Donyell Malen Borussia Dortmund, 27, AM(CLR),FW",21(6),1786,13,1,5,-,2.7,79.6,0.3,4,7.1
