Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Lamine YamalBarcelona, 18, AM(R)","Lamine Yamal Barcelona, 18, AM(R)",31(4),2864,9,13,3,-,4.1,78.9,-,12,8.01
"2Sergio ArribasReal Betis, 23, Defender","Sergio Arribas Real Betis, 23, Defender",1,90,-,-,-,-,-,68.3,1,-,7.78
"3Aitor FernándezOsasuna, 34, GK","Aitor Fernández Osasuna, 34, GK",1,90,-,-,-,-,-,61.0,-,-,7.77
"4Kylian MbappéReal Madrid, 27, AM(CLR),FW","Kylian Mbappé Real Madrid, 27, AM(CLR),FW",34,2917,31,3,3,1,4.7,85.3,0.1,9,7.75
"5RaphinhaBarcelona, 29, AM(CLR),FW","Raphinha Barcelona, 29, AM(CLR),FW",32(4),2845,18,9,4,-,3.2,79.5,0.3,10,7.62
"6Unai MarreroReal Sociedad, 24, GK","Unai Marrero Real Sociedad, 24, GK",2,180,-,-,-,-,-,77.8,-,-,7.32
"7Robert LewandowskiBarcelona, 37, FW","Robert Lewandowski Barcelona, 37, FW",32(2),2682,27,2,1,-,3.4,74.7,1.1,4,7.27
"8Jude BellinghamReal Madrid, 22, M(CLR),FW","Jude Bellingham Real Madrid, 22, M(CLR),FW",29(2),2495,9,8,5,1,2,87.5,1,4,7.27
"9Vinícius JúniorReal Madrid, 25, AM(L),FW","Vinícius Júnior Real Madrid, 25, AM(L),FW",24(6),2259,11,8,8,1,2.7,79.0,-,4,7.23
"10Leo RománMallorca, 25, GK","Leo Román Mallorca, 25, GK",7,630,-,-,-,-,-,53.6,0.1,2,7.23
"11Álex BaenaVillarreal, 24, AM(CL),FW","Álex Baena Villarreal, 24, AM(CL),FW",30(2),2608,7,9,9,-,2.2,74.0,0.5,3,7.22
"12IscoReal Betis, 34, M(CLR),FW","Isco Real Betis, 34, M(CLR),FW",17(5),1552,9,8,5,-,2.0,86.2,0.6,4,7.2
"13Cucho HernándezReal Betis, 27, AM(CLR),FW","Cucho Hernández Real Betis, 27, AM(CLR),FW",14(1),1149,5,1,-,-,2.9,74.7,1.9,3,7.19
"14AntonyReal Betis, 26, AM(R)","Antony Real Betis, 26, AM(R)",15(2),1365,5,2,2,1,2.5,84.0,0.3,1,7.18
"15PedriBarcelona, 23, M(CL)","Pedri Barcelona, 23, M(CL)",35(2),2897,4,5,3,-,0.7,89.0,0.2,-,7.16
"16Federico ValverdeReal Madrid, 27, D(R),M(CLR)","Federico Valverde Real Madrid, 27, D(R),M(CLR)",34(2),3034,6,4,4,-,1.6,91.1,0.8,4,7.16
"17RodrygoReal Madrid, 25, AM(CLR),FW","Rodrygo Real Madrid, 25, AM(CLR),FW",22(8),1938,6,5,-,-,1.8,90.9,0.2,3,7.13
"18Ayoze PérezVillarreal, 32, AM(CLR),FW","Ayoze Pérez Villarreal, 32, AM(CLR),FW",22(8),1978,19,2,4,-,2.5,77.9,0.4,4,7.11
"19Yeray ÁlvarezAthletic Club, 31, D(C)","Yeray Álvarez Athletic Club, 31, D(C)",20(1),1781,1,-,4,-,0.4,84.4,2.4,3,7.04
"20Dani OlmoBarcelona, 27, AM(CLR),FW","Dani Olmo Barcelona, 27, AM(CLR),FW",13(12),1217,10,3,1,-,1.7,83.3,0.4,1,7.02
"21Éder MilitãoReal Madrid, 28, D(CR)","Éder Militão Real Madrid, 28, D(CR)",11(1),940,1,1,2,-,0.8,89.8,1.8,1,7.02
"22Dani RabaLeganes, 30, AM(CR),FW","Dani Raba Leganes, 30, AM(CR),FW",24(5),1893,8,6,6,-,1.5,73.8,0.2,2,7.01
"23Julián AlvarezAtletico, 26, AM(CLR),FW","Julián Alvarez Atletico, 26, AM(CLR),FW",30(7),2521,17,4,5,-,2.0,78.5,0.4,5,7.01
"24Giovani Lo CelsoReal Betis, 30, M(CLR),FW","Giovani Lo Celso Real Betis, 30, M(CLR),FW",15(10),1458,8,3,4,-,1.4,84.8,0.2,3,6.99
"25Nico WilliamsAthletic Club, 23, AM(LR)","Nico Williams Athletic Club, 23, AM(LR)",22(7),2001,5,5,1,-,1.9,79.2,0.4,1,6.98
"26Ante BudimirOsasuna, 34, FW","Ante Budimir Osasuna, 34, FW",34(4),2966,21,4,4,-,2.6,57.2,3.6,5,6.98
"27Juan FoythVillarreal, 28, D(CR),DMC","Juan Foyth Villarreal, 28, D(CR),DMC",17(2),1517,1,-,4,-,0.9,87.5,2.2,1,6.98
"28Dani VivianAthletic Club, 26, D(C)","Dani Vivian Athletic Club, 26, D(C)",28(4),2605,4,-,3,-,0.6,87.4,1.4,3,6.97
"29Ramon TerratsGetafe, 25, M(CLR)","Ramon Terrats Getafe, 25, M(CLR)",15,1230,4,1,1,-,1.3,70.3,1.1,3,6.95
"30Alexander SørlothAtletico, 30, AM(R),FW","Alexander Sørloth Atletico, 30, AM(R),FW",15(20),1563,20,2,4,-,2.3,65.5,2.8,3,6.95
"31Lucas OcamposSevilla, 31, M(CLR),FW","Lucas Ocampos Sevilla, 31, M(CLR),FW",2,176,-,1,-,-,2,73.2,1.5,-,6.95
"32Joan GarcíaEspanyol, 24, GK","Joan García Espanyol, 24, GK",38,3420,-,-,2,-,-,66.9,0.6,7,6.94
"33Marc BartraReal Betis, 35, D(CR),DMC","Marc Bartra Real Betis, 35, D(CR),DMC",23(2),2101,2,1,2,-,0.7,81.7,2.0,-,6.94
"34Yan DiomandeLeganes, 19, AM(LR)","Yan Diomande Leganes, 19, AM(LR)",6(4),544,2,1,1,-,1.1,87.1,0.3,1,6.94
"35Dodi LukébakioSevilla, 28, AM(CLR),FW","Dodi Lukébakio Sevilla, 28, AM(CLR),FW",36(2),3104,11,2,3,1,2.5,81.7,0.5,4,6.93
"36Eduardo CamavingaReal Madrid, 23, D(L),DMC,M(L)","Eduardo Camavinga Real Madrid, 23, D(L),DMC,M(L)",11(8),1098,1,2,2,-,0.4,89.0,1.2,1,6.93
"37Nayef AguerdReal Sociedad, 30, D(C)","Nayef Aguerd Real Sociedad, 30, D(C)",21,1765,-,-,5,-,0.7,87.7,2.9,-,6.93
"38Iñigo MartínezBarcelona, 34, D(C)","Iñigo Martínez Barcelona, 34, D(C)",28,2493,-,4,5,-,0.5,91.4,2.1,1,6.91
"39Omar AldereteGetafe, 29, D(C)","Omar Alderete Getafe, 29, D(C)",34,2978,1,-,8,-,1.1,66.4,3.0,2,6.91
"40Marcos LlorenteAtletico, 31, D(R),M(CR),FW","Marcos Llorente Atletico, 31, D(R),M(CR),FW",28(5),2516,2,4,-,1,0.5,87.9,0.5,2,6.9
"41Sergi CardonaVillarreal, 26, D(L)","Sergi Cardona Villarreal, 26, D(L)",34(1),2955,1,7,11,-,0.6,80.0,1.2,3,6.9
"42Juan MussoAtletico, 31, GK","Juan Musso Atletico, 31, GK",2,180,-,-,-,-,-,83.3,0.5,-,6.9
"43Andrei RatiuRayo Vallecano, 27, D(R),M(R)","Andrei Ratiu Rayo Vallecano, 27, D(R),M(R)",34(1),3067,2,3,5,-,0.9,84.2,0.6,3,6.9
"44Nahuel TenagliaDeportivo Alaves, 30, D(CR)","Nahuel Tenaglia Deportivo Alaves, 30, D(CR)",33(1),2924,2,1,11,-,0.8,74.4,1.4,3,6.89
"45Dani CarvajalReal Madrid, 34, D(R)","Dani Carvajal Real Madrid, 34, D(R)",7(1),611,1,-,2,-,0.4,88.1,0.9,-,6.89
"46Jules KoundéBarcelona, 27, D(CR)","Jules Koundé Barcelona, 27, D(CR)",29(3),2606,2,3,4,-,0.6,88.6,0.9,3,6.89
"47Iñaki WilliamsAthletic Club, 31, AM(CLR),FW","Iñaki Williams Athletic Club, 31, AM(CLR),FW",29(6),2654,6,8,1,-,1.8,70.5,0.9,4,6.89
"48Aurélien TchouaméniReal Madrid, 26, D(C),DMC","Aurélien Tchouaméni Real Madrid, 26, D(C),DMC",31(1),2691,-,-,5,-,0.6,92.9,2.3,-,6.88
"49Pablo MaffeoMallorca, 28, D(LR),M(R)","Pablo Maffeo Mallorca, 28, D(LR),M(R)",28(2),2376,-,2,7,-,0.2,76.2,0.7,2,6.87
"50Johnny CardosoReal Betis, 24, M(C)","Johnny Cardoso Real Betis, 24, M(C)",24(4),2143,3,1,5,-,0.7,86.0,1.0,-,6.87
"51Diego LlorenteReal Betis, 32, D(C),DMC","Diego Llorente Real Betis, 32, D(C),DMC",29(1),2522,2,-,4,-,0.4,86.9,2.6,1,6.87
"52Fábio SilvaLas Palmas, 23, AM(CL),FW","Fábio Silva Las Palmas, 23, AM(CL),FW",22(2),1877,10,3,7,-,2.0,68.6,2.2,2,6.87
"53Clément LengletAtletico, 30, D(C)","Clément Lenglet Atletico, 30, D(C)",23,1976,2,1,9,-,0.4,87.8,1.7,2,6.87
"54Antonio RaílloMallorca, 34, D(C)","Antonio Raíllo Mallorca, 34, D(C)",36,3209,2,-,7,1,1.0,89.0,3.6,2,6.87
"55Arda GülerReal Madrid, 21, AM(CLR)","Arda Güler Real Madrid, 21, AM(CLR)",14(14),1249,3,4,1,-,1.4,89.9,0.3,2,6.86
"56Alejandro CatenaOsasuna, 31, D(C)","Alejandro Catena Osasuna, 31, D(C)",35,3077,1,3,11,-,0.6,84.2,1.9,3,6.86
"57Rubén GarcíaOsasuna, 32, M(CLR),FW","Rubén García Osasuna, 32, M(CLR),FW",30(6),2435,5,5,2,-,0.8,79.7,0.8,2,6.86
"58Javi GalánAtletico, 31, D(L),M(L)","Javi Galán Atletico, 31, D(L),M(L)",21(4),1795,-,3,8,-,0.4,85.4,1.0,2,6.85
"59Florian LejeuneRayo Vallecano, 34, D(C)","Florian Lejeune Rayo Vallecano, 34, D(C)",37,3326,2,3,8,-,1.6,84.0,2.5,2,6.85
"60Arnaut DanjumaVillarreal, 29, AM(L),FW","Arnaut Danjuma Villarreal, 29, AM(L),FW",3,203,2,-,1,-,2.0,76.7,0.7,-,6.84
"61Lucas TorróOsasuna, 31, DMC","Lucas Torró Osasuna, 31, DMC",35,2966,3,-,10,-,0.9,75.8,4.6,1,6.84
"62Nabil FekirReal Betis, 32, AM(CLR),FW","Nabil Fekir Real Betis, 32, AM(CLR),FW",2,180,-,1,-,-,3.5,86.1,-,1,6.84
"63Luka ModricReal Madrid, 40, M(C)","Luka Modric Real Madrid, 40, M(C)",17(18),1820,2,6,7,-,0.6,91.3,0.2,1,6.84
"64Thierno BarryVillarreal, 23, FW","Thierno Barry Villarreal, 23, FW",25(10),2325,11,4,4,-,2.1,62.3,2.9,4,6.83
"65Ramón MartínezSevilla, 23, Defender","Ramón Martínez Sevilla, 23, Defender",2(3),258,1,-,-,-,0.8,92.6,1.4,-,6.83
"66José GayàValencia, 30, D(L),M(L)","José Gayà Valencia, 30, D(L),M(L)",22(1),1811,-,1,7,-,0.5,81.9,0.5,-,6.83
"67Antoine GriezmannAtletico, 35, AM(CLR),FW","Antoine Griezmann Atletico, 35, AM(CLR),FW",29(9),2480,8,7,2,-,1.3,80.4,0.6,2,6.83
"68Alex BerenguerAthletic Club, 30, D(LR),M(CLR),FW","Alex Berenguer Athletic Club, 30, D(LR),M(CLR),FW",28(8),2354,6,7,5,-,1.4,77.1,0.8,2,6.82
"69Yangel HerreraGirona, 28, M(C)","Yangel Herrera Girona, 28, M(C)",27(2),2266,4,3,10,1,1.3,84.4,1.8,4,6.82
"70Oihan SancetAthletic Club, 26, M(C),FW","Oihan Sancet Athletic Club, 26, M(C),FW",19(10),1628,15,1,2,-,1.7,83.8,0.4,4,6.82
"71Abdul MuminRayo Vallecano, 27, D(C)","Abdul Mumin Rayo Vallecano, 27, D(C)",24,2020,2,1,6,1,0.4,83.6,1.3,1,6.81
"72Jorge SáenzLeganes, 29, D(C)","Jorge Sáenz Leganes, 29, D(C)",19(4),1693,1,-,4,1,0.3,83.9,1.8,3,6.81
"73Carlos VicenteDeportivo Alaves, 27, AM(R)","Carlos Vicente Deportivo Alaves, 27, AM(R)",35(2),3099,5,5,3,-,1,74.5,0.9,3,6.8
"74Omar El HilaliEspanyol, 22, D(R)","Omar El Hilali Espanyol, 22, D(R)",36,3158,-,2,10,-,0.1,80.6,1.0,1,6.8
"75Santiago MouriñoDeportivo Alaves, 24, D(CR)","Santiago Mouriño Deportivo Alaves, 24, D(CR)",20(5),1847,-,1,7,-,0.5,78.5,1.6,-,6.8
"76Thibaut CourtoisReal Madrid, 33, GK","Thibaut Courtois Real Madrid, 33, GK",30,2700,-,-,1,-,-,80.3,0.3,1,6.8
"77Jacobo RamónReal Madrid, 21, D(C)","Jacobo Ramón Real Madrid, 21, D(C)",2(1),203,1,-,1,-,0.7,93.3,2.7,-,6.79
"78Sergio GómezReal Sociedad, 25, D(L),M(CLR)","Sergio Gómez Real Sociedad, 25, D(L),M(CLR)",31(6),2746,2,5,4,-,0.5,84.6,0.5,2,6.79
"79Bryan ZaragozaOsasuna, 24, AM(CLR)","Bryan Zaragoza Osasuna, 24, AM(CLR)",22(5),1848,1,6,4,-,1.6,72.6,0.1,2,6.79
"80Luiz JúniorVillarreal, 25, GK","Luiz Júnior Villarreal, 25, GK",16(1),1457,-,-,2,-,-,66.6,0.4,1,6.79
"81Gerard MorenoVillarreal, 34, AM(CR),FW","Gerard Moreno Villarreal, 34, AM(CR),FW",6(11),719,3,2,-,-,1.5,79.7,1.0,-,6.79
"82Ronald AraujoBarcelona, 27, D(CR)","Ronald Araujo Barcelona, 27, D(CR)",12(1),760,1,1,3,-,0.3,91.9,2.5,-,6.79
"83Luis MillaGetafe, 31, M(C)","Luis Milla Getafe, 31, M(C)",32(1),2878,1,4,6,-,1.0,81.2,1.0,2,6.78
"84Santi ComesañaVillarreal, 29, M(C)","Santi Comesaña Villarreal, 29, M(C)",30(5),2565,4,2,8,-,1.1,85.6,0.9,3,6.78
