Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Armand LaurientéLorient, 27, AM(LR),FW","Armand Laurienté Lorient, 27, AM(LR),FW",3,269,1,-,-,-,4.7,82.0,0.3,3,8.61
"2Lionel MessiPSG, 38, AM(CR),FW","Lionel Messi PSG, 38, AM(CR),FW",32,2842,16,16,-,-,4.0,83.1,-,14,8.28
"3Kylian MbappéPSG, 27, AM(CLR),FW","Kylian Mbappé PSG, 27, AM(CLR),FW",32(2),2822,29,5,6,-,4.4,82.9,0.2,7,7.8
"4Martin TerrierRennes, 29, AM(CL),FW","Martin Terrier Rennes, 29, AM(CL),FW",16,1330,9,4,-,-,2.9,75.3,3.9,7,7.71
"5NeymarPSG, 34, AM(CLR),FW","Neymar PSG, 34, AM(CLR),FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71
"6Sofiane DiopMonaco, 25, AM(CLR),FW","Sofiane Diop Monaco, 25, AM(CLR),FW",1,66,1,-,-,-,2.0,69.2,2,-,7.56
"7Dango OuattaraLorient, 24, D(L),M(LR),FW","Dango Ouattara Lorient, 24, D(L),M(LR),FW",18,1552,6,5,1,1,2.9,63.9,2.2,4,7.44
"8Alexandre LacazetteLyon, 34, M(CLR),FW","Alexandre Lacazette Lyon, 34, M(CLR),FW",34(1),2938,27,5,3,-,3.3,75.5,0.8,5,7.42
"9Rémy CabellaLille, 36, M(CLR),FW","Rémy Cabella Lille, 36, M(CLR),FW",28(4),2535,7,10,3,-,1.3,84.3,0.3,5,7.38
"10Lucas PaquetáLyon, 28, M(CLR),FW","Lucas Paquetá Lyon, 28, M(CLR),FW",2,161,-,-,-,-,2.5,87.1,2,-,7.32
"11Téji SavanierMontpellier, 34, M(C)","Téji Savanier Montpellier, 34, M(C)",30,2557,12,4,4,3,2.1,77.9,0.4,7,7.28
"12Enzo Le FéeLorient, 26, M(CLR)","Enzo Le Fée Lorient, 26, M(CLR)",35,3039,5,5,5,-,1.3,84.7,0.3,5,7.26
"13Romain FaivreLorient, 27, AM(CLR)","Romain Faivre Lorient, 27, AM(CLR)",14(2),1253,5,3,-,-,1.6,86.8,-,2,7.22
"14Terem MoffiNice, 26, AM(R),FW","Terem Moffi Nice, 26, AM(R),FW",15(1),1334,6,3,2,-,2.8,80.8,1.2,3,7.21
"15Joaquín BlázquezBrest, 25, Goalkeeper","Joaquín Blázquez Brest, 25, Goalkeeper",1,90,-,-,-,-,-,69.2,-,-,7.19
"16Jonathan DavidLille, 26, AM(C),FW","Jonathan David Lille, 26, AM(C),FW",36(1),3179,24,4,6,-,2.9,82.7,0.4,5,7.18
"17Benjamin AndréLille, 35, D(R),M(CLR)","Benjamin André Lille, 35, D(R),M(CLR)",33(1),2919,1,1,12,-,0.7,84.3,2.7,3,7.16
"18Benjamin LecomteMontpellier, 35, GK","Benjamin Lecomte Montpellier, 35, GK",19,1710,-,-,-,-,-,60.0,0.3,1,7.15
"19Benjamin BourigeaudRennes, 32, M(CLR)","Benjamin Bourigeaud Rennes, 32, M(CLR)",37,3084,7,10,4,1,2,80.8,0.3,4,7.15
"20Issiaga SyllaMontpellier, 32, D(LR),M(L)","Issiaga Sylla Montpellier, 32, D(LR),M(L)",15,1306,1,3,-,-,0.7,82.1,1.8,1,7.15
"21Florian SotocaLens, 35, M(CR),FW","Florian Sotoca Lens, 35, M(CR),FW",34(4),3064,7,9,4,-,2.3,80.1,1.5,4,7.13
"22Amine GouiriRennes, 26, AM(CLR),FW","Amine Gouiri Rennes, 26, AM(CLR),FW",29(4),2532,15,3,3,-,2.2,79.8,0.9,1,7.12
"23Gaëtan LabordeNice, 31, AM(CLR),FW","Gaëtan Laborde Nice, 31, AM(CLR),FW",28(5),2514,13,3,-,-,2.3,71.0,1.5,4,7.12
"24Aleksandr GolovinMonaco, 29, M(CLR),FW","Aleksandr Golovin Monaco, 29, M(CLR),FW",29(5),2484,8,7,5,-,1.4,74.8,0.5,3,7.11
"25Seko FofanaLens, 30, M(C)","Seko Fofana Lens, 30, M(C)",34(1),3079,7,5,2,-,2.4,89.3,0.6,4,7.1
"26Kiki KouyatéMontpellier, 29, D(C)","Kiki Kouyaté Montpellier, 29, D(C)",15,1259,-,-,5,-,0.7,81.7,2.9,2,7.1
"27Ghjuvanni QuilichiniAC Ajaccio, 23, Goalkeeper","Ghjuvanni Quilichini AC Ajaccio, 23, Goalkeeper",0(1),81,-,-,-,-,-,37.5,-,-,7.1
"28Andrei GirottoNantes, 34, D(C),DMC","Andrei Girotto Nantes, 34, D(C),DMC",36,3153,1,1,7,-,0.8,83.0,2.2,4,7.09
"29Edon ZhegrovaLille, 27, AM(R)","Edon Zhegrova Lille, 27, AM(R)",11(11),1056,3,4,1,-,1.9,82.5,-,2,7.08
"30Donovan LéonAuxerre, 33, GK","Donovan Léon Auxerre, 33, GK",2,180,-,-,-,-,-,42.3,0.5,-,7.08
"31Branco van den BoomenToulouse, 30, DMC","Branco van den Boomen Toulouse, 30, DMC",32(3),2893,5,8,6,-,1.5,83.0,0.2,1,7.08
"32Jérémy DokuRennes, 23, M(CLR)","Jérémy Doku Rennes, 23, M(CLR)",13(16),1287,6,2,-,-,0.9,86.4,0.1,4,7.08
"33Jean-Ricner BellegardeStrasbourg, 27, M(CLR)","Jean-Ricner Bellegarde Strasbourg, 27, M(CLR)",29(1),2428,2,6,5,-,1.3,81.6,0.7,5,7.07
"34Steve MouniéBrest, 31, FW","Steve Mounié Brest, 31, FW",20(3),1662,6,-,2,-,2.6,56.2,6.6,2,7.07
"35Wissam Ben YedderMonaco, 35, AM(C),FW","Wissam Ben Yedder Monaco, 35, AM(C),FW",28(4),2130,19,6,4,-,2.3,76.5,0.5,4,7.07
"36Fabien CentonzeNantes, 30, D(R),M(R)","Fabien Centonze Nantes, 30, D(R),M(R)",19(4),1693,-,-,4,-,0.6,79.3,1.4,1,7.06
"37Nathan NgoumouToulouse, 26, AM(LR)","Nathan Ngoumou Toulouse, 26, AM(LR)",1,90,-,-,-,-,-,82.1,1.0,-,7.06
"38Sofiane BoufalAngers, 32, AM(CLR),FW","Sofiane Boufal Angers, 32, AM(CLR),FW",9(4),838,4,3,1,1,1.8,81.1,0.1,3,7.06
"39Nuno MendesPSG, 23, D(L),M(L)","Nuno Mendes PSG, 23, D(L),M(L)",18(5),1554,1,5,2,-,0.4,86.9,0.4,-,7.04
"40Maxence CaqueretLyon, 26, M(C)","Maxence Caqueret Lyon, 26, M(C)",32(4),2778,4,7,2,-,0.7,86.3,0.4,2,7.04
"41Alexis SánchezMarseille, 37, M(CLR),FW","Alexis Sánchez Marseille, 37, M(CLR),FW",32(3),2699,14,3,3,-,1.9,75.8,1.0,6,7.04
"42Habib DialloStrasbourg, 30, AM(R),FW","Habib Diallo Strasbourg, 30, AM(R),FW",32(5),2880,20,1,2,1,2.5,67.7,3.6,5,7.04
"43Nabil BentalebAngers, 31, M(C)","Nabil Bentaleb Angers, 31, M(C)",29(1),2492,4,4,5,1,1.4,85.2,1.0,4,7.03
"44Przemyslaw FrankowskiLens, 31, D(R),M(CLR)","Przemyslaw Frankowski Lens, 31, D(R),M(CLR)",31(6),2838,5,3,4,-,0.8,82.1,0.3,3,7.03
"45Ludovic BlasNantes, 28, M(CLR),FW","Ludovic Blas Nantes, 28, M(CLR),FW",30(7),2821,7,5,6,-,2.7,85.5,0.5,3,7.01
"46Terem MoffiLorient, 26, AM(R),FW","Terem Moffi Lorient, 26, AM(R),FW",17(1),1398,12,-,1,-,1.9,75.9,0.7,1,7.01
"47Valentin RongierMarseille, 31, D(R),M(C)","Valentin Rongier Marseille, 31, D(R),M(C)",34(2),3034,1,2,8,-,0.6,88.5,1.2,1,7.0
"48Franck HonoratBrest, 29, M(CLR),FW","Franck Honorat Brest, 29, M(CLR),FW",29(4),2546,6,5,1,-,1.4,75.0,0.4,3,7.0
"49Loïs OpendaLens, 26, AM(C),FW","Loïs Openda Lens, 26, AM(C),FW",29(9),2529,21,4,2,-,2.7,71.2,0.3,6,6.99
"50Rayan CherkiLyon, 22, AM(CLR),FW","Rayan Cherki Lyon, 22, AM(CLR),FW",21(13),1874,4,6,3,-,1.8,81.0,0.1,3,6.99
"51Pierre Lees-MelouBrest, 32, M(CLR)","Pierre Lees-Melou Brest, 32, M(CLR)",32,2773,5,5,10,1,1.3,83.9,0.6,3,6.99
"52Hicham BoudaouiNice, 26, M(CR)","Hicham Boudaoui Nice, 26, M(CR)",22(5),1882,1,2,5,-,0.8,89.7,0.3,-,6.97
"53Nicolas PépéNice, 30, AM(CLR),FW","Nicolas Pépé Nice, 30, AM(CLR),FW",17(2),1529,6,-,2,-,2.6,83.1,0.4,1,6.96
"54Jonathan ClaussMarseille, 33, D(R),M(LR)","Jonathan Clauss Marseille, 33, D(R),M(LR)",32(2),2604,2,9,1,-,1.4,75.8,0.3,2,6.95
"55Jonathan GraditLens, 33, D(CR)","Jonathan Gradit Lens, 33, D(CR)",33,2830,1,3,7,-,0.2,90.2,1.5,-,6.95
"56DanteNice, 42, D(C)","Dante Nice, 42, D(C)",37,3300,1,2,6,-,0.6,90.1,2.0,-,6.94
"57Yunis AbdelhamidReims, 38, D(C)","Yunis Abdelhamid Reims, 38, D(C)",37,3330,1,2,6,-,0.9,83.1,2.5,1,6.94
"58Rasmus NicolaisenToulouse, 29, D(C)","Rasmus Nicolaisen Toulouse, 29, D(C)",34,2997,-,2,5,1,0.4,84.3,3.4,1,6.94
"59Achraf HakimiPSG, 27, D(LR),M(R)","Achraf Hakimi PSG, 27, D(LR),M(R)",23(5),2053,5,3,5,2,0.6,90.2,0.3,-,6.94
"60Yehvann DioufReims, 26, GK","Yehvann Diouf Reims, 26, GK",31,2790,-,-,2,-,-,76.4,0.5,2,6.94
"61Kevin DansoLens, 27, D(C)","Kevin Danso Lens, 27, D(C)",37,3234,1,2,7,1,0.6,90.1,2.3,2,6.94
"62Bradley BarcolaLyon, 23, AM(LR),FW","Bradley Barcola Lyon, 23, AM(LR),FW",15(11),1438,5,8,3,-,1.0,72.4,0.6,3,6.94
"63Marco VerrattiPSG, 33, M(C)","Marco Verratti PSG, 33, M(C)",27(2),2206,-,-,10,1,0.3,92.9,0.4,-,6.94
"64VandersonMonaco, 24, D(R),M(R)","Vanderson Monaco, 24, D(R),M(R)",24(7),2220,1,4,3,1,0.8,77.9,0.9,2,6.93
"65Kenny LalaBrest, 34, D(LR),M(R)","Kenny Lala Brest, 34, D(LR),M(R)",16(1),1419,-,2,4,-,0.7,77.9,0.5,-,6.93
"66TetêLyon, 26, AM(R)","Tetê Lyon, 26, AM(R)",14(3),1114,6,2,3,-,1.8,81.7,0.2,2,6.93
"67Adrien ThomassonLens, 32, M(CLR)","Adrien Thomasson Lens, 32, M(CLR)",16(4),1288,5,5,1,-,1.1,80.3,0.6,-,6.92
"68Alexander DjikuStrasbourg, 31, D(CR),DMC","Alexander Djiku Strasbourg, 31, D(CR),DMC",31,2681,1,2,8,1,0.5,80.8,3.0,1,6.92
"69Caio HenriqueMonaco, 28, D(CL),M(CL)","Caio Henrique Monaco, 28, D(CL),M(CL)",32(3),2898,1,9,3,-,0.3,80.3,0.5,2,6.92
"70Karl Toko-EkambiLyon, 33, AM(LR),FW","Karl Toko-Ekambi Lyon, 33, AM(LR),FW",15(4),1357,4,2,1,-,2.2,82.3,0.8,2,6.91
"71Jonathan BambaLille, 30, AM(CLR),FW","Jonathan Bamba Lille, 30, AM(CLR),FW",32(2),2790,6,7,6,-,2.1,83.8,0.6,2,6.91
