Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Asmir BegovicEverton, 38, GK","Asmir Begovic Everton, 38, GK",1,90,-,-,-,-,-,64.0,1.0,1,7.82
"2Kevin De BruyneMan City, 34, M(CLR),FW","Kevin De Bruyne Man City, 34, M(CLR),FW",28(4),2425,7,16,1,-,2,80.8,0.4,9,7.58
"3Stefan OrtegaMan City, 33, GK","Stefan Ortega Man City, 33, GK",3,270,-,-,-,-,-,85.4,0.3,1,7.56
"4Erling HaalandMan City, 25, FW","Erling Haaland Man City, 25, FW",33(2),2779,36,8,5,-,3.5,74.8,1.4,6,7.54
"5Harry KaneTottenham, 32, AM(C),FW","Harry Kane Tottenham, 32, AM(C),FW",38,3408,30,3,6,-,3.4,72.0,1.7,8,7.51
"6Bruno FernandesMan Utd, 31, M(CLR),FW","Bruno Fernandes Man Utd, 31, M(CLR),FW",37,3320,8,8,6,-,2.5,77.7,0.5,6,7.44
"7Gabriel JesusArsenal, 29, AM(LR),FW","Gabriel Jesus Arsenal, 29, AM(LR),FW",24(2),2075,11,6,6,-,3,81.5,1.7,4,7.42
"8Kieran TrippierNewcastle, 35, D(LR),M(R)","Kieran Trippier Newcastle, 35, D(LR),M(R)",38,3348,1,7,5,-,0.4,76.0,1.3,8,7.41
"9Bukayo SakaArsenal, 24, D(L),M(CLR)","Bukayo Saka Arsenal, 24, D(L),M(CLR)",37(1),3195,14,11,6,-,2.3,80.9,0.4,5,7.4
"10Solly MarchBrighton, 31, M(CLR)","Solly March Brighton, 31, M(CLR)",31(2),2728,7,7,2,-,2.2,78.6,0.9,6,7.38
"11Jack GrealishMan City, 30, M(CL),FW","Jack Grealish Man City, 30, M(CL),FW",23(5),2064,5,7,4,-,1.5,87.6,0.5,3,7.33
"12Martin ØdegaardArsenal, 27, AM(CR)","Martin Ødegaard Arsenal, 27, AM(CR)",37,3149,15,7,4,-,2.5,84.0,0.4,7,7.29
"13RodriMan City, 29, D(C),DMC","Rodri Man City, 29, D(C),DMC",34(2),2921,2,6,5,-,1.4,91.3,2.0,3,7.26
