Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Simone PerilliVerona, 31, GK","Simone Perilli Verona, 31, GK",1,90,-,-,-,-,-,42.9,-,-,7.54
"2Lautaro MartínezInter, 28, FW","Lautaro Martínez Inter, 28, FW",31(2),2668,24,3,5,-,3.3,79.1,1.2,9,7.53
"3Khvicha KvaratskheliaNapoli, 25, AM(CLR),FW","Khvicha Kvaratskhelia Napoli, 25, AM(CLR),FW",32(2),2752,11,6,8,-,3.8,85.7,0.4,10,7.5
"4Hakan ÇalhanogluInter, 32, M(CLR),FW","Hakan Çalhanoglu Inter, 32, M(CLR),FW",32,2576,13,3,5,-,1.9,92.4,0.8,6,7.41
"5Rafael LeãoAC Milan, 26, AM(CL),FW","Rafael Leão AC Milan, 26, AM(CL),FW",29(5),2524,9,9,5,-,2.1,80.0,0.7,8,7.31
"6Marcus ThuramInter, 28, AM(L),FW","Marcus Thuram Inter, 28, AM(L),FW",34(1),2707,13,7,3,-,2.2,73.9,2.1,2,7.29
"7Davide BiraschiGenoa, 31, D(CR),M(R)","Davide Biraschi Genoa, 31, D(CR),M(R)",1,90,1,-,-,-,1,83.3,1,-,7.23
"8Christian PulisicAC Milan, 27, M(CLR),FW","Christian Pulisic AC Milan, 27, M(CLR),FW",32(4),2621,12,8,2,-,1.8,82.4,0.4,2,7.16
"9Mile SvilarRoma, 26, GK","Mile Svilar Roma, 26, GK",15,1350,-,-,1,-,-,85.0,0.4,2,7.16
"10Alessandro BuongiornoTorino, 26, D(C)","Alessandro Buongiorno Torino, 26, D(C)",29,2530,3,-,7,-,0.4,85.4,2.8,6,7.14
"11Matías SouléFrosinone, 23, M(CR),FW","Matías Soulé Frosinone, 23, M(CR),FW",36,3141,11,3,4,-,2.3,81.5,0.3,3,7.14
"12Federico DimarcoInter, 28, D(CL),M(L)","Federico Dimarco Inter, 28, D(CL),M(L)",29(1),2105,5,6,-,-,1.7,85.2,0.2,2,7.12
"13Paulo DybalaRoma, 32, AM(CR),FW","Paulo Dybala Roma, 32, AM(CR),FW",25(3),1977,13,9,3,-,2.1,84.3,0.3,6,7.12
"14Albert GudmundssonGenoa, 28, AM(CLR),FW","Albert Gudmundsson Genoa, 28, AM(CLR),FW",34(1),3024,14,4,4,-,1.6,81.6,0.1,6,7.1
"15Adrien RabiotJuventus, 31, M(CL)","Adrien Rabiot Juventus, 31, M(CL)",30(1),2651,5,3,8,-,1.2,84.4,1.8,4,7.07
"16Raffaele Di GennaroInter, 32, Goalkeeper","Raffaele Di Gennaro Inter, 32, Goalkeeper",0(1),22,-,-,-,-,-,92.3,-,-,7.07
"17Domenico BerardiSassuolo, 31, AM(R),FW","Domenico Berardi Sassuolo, 31, AM(R),FW",17,1437,9,3,6,-,3,69.9,0.5,3,7.07
"18Nico GonzálezFiorentina, 28, M(CLR),FW","Nico González Fiorentina, 28, M(CLR),FW",21(8),1914,12,2,1,-,3,74.1,2.3,2,7.06
"19Alessandro BastoniInter, 27, D(C)","Alessandro Bastoni Inter, 27, D(C)",28,2283,1,3,5,-,0.5,89.8,1.4,-,7.06
"20Duván ZapataAtalanta, 35, FW","Duván Zapata Atalanta, 35, FW",2,114,1,-,-,-,2.5,81.4,2.5,-,7.06
"21Michele Di GregorioMonza, 28, GK","Michele Di Gregorio Monza, 28, GK",33,2874,-,-,-,-,-,74.4,0.2,6,7.03
"22Joshua ZirkzeeBologna, 24, AM(C),FW","Joshua Zirkzee Bologna, 24, AM(C),FW",32(2),2772,11,4,8,-,2.5,78.0,0.9,5,7.03
"23Teun KoopmeinersAtalanta, 28, D(C),M(C)","Teun Koopmeiners Atalanta, 28, D(C),M(C)",29(5),2633,12,5,5,-,1.6,81.6,0.9,2,7.03
"24Charles De KetelaereAtalanta, 25, M(CLR),FW","Charles De Ketelaere Atalanta, 25, M(CLR),FW",25(10),2045,10,8,1,-,1.3,75.6,1.1,3,7.03
"25Ademola LookmanAtalanta, 28, AM(CLR),FW","Ademola Lookman Atalanta, 28, AM(CLR),FW",22(9),1903,11,7,4,-,2.2,80.2,0.6,5,7.01
"26Mattia ZaccagniLazio, 30, AM(CL),FW","Mattia Zaccagni Lazio, 30, AM(CL),FW",24(4),1974,6,1,8,-,1.5,84.1,0.4,5,7.01
"27DaniloJuventus, 34, D(CLR),DMC","Danilo Juventus, 34, D(CLR),DMC",27(2),2451,1,1,7,-,0.6,87.1,1.3,1,6.99
"28Riccardo CalafioriBologna, 23, D(CL)","Riccardo Calafiori Bologna, 23, D(CL)",26(4),2338,2,5,4,-,0.6,89.8,2.0,1,6.99
"29BremerJuventus, 29, D(C)","Bremer Juventus, 29, D(C)",36,3234,3,-,9,-,0.5,86.3,2.8,3,6.99
"30Duván ZapataTorino, 35, FW","Duván Zapata Torino, 35, FW",34(1),2893,12,4,2,-,2.8,69.6,3.7,4,6.98
"31Victor OsimhenNapoli, 27, FW","Victor Osimhen Napoli, 27, FW",22(3),1990,15,3,4,1,3.6,71.0,1.5,2,6.98
"32Federico ChiesaJuventus, 28, M(CLR),FW","Federico Chiesa Juventus, 28, M(CLR),FW",25(8),2207,9,2,1,-,2.3,77.3,-,2,6.98
"33Nicolas HaasEmpoli, 30, DMC","Nicolas Haas Empoli, 30, DMC",1,90,-,-,1,-,1,90.2,3,-,6.97
"34Henrikh MkhitaryanInter, 37, M(CLR),FW","Henrikh Mkhitaryan Inter, 37, M(CLR),FW",35(1),2804,2,8,4,-,1.1,88.0,0.4,1,6.96
"35Tijjani NoslinVerona, 26, AM(LR),FW","Tijjani Noslin Verona, 26, AM(LR),FW",17,1347,5,4,2,-,2.1,71.7,2.9,2,6.96
"36Federico RavagliaBologna, 26, GK","Federico Ravaglia Bologna, 26, GK",6,536,-,-,-,-,-,78.7,0.2,1,6.96
"37Elia CaprileEmpoli, 24, GK","Elia Caprile Empoli, 24, GK",23,2070,-,-,-,-,-,62.4,0.5,4,6.95
"38Francesco AcerbiInter, 38, D(C)","Francesco Acerbi Inter, 38, D(C)",26(3),2387,3,1,1,-,0.5,91.1,2.4,1,6.95
"39Lewis FergusonBologna, 26, M(C)","Lewis Ferguson Bologna, 26, M(C)",31,2718,6,3,8,-,1.9,88.9,1.3,3,6.94
"40Gianluca ScamaccaAtalanta, 27, FW","Gianluca Scamacca Atalanta, 27, FW",17(12),1459,12,6,1,-,2.1,69.0,0.7,3,6.94
"41Olivier GiroudAC Milan, 39, FW","Olivier Giroud AC Milan, 39, FW",28(7),2374,15,8,1,1,2.2,69.4,1.7,2,6.94
