Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,30,1267,42,41.4,14.1,14,68,2,16,20,2,1.07,17,23,-6,-0.43,+0.53,Matches
2,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,19,2003,7,101,14,3.3,1.1,1,45,0,6,9,7,0.86,2,2,0,0.00,-0.03,Matches
3,Junior Adamu,at AUT,FW,Freiburg,22,2001,15,105,7,3.4,1.2,0,,0,15,7,13,1.47,0,4,-4,-3.43,-3.15,Matches
4,Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,20,801,40,26.2,8.9,8,73,1,12,18,5,0.80,9,21,-12,-1.35,-0.55,Matches
5,Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,21,913,43,29.8,10.1,10,64,1,11,25,3,1.76,19,16,+3,+0.30,-0.63,Matches
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,23,898,39,29.3,10.0,8,71,1,15,22,4,2.65,28,9,+19,+1.90,-0.01,Matches
7,Felix Agu,ng NGA,MF,Werder Bremen,23,1999,24,1614,67,52.7,17.9,19,81,4,5,14,5,1.42,21,23,-2,-0.11,+0.14,Matches
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,26,1360,52,44.4,15.1,15,80,9,11,14,6,1.04,13,26,-13,-0.86,-0.91,Matches
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,17,1097,65,35.8,12.2,11,86,9,6,26,11,1.35,26,21,+5,+0.41,+0.64,Matches
10,Faride Alidou,de GER,"MF,FW",Köln,22,2001,26,1282,49,41.9,14.2,14,69,0,12,27,2,0.85,12,27,-15,-1.05,-0.19,Matches
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,6,123,21,4.0,1.4,1,78,0,5,9,3,0.50,1,1,0,0.00,+0.18,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,15,1315,88,43.0,14.6,15,88,11,0,,0,1.53,23,20,+3,+0.21,+0.98,Matches
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,8,86,11,2.8,1.0,1,67,0,7,3,11,2.50,0,0,0,0.00,-1.97,Matches
