Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,James Abankwah,ie IRL,DF,Udinese,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,Matches
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,Matches
3,Tammy Abraham,eng ENG,FW,Roma,24,1997,38,2189,58,64.0,24.3,24,77,7,14,24,0,1.66,31,24,+7,+0.29,-0.08,Matches
4,Christian Acella,it ITA,MF,Cremonese,20,2002,1,15,15,0.4,0.2,0,,0,1,15,25,0.00,0,1,-1,-6.00,-5.15,Matches
5,Francesco Acerbi,it ITA,DF,Inter,34,1988,31,2425,78,70.9,26.9,25,90,24,6,31,3,1.94,53,30,+23,+0.85,+0.31,Matches
6,Marius Adamonis,lt LTU,GK,Lazio,25,1997,0,,,,,0,,0,0,,38,,,,,,,Matches
7,Yacine Adli,fr FRA,MF,Milan,22,2000,6,144,24,4.2,1.6,1,59,0,5,17,32,1.17,2,4,-2,-1.25,-1.88,Matches
8,Michel Aebischer,ch SUI,"MF,FW",Bologna,25,1997,32,1542,48,45.1,17.1,18,72,5,14,17,6,1.50,23,26,-3,-0.18,-0.51,Matches
9,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,19,2003,23,817,36,23.9,9.1,7,63,1,16,24,11,0.78,9,13,-4,-0.44,+0.56,Matches
10,Felix Afena-Gyan,gh GHA,FW,Roma,19,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
11,Lucien Agoume,fr FRA,MF,Inter,20,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
12,Kevin Agudelo,co COL,"MF,FW",Spezia,23,1998,34,2131,63,62.3,23.7,23,78,6,11,31,2,0.74,20,38,-18,-0.76,+0.15,Matches
13,Ola Aina,ng NGA,MF,Torino,25,1996,19,876,46,25.6,9.7,9,75,4,10,20,3,1.53,9,7,+2,+0.21,+0.24,Matches
14,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,23,1653,72,48.3,18.4,17,87,14,6,29,13,0.61,13,30,-17,-0.93,-0.11,Matches
15,Ebenezer Akinsanmiro,ng NGA,MF,Inter,17,2004,0,,,,,0,,0,0,,3,,,,,,,Matches
16,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,29,1992,24,1356,57,39.6,15.1,16,72,2,8,26,0,1.29,17,20,-3,-0.20,+0.19,Matches
17,Luis Alberto,es ESP,MF,Lazio,29,1992,35,2442,70,71.4,27.1,27,82,16,8,27,2,1.94,49,19,+30,+1.11,+1.11,Matches
18,Pasquale Allocca,it ITA,GK,Salernitana,17,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
19,Agustín Álvarez,uy URU,FW,Sassuolo,21,2001,22,368,17,10.8,4.1,1,53,0,21,15,13,0.86,6,9,-3,-0.73,-0.41,Matches
20,Lorenzo Amatucci,it ITA,MF,Fiorentina,18,2004,0,,,,,0,,0,0,,4,,,,,,,Matches
21,Wisdom Amey,it ITA,DF,Bologna,16,2005,0,,,,,0,,0,0,,7,,,,,,,Matches
22,Kelvin Amian,fr FRA,"DF,MF",Spezia,24,1998,30,2372,79,69.4,26.4,26,87,22,4,31,0,0.73,21,42,-21,-0.80,+0.06,Matches
23,Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,1,58,58,1.7,0.6,1,58,0,0,,3,0.00,2,3,-1,-1.55,-0.83,Matches
24,Bruno Amione,ar ARG,DF,Sampdoria,20,2002,26,2086,80,61.0,23.2,25,83,17,1,22,6,0.62,17,42,-25,-1.08,+0.41,Matches
25,Ethan Ampadu,wls WAL,"DF,MF",Spezia,21,2000,31,2639,85,77.2,29.3,31,85,22,0,,0,0.75,22,42,-20,-0.68,+0.59,Matches
26,Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,29,1998,69,58.4,22.2,24,79,11,5,23,4,1.41,29,27,+2,+0.09,-0.42,Matches
27,Djavan Anderson,sr SUR,"DF,MF",Lazio,27,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
28,Felipe Anderson,br BRA,FW,Lazio,29,1993,38,2958,78,86.5,32.9,35,82,23,3,28,0,1.95,48,24,+24,+0.73,-0.44,Matches
29,Matteo Angeli,it ITA,DF,Bologna,19,2002,0,,,,,0,,0,0,,3,,,,,,,Matches
30,Samuele Angori,it ITA,MF,Empoli,18,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
31,Janis Antiste,fr FRA,"FW,MF",Sassuolo,19,2002,2,52,26,1.5,0.6,0,,0,2,26,13,1.50,2,1,+1,+1.73,+2.13,Matches
32,Marcos Antônio,br BRA,MF,Lazio,22,2000,16,594,37,17.4,6.6,6,70,1,10,18,21,1.75,7,6,+1,+0.15,-0.77,Matches
33,Valentin Antov,bg BUL,DF,Monza,21,2000,9,306,34,8.9,3.4,2,75,1,7,22,28,0.89,6,8,-2,-0.59,-0.53,Matches
34,Marko Arnautović,at AUT,FW,Bologna,33,1989,21,1530,73,44.7,17.0,18,81,10,3,22,2,1.24,22,24,-2,-0.12,-0.40,Matches
35,Tolgay Arslan,de GER,MF,Udinese,31,1990,36,1211,34,35.4,13.5,12,60,0,24,21,0,1.28,12,16,-4,-0.30,-0.42,Matches
36,Santiago Ascacíbar,ar ARG,MF,Cremonese,25,1997,13,727,56,21.3,8.1,7,74,3,6,35,3,0.31,6,11,-5,-0.62,+0.32,Matches
37,Kristoffer Askildsen,no NOR,MF,Lecce,21,2001,21,728,35,21.3,8.1,7,63,0,14,21,15,1.19,9,10,-1,-0.12,+0.28,Matches
38,Kristjan Asllani,al ALB,MF,Inter,20,2002,20,592,30,17.3,6.6,5,69,1,15,16,18,2.05,9,10,-1,-0.15,-1.11,Matches
39,Emil Audero,id IDN,GK,Sampdoria,25,1997,25,2250,90,65.8,25.0,25,90,25,0,,0,0.48,11,39,-28,-1.12,+0.34,Matches
40,Tommaso Augello,it ITA,"MF,DF",Sampdoria,27,1994,37,3061,83,89.5,34.0,35,85,28,2,45,1,0.51,23,64,-41,-1.21,+0.30,Matches
41,Carlos Augusto,br BRA,MF,Monza,23,1999,35,3083,88,90.1,34.3,35,88,31,0,,0,1.40,45,46,-1,-0.03,+0.77,Matches
42,Kaan Ayhan,tr TUR,DF,Sassuolo,27,1994,10,545,55,15.9,6.1,5,90,5,5,19,8,1.40,6,11,-5,-0.83,-0.54,Matches
43,Jaime Báez,uy URU,MF,Cremonese,27,1995,2,96,48,2.8,1.1,1,61,0,1,35,13,0.00,0,2,-2,-1.87,-1.04,Matches
44,Nicola Bagnolini,it ITA,GK,Bologna,18,2004,0,,,,,0,,0,0,,12,,,,,,,Matches
45,Nedim Bajrami,al ALB,"MF,FW",Empoli,23,1999,19,940,49,27.5,10.4,8,80,4,11,27,1,1.21,8,14,-6,-0.57,-0.36,Matches
46,Nedim Bajrami,al ALB,FW,Sassuolo,23,1999,18,819,46,23.9,9.1,7,71,1,11,29,0,1.39,9,19,-10,-1.10,-0.96,Matches
47,Tiemoué Bakayoko,fr FRA,MF,Milan,27,1994,3,41,14,1.2,0.5,0,,0,3,14,30,2.00,1,1,0,0.00,-0.56,Matches
48,Tommaso Baldanzi,it ITA,MF,Empoli,19,2003,26,1772,68,51.8,19.7,24,72,6,2,28,5,1.15,17,23,-6,-0.30,+0.02,Matches
49,Gabriele Baldi,it ITA,GK,Roma,17,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
50,Fodé Ballo-Touré,sn SEN,"DF,MF",Milan,25,1997,10,523,52,15.3,5.8,5,90,5,5,15,24,1.80,6,8,-2,-0.34,-1.06,Matches
51,Lameck Banda,zm ZAM,"FW,MF",Lecce,21,2001,36,1636,45,47.8,18.2,19,69,3,17,19,1,0.97,14,20,-6,-0.33,+0.02,Matches
52,Filippo Bandinelli,it ITA,MF,Empoli,27,1995,35,2263,65,66.2,25.1,28,74,3,7,26,1,1.17,24,27,-3,-0.12,+0.58,Matches
53,Antonín Barák,cz CZE,MF,Hellas Verona,27,1994,1,25,25,0.7,0.3,0,,0,1,25,0,0.00,0,1,-1,-3.60,-2.88,Matches
54,Antonín Barák,cz CZE,MF,Fiorentina,27,1994,30,1799,60,52.6,20.0,21,78,6,9,18,4,1.33,25,26,-1,-0.05,-0.66,Matches
55,Andrea Barberis,it ITA,MF,Monza,28,1993,9,338,38,9.9,3.8,3,75,2,6,19,27,1.11,4,9,-5,-1.33,-1.36,Matches
56,Tommaso Barbieri,it ITA,MF,Juventus,19,2002,3,109,36,3.2,1.2,2,51,0,1,8,8,1.00,0,2,-2,-1.65,-2.33,Matches
57,Francesco Bardi,it ITA,GK,Bologna,30,1992,1,90,90,2.6,1.0,1,90,1,0,,36,3.00,3,0,+3,+3.00,+2.97,Matches
58,Nicolò Barella,it ITA,MF,Inter,25,1997,35,2613,75,76.4,29.0,31,81,17,4,23,2,1.80,51,31,+20,+0.69,-0.31,Matches
59,Enzo Barrenechea,ar ARG,MF,Juventus,21,2001,3,158,53,4.6,1.8,3,53,0,0,,7,3.00,4,4,0,0.00,-0.63,Matches
60,Musa Barrow,gm GAM,"MF,FW",Bologna,23,1998,32,1960,61,57.3,21.8,26,72,9,6,14,2,1.59,26,31,-5,-0.23,-0.78,Matches
61,Federico Baschirotto,it ITA,DF,Lecce,25,1996,37,3330,90,97.4,37.0,37,90,37,0,,0,0.97,33,44,-11,-0.30,+1.70,Matches
62,Toma Bašić,hr CRO,MF,Lazio,25,1996,25,513,21,15.0,5.7,4,51,0,21,15,13,2.00,5,6,-1,-0.18,-1.14,Matches
63,Matteo Bassi,it ITA,MF,Udinese,18,2004,0,,,,,0,,0,0,,3,,,,,,,Matches
64,Alberto Basso,it ITA,FW,Cremonese,18,2004,1,16,16,0.5,0.2,0,,0,1,16,8,0.00,0,0,0,0.00,+0.87,Matches
65,Alessandro Bastoni,it ITA,DF,Inter,23,1999,29,2157,74,63.1,24.0,26,80,16,3,25,8,1.90,42,25,+17,+0.71,-0.15,Matches
66,Simone Bastoni,it ITA,"MF,DF",Spezia,25,1996,19,1189,63,34.8,13.2,15,74,3,4,22,3,0.89,12,22,-10,-0.76,+0.09,Matches
67,Brian Bayeye,cd COD,MF,Torino,22,2000,2,64,32,1.9,0.7,1,54,0,1,10,35,1.00,0,2,-2,-2.81,-2.89,Matches
68,Rodrigo Becão,br BRA,DF,Udinese,26,1996,28,2484,89,72.6,27.6,28,89,25,0,,0,1.50,38,31,+7,+0.25,+1.02,Matches
69,Julius Beck,dk DEN,MF,Spezia,17,2005,1,10,10,0.3,0.1,0,,0,1,10,23,0.00,0,1,-1,-9.00,-8.21,Matches
70,Raoul Bellanova,it ITA,MF,Inter,22,2000,18,496,28,14.5,5.5,3,73,0,15,18,20,2.00,10,8,+2,+0.36,-0.47,Matches
71,Andrea Belotti,it ITA,FW,Roma,28,1993,31,1146,37,33.5,12.7,11,70,2,20,19,2,1.58,19,17,+2,+0.16,-0.24,Matches
72,Marco Benassi,it ITA,MF,Cremonese,27,1994,15,998,67,29.2,11.1,11,81,7,4,27,1,0.87,9,21,-12,-1.08,-0.30,Matches
73,Marco Benassi,it ITA,DF,Fiorentina,27,1994,2,93,47,2.7,1.0,1,70,0,1,23,2,1.50,2,2,0,0.00,-0.27,Matches
74,Filip Benković,hr CRO,DF,Udinese,25,1997,0,,,,,0,,0,0,,4,,,,,,,Matches
75,Ismaël Bennacer,dz ALG,MF,Milan,24,1997,28,2007,72,58.7,22.3,24,79,13,4,26,1,1.82,38,21,+17,+0.76,+0.51,Matches
76,Alessandro Berardi,it ITA,GK,Hellas Verona,31,1991,0,,,,,0,,0,0,,34,,,,,,,Matches
77,Domenico Berardi,it ITA,"FW,MF",Sassuolo,27,1994,26,1866,72,54.6,20.7,22,80,11,4,24,1,1.12,30,32,-2,-0.10,+0.60,Matches
78,Bartosz Bereszyński,pl POL,"DF,MF",Sampdoria,30,1992,15,1198,80,35.0,13.3,15,80,10,0,,1,0.60,8,20,-12,-0.90,+0.52,Matches
79,Bartosz Bereszyński,pl POL,DF,Napoli,30,1992,3,166,55,4.9,1.8,2,76,1,1,15,18,1.33,3,4,-1,-0.54,-1.93,Matches
80,Etrit Berisha,al ALB,GK,Torino,33,1989,0,,,,,0,,0,0,,13,,,,,,,Matches
81,Medon Berisha,al ALB,MF,Lecce,18,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
82,Lorenzo Bernasconi,it ITA,MF,Atalanta,18,2003,0,,,,,0,,0,0,,8,,,,,,,Matches
83,Marco Bertini,it ITA,MF,Lazio,19,2002,1,1,1,0.0,0.0,0,,0,1,1,21,3.00,0,0,0,0.00,-0.79,Matches
84,Tommaso Bertini,it ITA,GK,Atalanta,18,2004,0,,,,,0,,0,0,,6,,,,,,,Matches
85,Nicolò Bertola,it ITA,DF,Spezia,19,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
86,Beto,gw GNB,FW,Udinese,24,1998,33,2129,65,62.3,23.7,23,80,11,10,28,0,1.27,25,31,-6,-0.25,-0.60,Matches
87,Matteo Bianchetti,it ITA,DF,Cremonese,29,1993,25,2132,85,62.3,23.7,22,89,20,3,59,9,0.60,26,46,-20,-0.84,+0.06,Matches
88,Alessandro Bianco,it ITA,MF,Fiorentina,19,2002,7,153,22,4.5,1.7,2,54,0,5,9,30,1.71,3,1,+2,+1.18,+0.96,Matches
89,Jaka Bijol,si SVN,DF,Udinese,23,1999,32,2728,85,79.8,30.3,32,85,28,0,,3,1.19,34,38,-4,-0.13,-0.52,Matches
90,Cristiano Biraghi,it ITA,DF,Fiorentina,29,1992,33,2551,77,74.6,28.3,30,84,21,3,14,5,1.55,37,35,+2,+0.07,-0.76,Matches
91,Samuele Birindelli,it ITA,MF,Monza,23,1999,31,1400,45,40.9,15.6,14,68,4,17,26,6,1.45,17,25,-8,-0.51,-0.69,Matches
92,Kristijan Bistrović,hr CRO,MF,Lecce,24,1998,11,461,42,13.5,5.1,5,68,0,6,20,5,1.09,4,5,-1,-0.20,+0.17,Matches
93,Marco Bleve,it ITA,GK,Lecce,26,1995,0,,,,,0,,0,0,,38,,,,,,,Matches
