"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Sadio Mané,,""$ 242,673"",""$ 12,618,977"",,""$ 12,618,977"",""$ 13,183,972"",Active,F,30,Senegal,Bayern Munich,,"
"Manuel Neuer,,""$ 231,642"",""$ 12,045,387"",,""$ 12,045,387"",""$ 12,584,701"",Active,K,36,Germany,Bayern Munich,,"
"Thomas Müller,,""$ 226,231"",""$ 11,764,003"",,""$ 11,764,003"",""$ 12,290,718"",Active,F,33,Germany,Bayern Munich,,"
"Joshua Kimmich,,""$ 215,200"",""$ 11,190,413"",,""$ 11,190,413"",""$ 11,691,447"",Active,M,27,Germany,Bayern Munich,,"
"Serge Gnabry,,""$ 208,124"",""$ 10,822,450"",,""$ 10,822,450"",""$ 11,307,009"",Active,F,27,Germany,Bayern Munich,,"
"Kingsley Coman,,""$ 187,520"",""$ 9,751,027"",,""$ 9,751,027"",""$ 10,187,615"",Active,F,26,France,Bayern Munich,,"
"Matthijs de Ligt,,""$ 176,489"",""$ 9,177,438"",,""$ 9,177,438"",""$ 9,588,343"",Active,D,23,Netherlands,Bayern Munich,,"
"João Cancelo,,""$ 168,580"",""$ 8,766,184"",,""$ 8,766,184"",""$ 9,158,677"",Loan,D,28,Portugal,Bayern Munich,,"
"Leroy Sané,,""$ 165,459"",""$ 8,603,848"",""$ 2,867,949"",""$ 11,471,797"",""$ 11,985,429"",Active,F,27,Germany,Bayern Munich,,"
"Lucas Hernández,,""$ 165,459"",""$ 8,603,848"",,""$ 8,603,848"",""$ 8,989,072"",Active,D,26,France,Bayern Munich,,"
"Leon Goretzka,,""$ 143,397"",""$ 7,456,668"",""$ 2,294,359"",""$ 9,751,027"",""$ 10,187,615"",Active,M,27,Germany,Bayern Munich,,"
"Alphonso Davies,,""$ 124,042"",""$ 6,450,180"",,""$ 6,450,180"",""$ 6,738,977"",Active,D,22,Canada,Bayern Munich,,"
"Sébastien Haller,,""$ 121,336"",""$ 6,309,488"",,""$ 6,309,488"",""$ 6,591,986"",Active,F,28,Cote d'Ivoire,Borussia Dortmund,,"
"Dayot Upamecano,,""$ 110,306"",""$ 5,735,898"",,""$ 5,735,898"",""$ 5,992,715"",Active,D,24,France,Bayern Munich,,"
"Timo Werner,,""$ 110,306"",""$ 5,735,898"",""$ 1,147,180"",""$ 6,883,078"",""$ 7,191,258"",Active,F,26,Germany,Leipzig,,"
"Niklas Süle,,""$ 110,306"",""$ 5,735,898"",""$ 573,590"",""$ 6,309,488"",""$ 6,591,986"",Active,D,27,Germany,Borussia Dortmund,,"
"Christopher Nkunku,,""$ 110,306"",""$ 5,735,898"",,""$ 5,735,898"",""$ 5,992,715"",Active,F,25,France,Leipzig,,"
"Dani Olmo,,""$ 104,062"",""$ 5,411,225"",""$ 541,122"",""$ 5,952,347"",""$ 6,218,855"",Active,F,25,Spain,Leipzig,,"
"Ryan Gravenberch,,""$ 101,565"",""$ 5,281,356"",,""$ 5,281,356"",""$ 5,517,820"",Active,M,20,Netherlands,Bayern Munich,,"
"Emre Can,,""$ 93,864"",""$ 4,880,925"",,""$ 4,880,925"",""$ 5,099,461"",Active,M,29,Germany,Borussia Dortmund,,"
"Noussair Mazraoui,,""$ 88,245"",""$ 4,588,719"",,""$ 4,588,719"",""$ 4,794,172"",Active,D,25,Morocco,Bayern Munich,,"
"David Raum,,""$ 83,250"",""$ 4,328,980"",""$ 1,082,245"",""$ 5,411,225"",""$ 5,653,504"",Active,D,24,Germany,Leipzig,,"
"Thomas Meunier,,""$ 82,833"",""$ 4,307,335"",,""$ 4,307,335"",""$ 4,500,189"",Active,D,31,Belgium,Borussia Dortmund,,"
"Marco Reus,,""$ 77,214"",""$ 4,015,129"",""$ 573,590"",""$ 4,588,719"",""$ 4,794,172"",Active,F,33,Germany,Borussia Dortmund,,"
"Mats Hummels,,""$ 77,214"",""$ 4,015,129"",""$ 573,590"",""$ 4,588,719"",""$ 4,794,172"",Active,D,34,Germany,Borussia Dortmund,,"
"Josko Gvardiol,,""$ 77,214"",""$ 4,015,129"",,""$ 4,015,129"",""$ 4,194,900"",Active,D,21,Croatia,Leipzig,,"
"Eric Maxim Choupo-Moting,,""$ 77,214"",""$ 4,015,129"",""$ 1,720,770"",""$ 5,735,898"",""$ 5,992,715"",Active,F,33,Cameroon,Bayern Munich,,"
"Julian Brandt,,""$ 77,214"",""$ 4,015,129"",""$ 573,590"",""$ 4,588,719"",""$ 4,794,172"",Active,F,26,Germany,Borussia Dortmund,,"
"Emil Forsberg,,""$ 72,843"",""$ 3,787,857"",,""$ 3,787,857"",""$ 3,957,453"",Active,F,31,Sweden,Leipzig,,"
"Donyell Malen,,""$ 66,183"",""$ 3,441,539"",,""$ 3,441,539"",""$ 3,595,629"",Active,F,24,Netherlands,Borussia Dortmund,,"
"Patrik Schick,,""$ 66,183"",""$ 3,441,539"",""$ 865,796"",""$ 4,307,335"",""$ 4,500,189"",Active,F,27,Czech Republic,Bayer Leverkusen,,"
"Anthony Modeste,,""$ 66,183"",""$ 3,441,539"",,""$ 3,441,539"",""$ 3,595,629"",Active,F,34,France,Borussia Dortmund,,"
"Maximilian Arnold,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,392,103"",Active,M,28,Germany,Wolfsburg,,"
"Matthias Ginter,,""$ 62,437"",""$ 3,246,735"",""$ 811,684"",""$ 4,058,419"",""$ 4,240,128"",Active,D,29,Germany,Freiburg,,"
"Péter Gulácsi,,""$ 61,813"",""$ 3,214,268"",,""$ 3,214,268"",""$ 3,358,182"",Active,K,32,Hungary,Leipzig,,"
"Raphaël Guerreiro,,""$ 60,772"",""$ 3,160,155"",,""$ 3,160,155"",""$ 3,301,647"",Active,D,29,Portugal,Borussia Dortmund,,"
"Abdou Diallo,,""$ 59,523"",""$ 3,095,221"",,""$ 3,095,221"",""$ 3,233,804"",Loan,D,26,Senegal,Leipzig,,"
"Philipp Lienhart,,""$ 58,275"",""$ 3,030,286"",,""$ 3,030,286"",""$ 3,165,962"",Active,D,26,Austria,Freiburg,,"
"Lukas Klostermann,,""$ 57,442"",""$ 2,986,996"",,""$ 2,986,996"",""$ 3,120,734"",Active,D,26,Germany,Leipzig,,"
"Yann Sommer,,""$ 55,153"",""$ 2,867,949"",,""$ 2,867,949"",""$ 2,996,357"",Active,K,34,Switzerland,Bayern Munich,,"
"André Silva,,""$ 55,153"",""$ 2,867,949"",,""$ 2,867,949"",""$ 2,996,357"",Active,F,27,Portugal,Leipzig,,"
"Nico Schulz,,""$ 55,153"",""$ 2,867,949"",,""$ 2,867,949"",""$ 2,996,357"",Active,D,29,Germany,Borussia Dortmund,,"
"Jamal Musiala,,""$ 55,153"",""$ 2,867,949"",""$ 2,294,359"",""$ 5,162,309"",""$ 5,393,443"",Active,F,19,Germany,Bayern Munich,,"
"Karim Adeyemi,,""$ 55,153"",""$ 2,867,949"",""$ 573,590"",""$ 3,441,539"",""$ 3,595,629"",Active,F,21,Germany,Borussia Dortmund,,"
"Benjamin Pavard,,""$ 55,153"",""$ 2,867,949"",,""$ 2,867,949"",""$ 2,996,357"",Active,D,26,France,Bayern Munich,,"
"Karim Bellarabi,,""$ 54,112"",""$ 2,813,837"",,""$ 2,813,837"",""$ 2,939,822"",Active,F,32,Germany,Bayer Leverkusen,,"
"Alassane Plea,,""$ 52,031"",""$ 2,705,612"",,""$ 2,705,612"",""$ 2,826,752"",Active,F,29,France,Monchengladbach,,"
"Nico Schlotterbeck,,""$ 52,031"",""$ 2,705,612"",,""$ 2,705,612"",""$ 2,826,752"",Active,D,23,Germany,Borussia Dortmund,,"
"Florian Wirtz,,""$ 49,742"",""$ 2,586,566"",""$ 1,720,770"",""$ 4,307,335"",""$ 4,500,189"",Active,F,19,Germany,Bayer Leverkusen,,"
"Dominik Szoboszlai,,""$ 46,412"",""$ 2,413,406"",,""$ 2,413,406"",""$ 2,521,463"",Active,F,22,Hungary,Leipzig,,"
"Willi Orbán,,""$ 46,412"",""$ 2,413,406"",,""$ 2,413,406"",""$ 2,521,463"",Active,D,30,Hungary,Leipzig,,"
"Jonas Hofmann,,""$ 44,330"",""$ 2,305,182"",,""$ 2,305,182"",""$ 2,408,393"",Active,F,30,Germany,Monchengladbach,,"
"Mathys Tel,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Active,F,17,France,Bayern Munich,,"
"Andrej Kramaric,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Active,F,31,Croatia,Hoffenheim,,"
"Yussuf Poulsen,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Active,F,28,Denmark,Leipzig,,"
"Mahmoud Dahoud,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Active,M,27,Germany,Borussia Dortmund,,"
"Koen Casteels,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Active,K,30,Belgium,Wolfsburg,,"
"Xaver Schlager,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Active,M,25,Austria,Leipzig,,"
"Callum Hudson-Odoi,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,397,086"",Loan,F,22,England,Bayer Leverkusen,,"
"Sebastian Rudy,,""$ 42,457"",""$ 2,207,780"",,""$ 2,207,780"",""$ 2,306,630"",Active,M,32,Germany,Hoffenheim,,"
"Simon Terodde,,""$ 42,249"",""$ 2,196,957"",,""$ 2,196,957"",""$ 2,295,323"",Active,F,35,Germany,Schalke 04,,"
"Benjamin Henrichs,,""$ 41,833"",""$ 2,175,312"",,""$ 2,175,312"",""$ 2,272,709"",Active,D,25,Germany,Leipzig,,"
"Salih Özcan,,""$ 41,625"",""$ 2,164,490"",,""$ 2,164,490"",""$ 2,261,402"",Active,M,25,Turkey,Borussia Dortmund,,"
"Charles Aránguiz,,""$ 41,625"",""$ 2,164,490"",,""$ 2,164,490"",""$ 2,261,402"",Active,M,33,Chile,Bayer Leverkusen,,"
"Maxence Lacroix,,""$ 39,960"",""$ 2,077,910"",,""$ 2,077,910"",""$ 2,170,946"",Active,D,22,France,Wolfsburg,,"
"Yannick Gerhardt,,""$ 39,752"",""$ 2,067,088"",,""$ 2,067,088"",""$ 2,159,639"",Active,M,28,Germany,Wolfsburg,,"
"Jonas Hector,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,D,32,Germany,Koln,,"
"Timo Horn,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,K,29,Germany,Koln,,"
"Amadou Haidara,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,M,25,Mali,Leipzig,,"
"Kevin Trapp,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,K,32,Germany,Eintracht Frankfurt,,"
"Mario Götze,,""$ 38,711"",""$ 2,012,976"",""$ 865,796"",""$ 2,878,772"",""$ 3,007,664"",Active,F,31,Germany,Eintracht Frankfurt,,"
"Christoph Kramer,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Active,M,31,Germany,Monchengladbach,,"
"Angeliño,,""$ 38,711"",""$ 2,012,976"",,""$ 2,012,976"",""$ 2,103,104"",Loan,D,26,Spain,Hoffenheim,,"
