"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Harry Kane,,""$ 288,223"",""$ 14,987,592"",,""$ 14,987,592"",""$ 14,987,592"",Active,F,31,England,Bayern Munich,,"
"Manuel Neuer,,""$ 242,107"",""$ 12,589,577"",,""$ 12,589,577"",""$ 12,589,577"",Active,K,38,Germany,Bayern Munich,,"
"Joshua Kimmich,,""$ 230,578"",""$ 11,990,073"",,""$ 11,990,073"",""$ 11,990,073"",Active,M,30,Germany,Bayern Munich,,"
"Serge Gnabry,,""$ 217,527"",""$ 11,311,390"",,""$ 11,311,390"",""$ 11,311,390"",Active,F,29,Germany,Bayern Munich,,"
"Jamal Musiala,,""$ 217,527"",""$ 11,311,390"",""$ 3,958,986"",""$ 15,270,376"",""$ 15,270,376"",Active,F,21,Germany,Bayern Munich,,"
"Kingsley Coman,,""$ 195,992"",""$ 10,191,562"",,""$ 10,191,562"",""$ 10,191,562"",Active,F,28,France,Bayern Munich,,"
"Thomas Müller,,""$ 172,934"",""$ 8,992,555"",""$ 1,199,007"",""$ 10,191,562"",""$ 10,191,562"",Active,F,35,Germany,Bayern Munich,,"
"Leroy Sané,,""$ 172,934"",""$ 8,992,555"",""$ 2,997,518"",""$ 11,990,073"",""$ 11,990,073"",Active,F,29,Germany,Bayern Munich,,"
"Alphonso Davies,,""$ 172,934"",""$ 8,992,555"",""$ 2,997,518"",""$ 11,990,073"",""$ 11,990,073"",Active,D,24,Canada,Bayern Munich,,"
"Michael Olise,,""$ 155,749"",""$ 8,098,955"",,""$ 8,098,955"",""$ 8,098,955"",Active,F,23,France,Bayern Munich,,"
"Leon Goretzka,,""$ 149,876"",""$ 7,793,548"",""$ 2,398,015"",""$ 10,191,562"",""$ 10,191,562"",Active,M,30,Germany,Bayern Munich,,"
"Min-jae Kim,,""$ 138,347"",""$ 7,194,044"",,""$ 7,194,044"",""$ 7,194,044"",Active,D,28,South Korea,Bayern Munich,,"
"Niklas Süle,,""$ 115,289"",""$ 5,995,037"",""$ 599,504"",""$ 6,594,540"",""$ 6,594,540"",Active,D,29,Germany,Borussia Dortmund,,"
"Dayot Upamecano,,""$ 115,289"",""$ 5,995,037"",,""$ 5,995,037"",""$ 5,995,037"",Active,D,26,France,Bayern Munich,,"
