"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Eden Hazard,,""$ 312,186"",""$ 16,233,675"",,""$ 16,233,675"",""$ 17,130,001"",Active,F,32,Belgium,Real Madrid,,"
"Vinicius Junior,,""$ 249,749"",""$ 12,986,940"",""$ 6,493,470"",""$ 19,480,410"",""$ 20,556,001"",Active,F,22,Brazil,Real Madrid,,"
"Toni Kroos,,""$ 243,505"",""$ 12,662,266"",,""$ 12,662,266"",""$ 13,361,401"",Active,M,33,Germany,Real Madrid,,"
"Sergio Busquets,,""$ 239,759"",""$ 12,467,462"",,""$ 12,467,462"",""$ 13,155,841"",Active,M,34,Spain,Barcelona,,"
"Karim Benzema,,""$ 239,759"",""$ 12,467,462"",,""$ 12,467,462"",""$ 13,155,841"",Active,F,35,France,Real Madrid,,"
"David Alaba,,""$ 224,774"",""$ 11,688,246"",,""$ 11,688,246"",""$ 12,333,601"",Active,D,30,Austria,Real Madrid,,"
"Luka Modric,,""$ 218,530"",""$ 11,363,572"",,""$ 11,363,572"",""$ 11,991,001"",Active,M,37,Croatia,Real Madrid,,"
"Jan Oblak,,""$ 208,124"",""$ 10,822,450"",,""$ 10,822,450"",""$ 11,420,001"",Active,K,30,Slovenia,Atletico Madrid,,"
"Robert Lewandowski,,""$ 208,124"",""$ 10,822,450"",,""$ 10,822,450"",""$ 11,420,001"",Active,F,34,Poland,Barcelona,,"
"Frenkie de Jong,,""$ 179,819"",""$ 9,350,597"",""$ 2,532,453"",""$ 11,883,050"",""$ 12,539,161"",Active,M,25,Netherlands,Barcelona,,"
"Ousmane Dembélé,,""$ 159,839"",""$ 8,311,642"",""$ 2,077,910"",""$ 10,389,552"",""$ 10,963,201"",Active,F,25,France,Barcelona,,"
"Koke,,""$ 159,839"",""$ 8,311,642"",,""$ 8,311,642"",""$ 8,770,561"",Active,M,31,Spain,Atletico Madrid,,"
"Thibaut Courtois,,""$ 149,849"",""$ 7,792,164"",,""$ 7,792,164"",""$ 8,222,400"",Active,K,30,Belgium,Real Madrid,,"
"Gerard Piqué,,""$ 147,352"",""$ 7,662,295"",,""$ 7,662,295"",""$ 8,085,360"",Inactive,D,35,Spain,Barcelona,,"
"Antonio Rüdiger,,""$ 145,687"",""$ 7,575,715"",""$ 2,164,490"",""$ 9,740,205"",""$ 10,278,001"",Active,D,29,Germany,Real Madrid,,"
"Ansu Fati,,""$ 139,443"",""$ 7,251,041"",,""$ 7,251,041"",""$ 7,651,400"",Active,F,20,Spain,Barcelona,,"
"Jules Koundé,,""$ 135,281"",""$ 7,034,592"",,""$ 7,034,592"",""$ 7,423,000"",Active,D,24,France,Barcelona,,"
"Álvaro Morata,,""$ 135,281"",""$ 7,034,592"",,""$ 7,034,592"",""$ 7,423,000"",Active,F,30,Spain,Atletico Madrid,,"
"Yannick Carrasco,,""$ 131,118"",""$ 6,818,143"",,""$ 6,818,143"",""$ 7,194,600"",Active,F,29,Belgium,Atletico Madrid,,"
"Aurélien Tchouameni,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,852,000"",Active,M,23,France,Real Madrid,,"
"Raphinha,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,852,000"",Active,F,26,Brazil,Barcelona,,"
"Antoine Griezmann,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,852,000"",Loan,F,31,France,Atletico Madrid,,"
"Saúl Ñíguez,,""$ 119,879"",""$ 6,233,731"",,""$ 6,233,731"",""$ 6,577,920"",Active,M,28,Spain,Atletico Madrid,,"
"Nacho Fernández,,""$ 114,468"",""$ 5,952,347"",,""$ 5,952,347"",""$ 6,281,000"",Active,D,33,Spain,Real Madrid,,"
"Iñaki Williams,,""$ 113,844"",""$ 5,919,880"",,""$ 5,919,880"",""$ 6,246,740"",Active,F,28,Ghana,Athletic Club,,"
"Jordi Alba,,""$ 105,519"",""$ 5,486,982"",,""$ 5,486,982"",""$ 5,789,940"",Active,D,33,Spain,Barcelona,,"
"Dani Ceballos,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,710,000"",Active,M,26,Spain,Real Madrid,,"
"Daniel Carvajal,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,710,000"",Active,D,31,Spain,Real Madrid,,"
"Ferland Mendy,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,710,000"",Active,D,27,France,Real Madrid,,"
"Ferran Torres,,""$ 99,900"",""$ 5,194,776"",""$ 1,558,433"",""$ 6,753,209"",""$ 7,126,080"",Active,F,22,Spain,Barcelona,,"
"Marco Asensio,,""$ 98,235"",""$ 5,108,196"",,""$ 5,108,196"",""$ 5,390,240"",Active,F,27,Spain,Real Madrid,,"
"Pedri,,""$ 93,656"",""$ 4,870,102"",,""$ 4,870,102"",""$ 5,139,000"",Active,M,20,Spain,Barcelona,,"
"Lucas Vázquez,,""$ 93,656"",""$ 4,870,102"",,""$ 4,870,102"",""$ 5,139,000"",Active,D,31,Spain,Real Madrid,,"
"Franck Kessié,,""$ 89,910"",""$ 4,675,298"",""$ 2,077,910"",""$ 6,753,209"",""$ 7,126,080"",Active,M,26,Cote d'Ivoire,Barcelona,,"
"Andreas Christensen,,""$ 89,910"",""$ 4,675,298"",""$ 2,077,910"",""$ 6,753,209"",""$ 7,126,080"",Active,D,26,Denmark,Barcelona,,"
"Marc-André ter Stegen,,""$ 89,910"",""$ 4,675,298"",,""$ 4,675,298"",""$ 4,933,440"",Active,K,30,Germany,Barcelona,,"
