"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Robert Lewandowski,,""$ 348,043"",""$ 18,098,224"",,""$ 18,098,224"",""$ 18,098,224"",Active,F,36,Poland,Barcelona,,"
"Kylian Mbappé,,""$ 326,290"",""$ 16,967,085"",""$ 21,944,097"",""$ 38,911,182"",""$ 38,911,182"",Active,F,26,France,Real Madrid,,"
"Vinicius Junior,,""$ 261,032"",""$ 13,573,668"",""$ 6,786,834"",""$ 20,360,502"",""$ 20,360,502"",Active,F,24,Brazil,Real Madrid,,"
"David Alaba,,""$ 234,929"",""$ 12,216,301"",,""$ 12,216,301"",""$ 12,216,301"",Active,D,32,Austria,Real Madrid,,"
"Jan Oblak,,""$ 217,527"",""$ 11,311,390"",,""$ 11,311,390"",""$ 11,311,390"",Active,K,32,Slovenia,Atletico Madrid,,"
"Jude Bellingham,,""$ 217,527"",""$ 11,311,390"",""$ 2,262,278"",""$ 13,573,668"",""$ 13,573,668"",Active,F,21,England,Real Madrid,,"
"Frenkie de Jong,,""$ 198,384"",""$ 10,315,988"",""$ 3,370,794"",""$ 13,686,782"",""$ 13,686,782"",Active,M,27,Netherlands,Barcelona,,"
"Rodrygo,,""$ 174,021"",""$ 9,049,112"",,""$ 9,049,112"",""$ 9,049,112"",Active,F,24,Brazil,Real Madrid,,"
"Raphinha,,""$ 174,021"",""$ 9,049,112"",""$ 2,262,278"",""$ 11,311,390"",""$ 11,311,390"",Active,F,28,Brazil,Barcelona,,"
"Federico Valverde,,""$ 174,021"",""$ 9,049,112"",,""$ 9,049,112"",""$ 9,049,112"",Active,M,26,Uruguay,Real Madrid,,"
"Thibaut Courtois,,""$ 156,619"",""$ 8,144,201"",,""$ 8,144,201"",""$ 8,144,201"",Active,K,32,Belgium,Real Madrid,,"
"Éder Militão,,""$ 152,269"",""$ 7,917,973"",,""$ 7,917,973"",""$ 7,917,973"",Active,D,27,Brazil,Real Madrid,,"
"Antonio Rüdiger,,""$ 152,269"",""$ 7,917,973"",""$ 2,262,278"",""$ 10,180,251"",""$ 10,180,251"",Active,D,31,Germany,Real Madrid,,"
"Ansu Fati,,""$ 145,743"",""$ 7,578,631"",,""$ 7,578,631"",""$ 7,578,631"",Active,F,22,Spain,Barcelona,,"
"Jules Koundé,,""$ 141,392"",""$ 7,352,403"",,""$ 7,352,403"",""$ 7,352,403"",Active,D,26,France,Barcelona,,"
"Antoine Griezmann,,""$ 130,516"",""$ 6,786,834"",,""$ 6,786,834"",""$ 6,786,834"",Active,F,34,France,Atletico Madrid,,"
"Eduardo Camavinga,,""$ 130,516"",""$ 6,786,834"",,""$ 6,786,834"",""$ 6,786,834"",Active,M,22,France,Real Madrid,,"
"Ronald Araujo,,""$ 130,516"",""$ 6,786,834"",""$ 1,900,314"",""$ 8,687,148"",""$ 8,687,148"",Active,D,25,Uruguay,Barcelona,,"
"Dani Olmo,,""$ 130,516"",""$ 6,786,834"",""$ 814,420"",""$ 7,601,254"",""$ 7,601,254"",Active,F,26,Spain,Barcelona,,"
