"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kylian Mbappé,,""$ 824,171"",""$ 42,856,902"",""$ 35,714,085"",""$ 78,570,987"",""$ 80,898,035"",Active,F,24,France,PSG,,"
"Lionel Messi,,""$ 728,434"",""$ 37,878,575"",,""$ 37,878,575"",""$ 39,000,430"",Active,F,35,Argentina,PSG,,"
"Neymar,,""$ 645,185"",""$ 33,549,595"",,""$ 33,549,595"",""$ 34,543,238"",Active,F,30,Brazil,PSG,,"
"Marco Verratti,,""$ 164,834"",""$ 8,571,380"",""$ 3,246,735"",""$ 11,818,115"",""$ 12,168,134"",Active,M,30,Italy,PSG,,"
"Marquinhos,,""$ 154,012"",""$ 8,008,613"",,""$ 8,008,613"",""$ 8,245,805"",Active,D,29,Brazil,PSG,,"
"Gianluigi Donnarumma,,""$ 145,687"",""$ 7,575,715"",""$ 3,246,735"",""$ 10,822,450"",""$ 11,142,980"",Active,K,23,Italy,PSG,,"
"Keylor Navas,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,685,788"",Inactive,K,35,Costa Rica,PSG,,"
"Mauro Icardi,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,685,788"",Inactive,F,29,Argentina,PSG,,"
"Sergio Ramos,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,685,788"",Active,D,36,Spain,PSG,,"
"Achraf Hakimi,,""$ 104,062"",""$ 5,411,225"",""$ 3,246,735"",""$ 8,657,960"",""$ 8,914,384"",Active,D,24,Morocco,PSG,,"
"Juan Bernat,,""$ 100,316"",""$ 5,216,421"",,""$ 5,216,421"",""$ 5,370,916"",Active,D,29,Spain,PSG,,"
"Nordi Mukiele,,""$ 96,153"",""$ 4,999,972"",,""$ 4,999,972"",""$ 5,148,057"",Active,D,25,France,PSG,,"
"Wissam Ben Yedder,,""$ 141,316"",""$ 7,348,444"",,""$ 7,348,444"",""$ 7,566,083"",Active,F,32,France,Monaco,,"
"Presnel Kimpembe,,""$ 87,828"",""$ 4,567,074"",,""$ 4,567,074"",""$ 4,702,338"",Active,D,27,France,PSG,,"
"Malang Sarr,,""$ 130,702"",""$ 6,796,499"",,""$ 6,796,499"",""$ 6,997,791"",Loan,D,24,France,Monaco,,"
"Hugo Ekitiké,,""$ 80,128"",""$ 4,166,643"",,""$ 4,166,643"",""$ 4,290,047"",Loan,F,20,France,PSG,,"
"André Gomes,,""$ 77,422"",""$ 4,025,951"",,""$ 4,025,951"",""$ 4,145,189"",Loan,M,29,Portugal,Lille,,"
"Renato Sanches,,""$ 74,092"",""$ 3,852,792"",,""$ 3,852,792"",""$ 3,966,901"",Active,M,25,Portugal,PSG,,"
"Corentin Tolisso,,""$ 72,843"",""$ 3,787,857"",,""$ 3,787,857"",""$ 3,900,043"",Active,M,28,France,Lyon,,"
"Carlos Soler,,""$ 68,681"",""$ 3,571,408"",,""$ 3,571,408"",""$ 3,677,183"",Active,M,26,Spain,PSG,,"
"Alexandre Lacazette,,""$ 68,681"",""$ 3,571,408"",,""$ 3,571,408"",""$ 3,677,183"",Active,F,31,France,Lyon,,"
"Dimitri Payet,,""$ 68,681"",""$ 3,571,408"",,""$ 3,571,408"",""$ 3,677,183"",Active,F,35,France,Marseille,,"
"Alexis Sánchez,,""$ 68,681"",""$ 3,571,408"",,""$ 3,571,408"",""$ 3,677,183"",Active,F,34,Chile,Marseille,,"
"Nicolas Pépé,,""$ 67,848"",""$ 3,528,119"",,""$ 3,528,119"",""$ 3,632,612"",Loan,F,27,Cote d'Ivoire,Nice,,"
"Fabián Ruiz,,""$ 62,437"",""$ 3,246,735"",""$ 2,164,490"",""$ 5,411,225"",""$ 5,571,490"",Active,M,26,Spain,PSG,,"
"Vitinha,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,342,894"",Active,M,22,Portugal,PSG,,"
"Aaron Ramsey,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,342,894"",Active,M,32,Wales,Nice,,"
"Jordan Veretout,,""$ 61,813"",""$ 3,214,268"",,""$ 3,214,268"",""$ 3,309,465"",Active,M,29,France,Marseille,,"
"Eric Bailly,,""$ 61,813"",""$ 3,214,268"",,""$ 3,214,268"",""$ 3,309,465"",Loan,D,28,Cote d'Ivoire,Marseille,,"
"Alexander Nübel,,""$ 90,534"",""$ 4,707,766"",,""$ 4,707,766"",""$ 4,847,196"",Loan,K,26,Germany,Monaco,,"
"Jérôme Boateng,,""$ 54,945"",""$ 2,857,127"",,""$ 2,857,127"",""$ 2,941,747"",Active,D,34,Germany,Lyon,,"
"Dejan Lovren,,""$ 54,945"",""$ 2,857,127"",,""$ 2,857,127"",""$ 2,941,747"",Active,D,33,Croatia,Lyon,,"
"Dante,,""$ 52,031"",""$ 2,705,612"",,""$ 2,705,612"",""$ 2,785,745"",Active,D,39,Brazil,Nice,,"
"Julian Draxler,,""$ 49,534"",""$ 2,575,743"",,""$ 2,575,743"",""$ 2,652,029"",Inactive,F,28,Germany,PSG,,"
"Ruslan Malinovskyi,,""$ 48,077"",""$ 2,499,986"",,""$ 2,499,986"",""$ 2,574,028"",Loan,F,29,Ukraine,Marseille,,"
"Anthony Lopes,,""$ 48,077"",""$ 2,499,986"",,""$ 2,499,986"",""$ 2,574,028"",Active,K,32,Portugal,Lyon,,"
"Azzedine Ounahi,,""$ 47,452"",""$ 2,467,519"",,""$ 2,467,519"",""$ 2,540,599"",Active,M,22,Morocco,Marseille,,"
"Valentin Rongier,,""$ 45,371"",""$ 2,359,294"",,""$ 2,359,294"",""$ 2,429,170"",Active,M,28,France,Marseille,,"
"Kasper Schmeichel,,""$ 45,371"",""$ 2,359,294"",,""$ 2,359,294"",""$ 2,429,170"",Active,K,36,Denmark,Nice,,"
"Cengiz Ünder,,""$ 45,371"",""$ 2,359,294"",,""$ 2,359,294"",""$ 2,429,170"",Active,F,25,Turkey,Marseille,,"
"Pau López,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,362,312"",Active,K,28,Spain,Marseille,,"
"Gaëtan Laborde,,""$ 44,122"",""$ 2,294,359"",,""$ 2,294,359"",""$ 2,362,312"",Active,F,28,France,Nice,,"
"Mattéo Guendouzi,,""$ 43,914"",""$ 2,283,537"",,""$ 2,283,537"",""$ 2,351,169"",Active,M,23,France,Marseille,,"
"Chancel Mbemba,,""$ 43,914"",""$ 2,283,537"",,""$ 2,283,537"",""$ 2,351,169"",Active,D,28,Democratic Republic of the Congo,Marseille,,"
"Aleksandr Golovin,,""$ 68,681"",""$ 3,571,408"",,""$ 3,571,408"",""$ 3,677,183"",Active,F,26,Russia,Monaco,,"
"Moussa Sissoko,,""$ 42,665"",""$ 2,218,602"",,""$ 2,218,602"",""$ 2,284,311"",Active,M,33,France,Nantes,,"
"Houssem Aouar,,""$ 42,665"",""$ 2,218,602"",,""$ 2,218,602"",""$ 2,284,311"",Active,M,24,France,Lyon,,"
"Thiago Mendes,,""$ 41,209"",""$ 2,142,845"",,""$ 2,142,845"",""$ 2,206,310"",Active,M,30,Brazil,Lyon,,"
"Gelson Martins,,""$ 65,143"",""$ 3,387,427"",,""$ 3,387,427"",""$ 3,487,753"",Active,F,27,Portugal,Monaco,,"
"Rayan Cherki,,""$ 41,209"",""$ 2,142,845"",,""$ 2,142,845"",""$ 2,206,310"",Active,F,19,France,Lyon,,"
"Kevin Volland,,""$ 65,143"",""$ 3,387,427"",,""$ 3,387,427"",""$ 3,487,753"",Active,F,30,Germany,Monaco,,"
"Takumi Minamino,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,342,894"",Active,F,28,Japan,Monaco,,"
"Breel Embolo,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,342,894"",Active,F,25,Switzerland,Monaco,,"
"Maxence Caqueret,,""$ 38,503"",""$ 2,002,153"",,""$ 2,002,153"",""$ 2,061,451"",Active,M,22,France,Lyon,,"
"Jonathan Clauss,,""$ 37,879"",""$ 1,969,686"",,""$ 1,969,686"",""$ 2,028,022"",Active,D,30,France,Marseille,,"
"Danilo Pereira,,""$ 36,630"",""$ 1,904,751"",,""$ 1,904,751"",""$ 1,961,164"",Active,M,31,Portugal,PSG,,"
"Moussa Dembélé,,""$ 35,797"",""$ 1,861,461"",,""$ 1,861,461"",""$ 1,916,593"",Active,F,26,France,Lyon,,"
"Amine Harit,,""$ 35,589"",""$ 1,850,639"",,""$ 1,850,639"",""$ 1,905,450"",Loan,F,25,Morocco,Marseille,,"
"Vitinha,,""$ 34,340"",""$ 1,785,704"",,""$ 1,785,704"",""$ 1,838,592"",Active,F,22,Portugal,Marseille,,"
"Wahbi Khazri,,""$ 34,340"",""$ 1,785,704"",,""$ 1,785,704"",""$ 1,838,592"",Active,F,31,Tunisia,Montpellier,,"
"Vanderson,,""$ 54,320"",""$ 2,824,659"",,""$ 2,824,659"",""$ 2,908,318"",Active,D,21,Brazil,Monaco,,"
"Martin Terrier,,""$ 34,340"",""$ 1,785,704"",,""$ 1,785,704"",""$ 1,838,592"",Active,F,25,France,Rennes,,"
"Krépin Diatta,,""$ 54,112"",""$ 2,813,837"",,""$ 2,813,837"",""$ 2,897,175"",Active,F,23,Senegal,Monaco,,"
"Adrien Thomasson,,""$ 33,300"",""$ 1,731,592"",,""$ 1,731,592"",""$ 1,782,877"",Active,F,29,France,Lens,,"
"Arthur Theate,,""$ 33,300"",""$ 1,731,592"",,""$ 1,731,592"",""$ 1,782,877"",Active,D,22,Belgium,Rennes,,"
