"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kylian Mbappé,,""$ 824,145"",""$ 42,855,556"",""$ 35,712,963"",""$ 78,568,519"",""$ 79,310,069"",Active,F,25,France,PSG,,"
"Ousmane Dembélé,,""$ 206,036"",""$ 10,713,889"",""$ 4,166,512"",""$ 14,880,401"",""$ 15,020,846"",Active,F,26,France,PSG,,"
"Milan Skriniar,,""$ 187,306"",""$ 9,739,899"",""$ 2,164,422"",""$ 11,904,321"",""$ 12,016,677"",Active,D,28,Slovakia,PSG,,"
"Marco Asensio,,""$ 166,494"",""$ 8,657,688"",""$ 2,164,422"",""$ 10,822,110"",""$ 10,924,252"",Active,F,28,Spain,PSG,,"
"Marquinhos,,""$ 154,007"",""$ 8,008,361"",,""$ 8,008,361"",""$ 8,083,946"",Active,D,29,Brazil,PSG,,"
"Lucas Hernández,,""$ 151,093"",""$ 7,856,852"",""$ 3,246,633"",""$ 11,103,485"",""$ 11,208,282"",Active,D,27,France,PSG,,"
"Gianluigi Donnarumma,,""$ 145,682"",""$ 7,575,477"",""$ 3,246,633"",""$ 10,822,110"",""$ 10,924,252"",Active,K,24,Italy,PSG,,"
"Warren Zaïre-Emery,,""$ 130,490"",""$ 6,785,463"",,""$ 6,785,463"",""$ 6,849,506"",Active,M,18,France,PSG,,"
"Keylor Navas,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,554,551"",Active,K,37,Costa Rica,PSG,,"
"Randal Kolo Muani,,""$ 104,059"",""$ 5,411,055"",""$ 2,164,422"",""$ 7,575,477"",""$ 7,646,976"",Active,F,25,France,PSG,,"
"Achraf Hakimi,,""$ 104,059"",""$ 5,411,055"",""$ 3,246,633"",""$ 8,657,688"",""$ 8,739,402"",Active,D,25,Morocco,PSG,,"
"Nordi Mukiele,,""$ 96,150"",""$ 4,999,815"",,""$ 4,999,815"",""$ 5,047,004"",Active,D,26,France,PSG,,"
"Wissam Ben Yedder,,""$ 141,312"",""$ 7,348,213"",,""$ 7,348,213"",""$ 7,417,567"",Active,F,33,France,Monaco,,"
"Pierre-Emerick Aubameyang,,""$ 89,282"",""$ 4,642,685"",,""$ 4,642,685"",""$ 4,686,504"",Active,F,34,Gabon,Marseille,,"
"Presnel Kimpembe,,""$ 87,826"",""$ 4,566,930"",,""$ 4,566,930"",""$ 4,610,034"",Active,D,28,France,PSG,,"
"Bradley Barcola,,""$ 75,547"",""$ 3,928,426"",,""$ 3,928,426"",""$ 3,965,503"",Active,F,21,France,PSG,,"
"Corentin Tolisso,,""$ 72,841"",""$ 3,787,738"",,""$ 3,787,738"",""$ 3,823,488"",Active,M,29,France,Lyon,,"
"Manuel Ugarte,,""$ 70,760"",""$ 3,679,517"",,""$ 3,679,517"",""$ 3,714,246"",Active,M,22,Uruguay,PSG,,"
"Alexandre Lacazette,,""$ 68,679"",""$ 3,571,296"",,""$ 3,571,296"",""$ 3,605,003"",Active,F,32,France,Lyon,,"
"Layvin Kurzawa,,""$ 68,679"",""$ 3,571,296"",,""$ 3,571,296"",""$ 3,605,003"",Active,D,31,France,PSG,,"
"Gonçalo Ramos,,""$ 63,060"",""$ 3,279,099"",,""$ 3,279,099"",""$ 3,310,048"",Loan,F,22,Portugal,PSG,,"
"Geoffrey Kondogbia,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,277,276"",Active,M,30,Central African Republic,Marseille,,"
"Vitinha,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,277,276"",Active,M,23,Portugal,PSG,,"
"Joaquín Correa,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,277,276"",Loan,F,29,Argentina,Marseille,,"
"Fabián Ruiz,,""$ 62,435"",""$ 3,246,633"",""$ 2,164,422"",""$ 5,411,055"",""$ 5,462,126"",Active,M,27,Spain,PSG,,"
"Jordan Veretout,,""$ 61,811"",""$ 3,214,167"",,""$ 3,214,167"",""$ 3,244,503"",Active,M,30,France,Marseille,,"
"Nemanja Matic,,""$ 55,151"",""$ 2,867,859"",,""$ 2,867,859"",""$ 2,894,927"",Active,M,35,Serbia,Lyon,,"
"Carlos Soler,,""$ 54,943"",""$ 2,857,037"",,""$ 2,857,037"",""$ 2,884,003"",Active,M,27,Spain,PSG,,"
"Dejan Lovren,,""$ 54,943"",""$ 2,857,037"",,""$ 2,857,037"",""$ 2,884,003"",Active,D,34,Croatia,Lyon,,"
"Ismaïla Sarr,,""$ 53,486"",""$ 2,781,282"",,""$ 2,781,282"",""$ 2,807,533"",Active,F,25,Senegal,Marseille,,"
