"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ousmane Dembélé,,""$ 215,351"",""$ 11,198,276"",""$ 4,354,885"",""$ 15,553,161"",""$ 15,553,161"",Active,F,27,France,PSG,,"
"Khvicha Kvaratskhelia,,""$ 195,774"",""$ 10,180,251"",""$ 2,262,278"",""$ 12,442,529"",""$ 12,442,529"",Active,F,23,Georgia,PSG,,"
"Marquinhos,,""$ 160,970"",""$ 8,370,429"",,""$ 8,370,429"",""$ 8,370,429"",Active,D,30,Brazil,PSG,,"
"Lucas Hernández,,""$ 157,924"",""$ 8,212,069"",""$ 3,393,417"",""$ 11,605,486"",""$ 11,605,486"",Active,D,28,France,PSG,,"
"Achraf Hakimi,,""$ 157,924"",""$ 8,212,069"",""$ 3,393,417"",""$ 11,605,486"",""$ 11,605,486"",Active,D,26,Morocco,PSG,,"
"Gianluigi Donnarumma,,""$ 152,269"",""$ 7,917,973"",""$ 3,393,417"",""$ 11,311,390"",""$ 11,311,390"",Active,K,25,Italy,PSG,,"
"Warren Zaïre-Emery,,""$ 136,389"",""$ 7,092,242"",,""$ 7,092,242"",""$ 7,092,242"",Active,M,18,France,PSG,,"
"Vitinha,,""$ 130,516"",""$ 6,786,834"",""$ 1,131,139"",""$ 7,917,973"",""$ 7,917,973"",Active,M,24,Portugal,PSG,,"
"Nuno Mendes,,""$ 119,640"",""$ 6,221,264"",,""$ 6,221,264"",""$ 6,221,264"",Active,D,22,Portugal,PSG,,"
"João Neves,,""$ 108,763"",""$ 5,655,695"",""$ 1,131,139"",""$ 6,786,834"",""$ 6,786,834"",Active,M,20,Portugal,PSG,,"
"Willian Pacho,,""$ 108,763"",""$ 5,655,695"",,""$ 5,655,695"",""$ 5,655,695"",Active,D,23,Ecuador,PSG,,"
"Milan Skriniar,,""$ 97,887"",""$ 5,090,125"",""$ 2,262,278"",""$ 7,352,403"",""$ 7,352,403"",Inactive,D,29,Slovakia,PSG,,"
"Presnel Kimpembe,,""$ 91,796"",""$ 4,773,407"",,""$ 4,773,407"",""$ 4,773,407"",Active,D,29,France,PSG,,"
"Marco Asensio,,""$ 87,011"",""$ 4,524,556"",""$ 2,262,278"",""$ 6,786,834"",""$ 6,786,834"",Inactive,F,28,Spain,PSG,,"
"Bradley Barcola,,""$ 78,962"",""$ 4,106,035"",,""$ 4,106,035"",""$ 4,106,035"",Active,F,22,France,PSG,,"
"Corentin Tolisso,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,M,30,France,Lyon,,"
"Adrien Rabiot,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,M,29,France,Marseille,,"
"Pierre-Emile Højbjerg,,""$ 73,959"",""$ 3,845,873"",,""$ 3,845,873"",""$ 3,845,873"",Loan,M,29,Denmark,Marseille,,"
"Désiré Doué,,""$ 71,784"",""$ 3,732,759"",,""$ 3,732,759"",""$ 3,732,759"",Active,F,19,France,PSG,,"
"Alexandre Lacazette,,""$ 71,784"",""$ 3,732,759"",,""$ 3,732,759"",""$ 3,732,759"",Active,F,33,France,Lyon,,"
"Gonçalo Ramos,,""$ 65,911"",""$ 3,427,351"",,""$ 3,427,351"",""$ 3,427,351"",Active,F,23,Portugal,PSG,,"
"Seko Fofana,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,29,Cote d'Ivoire,Rennes,,"
"Ismaël Bennacer,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Loan,M,27,Algeria,Marseille,,"
"Tanguy Ndombélé,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,28,France,Nice,,"
"Geoffrey Kondogbia,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,31,Central African Republic,Marseille,,"
"Moussa Niakhaté,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,28,Senegal,Lyon,,"
"Fabián Ruiz,,""$ 65,258"",""$ 3,393,417"",""$ 2,262,278"",""$ 5,655,695"",""$ 5,655,695"",Active,M,28,Spain,PSG,,"
"Mason Greenwood,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,F,23,Jamaica,Marseille,,"
"Morgan Sanson,,""$ 60,907"",""$ 3,167,189"",,""$ 3,167,189"",""$ 3,167,189"",Active,M,30,France,Nice,,"
"Brice Samba,,""$ 60,907"",""$ 3,167,189"",,""$ 3,167,189"",""$ 3,167,189"",Active,K,30,France,Rennes,,"
"Nemanja Matic,,""$ 57,645"",""$ 2,997,518"",,""$ 2,997,518"",""$ 2,997,518"",Active,M,36,Serbia,Lyon,,"
"Amine Gouiri,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,24,Algeria,Marseille,,"
"Randal Kolo Muani,,""$ 54,382"",""$ 2,827,847"",""$ 2,262,278"",""$ 5,090,125"",""$ 5,090,125"",Inactive,F,26,France,PSG,,"
"André Gomes,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,M,31,Portugal,Lille,,"
"Jonathan Clauss,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,32,France,Nice,,"
"Dante,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,41,Brazil,Nice,,"
"Thomas Meunier,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,33,Belgium,Lille,,"
"Juan Bernat,,""$ 52,424"",""$ 2,726,045"",,""$ 2,726,045"",""$ 2,726,045"",Inactive,D,31,Spain,PSG,,"
"Denis Zakaria,,""$ 82,660"",""$ 4,298,328"",,""$ 4,298,328"",""$ 4,298,328"",Active,M,28,Switzerland,Monaco,,"
"Leonardo Balerdi,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Active,D,26,Argentina,Marseille,,"
"Ludovic Blas,,""$ 50,031"",""$ 2,601,620"",,""$ 2,601,620"",""$ 2,601,620"",Active,F,27,France,Rennes,,"
"Takumi Minamino,,""$ 78,310"",""$ 4,072,100"",,""$ 4,072,100"",""$ 4,072,100"",Active,F,30,Japan,Monaco,,"
"Aleksandr Golovin,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,F,28,Russia,Monaco,,"
"Mitchel Bakker,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Loan,D,24,Netherlands,Lille,,"
"Rayan Cherki,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,F,21,France,Lyon,,"
"Valentin Rongier,,""$ 47,421"",""$ 2,465,883"",,""$ 2,465,883"",""$ 2,465,883"",Active,M,30,France,Marseille,,"
"Gaëtan Laborde,,""$ 46,116"",""$ 2,398,015"",,""$ 2,398,015"",""$ 2,398,015"",Active,F,30,France,Nice,,"
"Chancel Mbemba,,""$ 45,898"",""$ 2,386,703"",,""$ 2,386,703"",""$ 2,386,703"",Active,D,30,Democratic Republic of the Congo,Marseille,,"
"Luiz Felipe,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,27,Italy,Marseille,,"
"Jérémie Boga,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,28,Cote d'Ivoire,Nice,,"
"Kang-in Lee,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,23,South Korea,PSG,,"
"Anthony Lopes,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,K,34,Portugal,Nantes,,"
"Ernest Nuamah,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,21,Ghana,Lyon,,"
"Thiago Almada,,""$ 41,330"",""$ 2,149,164"",,""$ 2,149,164"",""$ 2,149,164"",Loan,F,23,Argentina,Lyon,,"
"Thilo Kehrer,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,28,Germany,Monaco,,"
"Breel Embolo,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,F,27,Switzerland,Monaco,,"
"Ainsley Maitland-Niles,,""$ 40,242"",""$ 2,092,607"",,""$ 2,092,607"",""$ 2,092,607"",Active,D,27,England,Lyon,,"
"Georges Mikautadze,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,24,Georgia,Lyon,,"
"Francis Coquelin,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,33,France,Nantes,,"
"Jordan Veretout,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,31,France,Lyon,,"
