"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kevin De Bruyne,,""$ 281,138"",""$ 14,619,176"",,""$ 14,619,176"",""$ 15,180,183"",Active,F,32,Belgium,Manchester City,,"
"Erling Haaland,,""$ 263,690"",""$ 13,711,867"",""$ 17,366,661"",""$ 31,078,528"",""$ 32,271,158"",Active,F,23,Norway,Manchester City,,"
"Mohamed Salah,,""$ 245,996"",""$ 12,791,779"",""$ 1,827,397"",""$ 14,619,176"",""$ 15,180,183"",Active,F,31,Egypt,Liverpool,,"
"Casemiro,,""$ 245,996"",""$ 12,791,779"",""$ 3,654,794"",""$ 16,446,573"",""$ 17,077,706"",Active,M,31,Brazil,Manchester United,,"
"Raphaël Varane,,""$ 238,869"",""$ 12,421,188"",,""$ 12,421,188"",""$ 12,897,848"",Active,D,30,France,Manchester United,,"
"Raheem Sterling,,""$ 228,548"",""$ 11,884,470"",,""$ 11,884,470"",""$ 12,340,533"",Active,F,29,England,Chelsea,,"
"Bernardo Silva,,""$ 210,854"",""$ 10,964,382"",,""$ 10,964,382"",""$ 11,385,137"",Active,F,29,Portugal,Manchester City,,"
"Marcus Rashford,,""$ 210,854"",""$ 10,964,382"",""$ 2,747,485"",""$ 13,711,867"",""$ 14,238,056"",Active,F,26,England,Manchester United,,"
"Jack Grealish,,""$ 210,854"",""$ 10,964,382"",,""$ 10,964,382"",""$ 11,385,137"",Active,F,28,England,Manchester City,,"
"Kai Havertz,,""$ 196,846"",""$ 10,235,979"",""$ 1,827,397"",""$ 12,063,376"",""$ 12,526,305"",Active,F,24,Germany,Arsenal,,"
"Gabriel Jesus,,""$ 186,279"",""$ 9,686,482"",,""$ 9,686,482"",""$ 10,058,198"",Active,F,26,Brazil,Arsenal,,"
"Reece James,,""$ 175,711"",""$ 9,136,985"",,""$ 9,136,985"",""$ 9,487,614"",Active,D,24,England,Chelsea,,"
"John Stones,,""$ 175,711"",""$ 9,136,985"",,""$ 9,136,985"",""$ 9,487,614"",Active,D,29,England,Manchester City,,"
"Anthony Martial,,""$ 175,711"",""$ 9,136,985"",,""$ 9,136,985"",""$ 9,487,614"",Active,F,28,France,Manchester United,,"
"Martin Ødegaard,,""$ 168,585"",""$ 8,766,394"",""$ 2,197,988"",""$ 10,964,382"",""$ 11,385,137"",Active,F,25,Norway,Arsenal,,"
"Bruno Fernandes,,""$ 168,585"",""$ 8,766,394"",,""$ 8,766,394"",""$ 9,102,802"",Active,F,29,Portugal,Manchester United,,"
"Declan Rice,,""$ 168,585"",""$ 8,766,394"",,""$ 8,766,394"",""$ 9,102,802"",Active,M,25,England,Arsenal,,"
"Phil Foden,,""$ 158,263"",""$ 8,229,676"",,""$ 8,229,676"",""$ 8,545,487"",Active,F,23,England,Manchester City,,"
"Virgil van Dijk,,""$ 154,577"",""$ 8,037,991"",,""$ 8,037,991"",""$ 8,346,447"",Active,D,32,Netherlands,Liverpool,,"
"Rodri,,""$ 154,577"",""$ 8,037,991"",,""$ 8,037,991"",""$ 8,346,447"",Active,M,27,Spain,Manchester City,,"
"Josko Gvardiol,,""$ 140,569"",""$ 7,309,588"",,""$ 7,309,588"",""$ 7,590,091"",Active,D,22,Croatia,Manchester City,,"
"Mason Mount,,""$ 140,569"",""$ 7,309,588"",""$ 1,827,397"",""$ 9,136,985"",""$ 9,487,614"",Active,F,25,England,Manchester United,,"
"Thiago,,""$ 140,569"",""$ 7,309,588"",,""$ 7,309,588"",""$ 7,590,091"",Active,M,32,Spain,Liverpool,,"
"Wesley Fofana,,""$ 140,569"",""$ 7,309,588"",,""$ 7,309,588"",""$ 7,590,091"",Active,D,23,France,Chelsea,,"
"Ben Chilwell,,""$ 140,569"",""$ 7,309,588"",,""$ 7,309,588"",""$ 7,590,091"",Active,D,27,England,Chelsea,,"
"Thomas Partey,,""$ 140,569"",""$ 7,309,588"",,""$ 7,309,588"",""$ 7,590,091"",Active,M,30,Ghana,Arsenal,,"
"Jadon Sancho,,""$ 137,129"",""$ 7,130,682"",""$ 3,654,794"",""$ 10,785,476"",""$ 11,199,366"",Inactive,F,23,England,Manchester United,,"
"Christopher Nkunku,,""$ 137,129"",""$ 7,130,682"",,""$ 7,130,682"",""$ 7,404,320"",Active,F,26,France,Chelsea,,"
"Bukayo Saka,,""$ 137,129"",""$ 7,130,682"",""$ 3,654,794"",""$ 10,785,476"",""$ 11,199,366"",Active,F,22,England,Arsenal,,"
"Heung-min Son,,""$ 133,442"",""$ 6,938,997"",,""$ 6,938,997"",""$ 7,205,279"",Active,F,31,South Korea,Tottenham,,"
"Harry Maguire,,""$ 133,442"",""$ 6,938,997"",,""$ 6,938,997"",""$ 7,205,279"",Active,D,30,England,Manchester United,,"
"William Saliba,,""$ 133,442"",""$ 6,938,997"",,""$ 6,938,997"",""$ 7,205,279"",Active,D,22,France,Arsenal,,"
"Trent Alexander-Arnold,,""$ 126,561"",""$ 6,581,185"",,""$ 6,581,185"",""$ 6,833,736"",Active,D,25,England,Liverpool,,"
"Enzo Fernández,,""$ 126,561"",""$ 6,581,185"",,""$ 6,581,185"",""$ 6,833,736"",Active,M,23,Argentina,Chelsea,,"
"Rúben Dias,,""$ 126,561"",""$ 6,581,185"",,""$ 6,581,185"",""$ 6,833,736"",Active,D,26,Portugal,Manchester City,,"
"Gabriel Martinelli,,""$ 126,561"",""$ 6,581,185"",,""$ 6,581,185"",""$ 6,833,736"",Active,F,22,Brazil,Arsenal,,"
"Manuel Akanji,,""$ 126,561"",""$ 6,581,185"",,""$ 6,581,185"",""$ 6,833,736"",Active,D,28,Switzerland,Manchester City,,"
