"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Dusan Vlahovic,,""$ 145,682"",""$ 7,575,477"",,""$ 7,575,477"",""$ 7,691,508"",Active,F,24,Serbia,Juventus,,"
"Victor Osimhen,,""$ 208,118"",""$ 10,822,110"",""$ 2,164,422"",""$ 12,986,532"",""$ 13,185,443"",Active,F,25,Nigeria,Napoli,,"
"Nicolò Barella,,""$ 135,276"",""$ 7,034,372"",""$ 541,106"",""$ 7,575,477"",""$ 7,691,508"",Active,M,27,Italy,Inter Milan,,"
"Wojciech Szczesny,,""$ 135,276"",""$ 7,034,372"",,""$ 7,034,372"",""$ 7,142,115"",Active,K,33,Poland,Juventus,,"
"Lautaro Martínez,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,592,721"",Active,F,26,Argentina,Inter Milan,,"
"Hakan Çalhanoğlu,,""$ 124,871"",""$ 6,493,266"",""$ 541,106"",""$ 7,034,372"",""$ 7,142,115"",Active,M,29,Turkey,Inter Milan,,"
"Alex Sandro,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,592,721"",Active,D,33,Brazil,Juventus,,"
"Alessandro Bastoni,,""$ 114,465"",""$ 5,952,160"",""$ 1,082,211"",""$ 7,034,372"",""$ 7,142,115"",Active,D,24,Italy,Inter Milan,,"
"Bremer,,""$ 104,059"",""$ 5,411,055"",""$ 1,082,211"",""$ 6,493,266"",""$ 6,592,721"",Active,D,26,Brazil,Juventus,,"
"Federico Chiesa,,""$ 104,059"",""$ 5,411,055"",""$ 1,082,211"",""$ 6,493,266"",""$ 6,592,721"",Active,F,26,Italy,Juventus,,"
"Romelu Lukaku,,""$ 145,682"",""$ 7,575,477"",,""$ 7,575,477"",""$ 7,691,508"",Loan,F,30,Belgium,Roma,,"
"Adrien Rabiot,,""$ 145,682"",""$ 7,575,477"",""$ 2,164,422"",""$ 9,739,899"",""$ 9,889,082"",Active,M,28,France,Juventus,,"
"Marcus Thuram,,""$ 124,871"",""$ 6,493,266"",""$ 541,106"",""$ 7,034,372"",""$ 7,142,115"",Active,F,26,France,Inter Milan,,"
"Ciro Immobile,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,F,33,Italy,Lazio,,"
"Luis Alberto,,""$ 83,247"",""$ 4,328,844"",""$ 541,106"",""$ 4,869,950"",""$ 4,944,541"",Active,M,31,Spain,Lazio,,"
