"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Dušan Vlahović,,""$ 228,403"",""$ 11,876,959"",,""$ 11,876,959"",""$ 11,876,959"",Active,F,25,Serbia,Juventus,,"
"Lautaro Martínez,,""$ 195,774"",""$ 10,180,251"",""$ 2,262,278"",""$ 12,442,529"",""$ 12,442,529"",Active,F,27,Argentina,Inter Milan,,"
"Paulo Dybala,,""$ 152,269"",""$ 7,917,973"",""$ 1,131,139"",""$ 9,049,112"",""$ 9,049,112"",Active,F,31,Argentina,Roma,,"
"Nicolò Barella,,""$ 141,392"",""$ 7,352,403"",""$ 565,570"",""$ 7,917,973"",""$ 7,917,973"",Active,M,27,Italy,Inter Milan,,"
"Hakan Çalhanoğlu,,""$ 130,516"",""$ 6,786,834"",""$ 565,570"",""$ 7,352,403"",""$ 7,352,403"",Active,M,30,Turkey,Inter Milan,,"
"Alessandro Bastoni,,""$ 119,640"",""$ 6,221,264"",""$ 1,131,139"",""$ 7,352,403"",""$ 7,352,403"",Active,D,25,Italy,Inter Milan,,"
"Bremer,,""$ 108,763"",""$ 5,655,695"",""$ 1,131,139"",""$ 6,786,834"",""$ 6,786,834"",Active,D,27,Brazil,Juventus,,"
"Douglas Luiz,,""$ 97,887"",""$ 5,090,125"",""$ 565,570"",""$ 5,655,695"",""$ 5,655,695"",Active,M,26,Brazil,Juventus,,"
"Piotr Zieliński,,""$ 97,887"",""$ 5,090,125"",""$ 1,131,139"",""$ 6,221,264"",""$ 6,221,264"",Active,M,30,Poland,Inter Milan,,"
"Romelu Lukaku,,""$ 130,516"",""$ 6,786,834"",""$ 2,262,278"",""$ 9,049,112"",""$ 9,049,112"",Active,F,31,Belgium,Napoli,,"
"Marcus Thuram,,""$ 130,516"",""$ 6,786,834"",""$ 565,570"",""$ 7,352,403"",""$ 7,352,403"",Active,F,27,France,Inter Milan,,"
"Federico Dimarco,,""$ 87,011"",""$ 4,524,556"",""$ 791,797"",""$ 5,316,353"",""$ 5,316,353"",Active,D,27,Italy,Inter Milan,,"
"Stefan de Vrij,,""$ 82,660"",""$ 4,298,328"",,""$ 4,298,328"",""$ 4,298,328"",Active,D,33,Netherlands,Inter Milan,,"
