"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),Status,Signed,""Expiration Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029Jun 30, 2030Jun 30, 2031Jun 30, 2032Jun 30, 2035"",Years Remaining 123456710,Net Remaining (USD),Release Clause (USD),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Country,Club,Active,Loan"
"Kylian Mbappé,,""$ 337,077"",""$ 17,528,006"",""$ 22,669,554"",""$ 40,197,560"",Active,""Jul 1, 2024"",""Jun 30, 2029"",4,""$ 70,112,024"",,F,CF,27,France,Real Madrid,True,"
"Vinicius Junior,,""$ 269,662"",""$ 14,022,405"",""$ 7,011,202"",""$ 21,033,607"",Active,""Oct 31, 2023"",""Jun 30, 2027"",2,""$ 28,044,810"",""$ 1,168,533,730"",F,LW,25,Brazil,Real Madrid,True,"
"David Alaba,,""$ 242,695"",""$ 12,620,164"",""$ 3,155,041"",""$ 15,775,205"",Active,""Jul 1, 2021"",""Jun 30, 2026"",1,""$ 12,620,164"",""$ 993,253,670"",D,CB,33,Austria,Real Madrid,True,"
"Robert Lewandowski,,""$ 224,718"",""$ 11,685,337"",""$ 2,921,334"",""$ 14,606,672"",Active,""Jul 19, 2022"",""Jun 30, 2026"",1,""$ 11,685,337"",""$ 584,266,865"",F,CF,37,Poland,Barcelona,True,"
"Jude Bellingham,,""$ 224,718"",""$ 11,685,337"",""$ 2,337,067"",""$ 14,022,405"",Active,""Jul 1, 2023"",""Jun 30, 2029"",4,""$ 46,741,349"",""$ 1,168,533,730"",F,AM,22,England,Real Madrid,True,"
"Jan Oblak,,""$ 224,718"",""$ 11,685,337"",""$ 2,921,334"",""$ 14,606,672"",Active,""Jul 20, 2022"",""Jun 30, 2028"",3,""$ 35,056,012"",,K,GK,33,Slovenia,Atletico Madrid,True,"
"Frenkie de Jong,,""$ 204,943"",""$ 10,657,028"",""$ 3,482,231"",""$ 14,139,258"",Active,""Oct 15, 2025"",""Jun 30, 2029"",4,""$ 42,628,110"",""$ 584,266,865"",M,CM,28,Netherlands,Barcelona,True,"
"Federico Valverde,,""$ 179,774"",""$ 9,348,270"",""$ 2,337,067"",""$ 11,685,337"",Active,""Nov 9, 2023"",""Jun 30, 2029"",4,""$ 37,393,079"",""$ 1,168,533,730"",M,CM,27,Uruguay,Real Madrid,True,"
"Lamine Yamal,,""$ 179,774"",""$ 9,348,270"",""$ 5,842,669"",""$ 15,190,938"",Active,""May 27, 2025"",""Jun 30, 2031"",6,""$ 56,089,619"",""$ 1,168,533,730"",F,RW,18,Spain,Barcelona,True,"
"Raphinha,,""$ 179,774"",""$ 9,348,270"",""$ 2,337,067"",""$ 11,685,337"",Active,""May 22, 2025"",""Jun 30, 2028"",3,""$ 28,044,810"",""$ 1,168,533,730"",F,LW,29,Brazil,Barcelona,True,"
"Nico Williams,,""$ 179,774"",""$ 9,348,270"",""$ 2,337,067"",""$ 11,685,337"",Active,""Jul 4, 2025"",""Jun 30, 2035"",10,""$ 93,482,698"",""$ 111,010,704"",F,LW,23,Spain,Athletic Club,True,"
"Trent Alexander-Arnold,,""$ 179,774"",""$ 9,348,270"",""$ 8,413,443"",""$ 17,761,713"",Active,""Jun 1, 2025"",""Jun 30, 2031"",6,""$ 56,089,619"",,D,RB,27,England,Real Madrid,True,"
"Rodrygo,,""$ 179,774"",""$ 9,348,270"",""$ 2,337,067"",""$ 11,685,337"",Active,""Nov 2, 2023"",""Jun 30, 2028"",3,""$ 28,044,810"",""$ 1,168,533,730"",F,RW,25,Brazil,Real Madrid,True,"
"Jules Koundé,,""$ 168,539"",""$ 8,764,003"",""$ 2,196,843"",""$ 10,960,846"",Active,""Aug 15, 2025"",""Jun 30, 2030"",5,""$ 43,820,015"",""$ 1,168,533,730"",D,RB,27,France,Barcelona,True,"
"Marc-André ter Stegen,,""$ 168,539"",""$ 8,764,003"",""$ 2,337,067"",""$ 11,101,070"",Inactive,""Aug 25, 2023"",""Jun 30, 2028"",3,""$ 26,292,009"",""$ 584,266,865"",K,GK,33,Germany,Barcelona,False,"
"Thibaut Courtois,,""$ 161,797"",""$ 8,413,443"",""$ 2,103,361"",""$ 10,516,804"",Active,""Jun 19, 2025"",""Jun 30, 2027"",2,""$ 16,826,886"",""$ 817,973,611"",K,GK,33,Belgium,Real Madrid,True,"
"Antonio Rüdiger,,""$ 157,303"",""$ 8,179,736"",""$ 2,337,067"",""$ 10,516,804"",Active,""Jul 1, 2022"",""Jun 30, 2026"",1,""$ 8,179,736"",""$ 467,413,492"",D,CB,32,Germany,Real Madrid,True,"
"Éder Militão,,""$ 157,303"",""$ 8,179,736"",""$ 2,044,934"",""$ 10,224,670"",Active,""Jan 23, 2024"",""Jun 30, 2028"",3,""$ 24,539,208"",""$ 1,168,533,730"",D,CB,28,Brazil,Real Madrid,True,"
"Marcus Rashford,,""$ 151,011"",""$ 7,852,547"",""$ 1,963,137"",""$ 9,815,683"",Loan,""Jul 23, 2025"",""Jun 30, 2026"",1,""$ 7,852,547"",,F,LW,28,England,Barcelona,True,"
"Eduardo Camavinga,,""$ 134,831"",""$ 7,011,202"",""$ 1,752,801"",""$ 8,764,003"",Active,""Nov 7, 2023"",""Jun 30, 2029"",4,""$ 28,044,810"",""$ 1,168,533,730"",M,CM,23,France,Real Madrid,True,"
"Julián Alvarez,,""$ 134,831"",""$ 7,011,202"",""$ 1,752,801"",""$ 8,764,003"",Active,""Aug 12, 2024"",""Jun 30, 2030"",5,""$ 35,056,012"",""$ 584,266,865"",F,CF,26,Argentina,Atletico Madrid,True,"
"Dani Olmo,,""$ 134,831"",""$ 7,011,202"",""$ 841,344"",""$ 7,852,547"",Active,""Aug 9, 2024"",""Jun 30, 2030"",5,""$ 35,056,012"",""$ 584,266,865"",F,AM,27,Spain,Barcelona,True,"
"Pedri,,""$ 134,831"",""$ 7,011,202"",""$ 1,963,137"",""$ 8,974,339"",Active,""Jan 30, 2025"",""Jun 30, 2030"",5,""$ 35,056,012"",""$ 1,168,533,730"",M,CM,23,Spain,Barcelona,True,"
"Ronald Araujo,,""$ 134,831"",""$ 7,011,202"",""$ 1,963,137"",""$ 8,974,339"",Active,""Jan 23, 2025"",""Jun 30, 2031"",6,""$ 42,067,214"",""$ 1,168,533,730"",D,CB,26,Uruguay,Barcelona,True,"
"Aurélien Tchouaméni,,""$ 134,831"",""$ 7,011,202"",""$ 1,752,801"",""$ 8,764,003"",Active,""Jul 1, 2022"",""Jun 30, 2028"",3,""$ 21,033,607"",""$ 1,168,533,730"",M,DM,26,France,Real Madrid,True,"
"Ademola Lookman,,""$ 134,831"",""$ 7,011,202"",""$ 1,752,801"",""$ 8,764,003"",Active,""Feb 2, 2026"",""Jun 30, 2030"",5,""$ 35,056,012"",,F,SS,28,Nigeria,Atletico Madrid,True,"
"Iñaki Williams,,""$ 122,921"",""$ 6,391,880"",""$ 1,600,891"",""$ 7,992,771"",Active,""Aug 12, 2019"",""Jun 30, 2028"",3,""$ 19,175,639"",""$ 157,752,054"",F,RW,31,Ghana,Athletic Club,True,"
"Aymeric Laporte,,""$ 112,359"",""$ 5,842,669"",""$ 1,460,667"",""$ 7,303,336"",Active,""Sep 1, 2025"",""Jun 30, 2028"",3,""$ 17,528,006"",,D,CB,31,Spain,Athletic Club,True,"
"Ferland Mendy,,""$ 112,359"",""$ 5,842,669"",""$ 1,460,667"",""$ 7,303,336"",Active,""Jul 1, 2019"",""Jun 30, 2028"",3,""$ 17,528,006"",,D,LB,30,France,Real Madrid,True,"
"Daniel Carvajal,,""$ 112,359"",""$ 5,842,669"",""$ 1,460,667"",""$ 7,303,336"",Active,""Oct 6, 2024"",""Jun 30, 2026"",1,""$ 5,842,669"",""$ 408,986,806"",D,RB,34,Spain,Real Madrid,True,"
"Dani Ceballos,,""$ 112,359"",""$ 5,842,669"",""$ 1,460,667"",""$ 7,303,336"",Active,""Jun 23, 2023"",""Jun 30, 2027"",2,""$ 11,685,337"",,M,CM,29,Spain,Real Madrid,True,"
"Ferran Torres,,""$ 107,865"",""$ 5,608,962"",""$ 1,682,689"",""$ 7,291,650"",Active,""Jan 1, 2022"",""Jun 30, 2027"",2,""$ 11,217,924"",""$ 1,168,533,730"",F,CF,25,Spain,Barcelona,True,"
"Gavi,,""$ 101,123"",""$ 5,258,402"",""$ 1,320,443"",""$ 6,578,845"",Active,""Jan 31, 2025"",""Jun 30, 2030"",5,""$ 26,292,009"",""$ 1,168,533,730"",M,CM,21,Spain,Barcelona,True,"
"Antoine Griezmann,,""$ 101,123"",""$ 5,258,402"",""$ 1,320,443"",""$ 6,578,845"",Active,""Jun 2, 2025"",""Jun 30, 2027"",2,""$ 10,516,804"",""$ 29,213,343"",F,SS,34,France,Atletico Madrid,True,"
"Andreas Christensen,,""$ 97,078"",""$ 5,048,066"",""$ 2,243,585"",""$ 7,291,650"",Active,""Jul 4, 2022"",""Jun 30, 2026"",1,""$ 5,048,066"",""$ 584,266,865"",D,CB,29,Denmark,Barcelona,True,"
"Dean Huijsen,,""$ 96,629"",""$ 5,024,695"",""$ 1,262,016"",""$ 6,286,711"",Active,""Jun 1, 2025"",""Jun 30, 2030"",5,""$ 25,123,475"",,D,CB,20,Spain,Real Madrid,True,"
"Álvaro Carreras,,""$ 96,629"",""$ 5,024,695"",""$ 1,262,016"",""$ 6,286,711"",Active,""Jul 14, 2025"",""Jun 30, 2031"",6,""$ 30,148,170"",,D,LB,22,Spain,Real Madrid,True,"
"Unai Simón,,""$ 89,887"",""$ 4,674,135"",""$ 1,168,534"",""$ 5,842,669"",Active,""May 24, 2024"",""Jun 30, 2029"",4,""$ 18,696,540"",,K,GK,28,Spain,Athletic Club,True,"
"João Cancelo,,""$ 89,887"",""$ 4,674,135"",""$ 1,168,534"",""$ 5,842,669"",Loan,""Jan 13, 2026"",""Jun 30, 2026"",1,""$ 4,674,135"",,D,RB,31,Portugal,Barcelona,True,"
"Marcos Llorente,,""$ 89,887"",""$ 4,674,135"",""$ 1,168,534"",""$ 5,842,669"",Active,""Aug 18, 2021"",""Jun 30, 2027"",2,""$ 9,348,270"",""$ 140,224,048"",D,RB,31,Spain,Atletico Madrid,True,"
"Álex Baena,,""$ 89,887"",""$ 4,674,135"",""$ 1,168,534"",""$ 5,842,669"",Active,""Jul 2, 2025"",""Jun 30, 2030"",5,""$ 23,370,675"",,F,LW,24,Spain,Atletico Madrid,True,"
"Eric García,,""$ 86,292"",""$ 4,487,170"",""$ 1,121,792"",""$ 5,608,962"",Active,""Dec 5, 2025"",""Jun 30, 2031"",6,""$ 26,923,017"",,D,CB,25,Spain,Barcelona,True,"
"Nicolás González,,""$ 80,898"",""$ 4,206,721"",""$ 1,051,680"",""$ 5,258,402"",Loan,""Sep 1, 2025"",""Jun 30, 2026"",1,""$ 4,206,721"",,F,LW,27,Argentina,Atletico Madrid,True,"
"Franco Mastantuono,,""$ 78,651"",""$ 4,089,868"",""$ 1,016,624"",""$ 5,106,492"",Active,""Aug 14, 2025"",""Jun 30, 2031"",6,""$ 24,539,208"",,F,RW,18,Argentina,Real Madrid,True,"
"Alexander Sörloth,,""$ 78,651"",""$ 4,089,868"",""$ 1,028,310"",""$ 5,118,178"",Active,""Aug 3, 2024"",""Jun 30, 2028"",3,""$ 12,269,604"",,F,CF,30,Norway,Atletico Madrid,True,"
"Brahim Díaz,,""$ 78,651"",""$ 4,089,868"",""$ 1,016,624"",""$ 5,106,492"",Active,""Jan 6, 2019"",""Jun 30, 2027"",2,""$ 8,179,736"",,F,RW,26,Morocco,Real Madrid,True,"
"Clément Lenglet,,""$ 78,651"",""$ 4,089,868"",""$ 1,028,310"",""$ 5,118,178"",Active,""Jun 9, 2025"",""Jun 30, 2028"",3,""$ 12,269,604"",,D,CB,30,France,Atletico Madrid,True,"
"Fermín López,,""$ 78,651"",""$ 4,089,868"",""$ 817,974"",""$ 4,907,842"",Active,""Jan 30, 2026"",""Jun 30, 2031"",6,""$ 24,539,208"",""$ 584,266,865"",F,AM,22,Spain,Barcelona,True,"
"Koke,,""$ 71,910"",""$ 3,739,308"",""$ 934,827"",""$ 4,674,135"",Active,""Jun 2, 2025"",""Jun 30, 2026"",1,""$ 3,739,308"",,M,CM,34,Spain,Atletico Madrid,True,"
"Dávid Hancko,,""$ 71,910"",""$ 3,739,308"",""$ 934,827"",""$ 4,674,135"",Active,""Jul 24, 2025"",""Jun 30, 2030"",5,""$ 18,696,540"",,D,CB,28,Slovakia,Atletico Madrid,True,"
"Pablo Barrios,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""May 22, 2025"",""Jun 30, 2030"",5,""$ 17,528,006"",""$ 116,853,373"",M,CM,22,Spain,Atletico Madrid,True,"
"Sofyan Amrabat,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Loan,""Sep 1, 2025"",""Jun 30, 2026"",1,""$ 3,505,601"",,M,DM,29,Morocco,Real Betis,True,"
"Joan García,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Jul 1, 2025"",""Jun 30, 2031"",6,""$ 21,033,607"",,K,GK,24,Spain,Barcelona,True,"
"Isco,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Nov 23, 2025"",""Jun 30, 2028"",3,""$ 10,516,804"",""$ 23,370,675"",F,AM,33,Spain,Real Betis,True,"
"Raúl Asencio,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Jun 14, 2025"",""Jun 30, 2031"",6,""$ 21,033,607"",,D,CB,22,Spain,Real Madrid,True,"
"Mikel Oyarzabal,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Feb 10, 2023"",""Jun 30, 2028"",3,""$ 10,516,804"",""$ 87,640,030"",F,CF,28,Spain,Real Sociedad,True,"
"José Giménez,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Oct 6, 2023"",""Jun 30, 2028"",3,""$ 10,516,804"",,D,CB,31,Uruguay,Atletico Madrid,True,"
"Antony,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Sep 1, 2025"",""Jun 30, 2030"",5,""$ 17,528,006"",,F,RW,25,Brazil,Real Betis,True,"
"Robin Le Normand,,""$ 67,415"",""$ 3,505,601"",""$ 876,400"",""$ 4,382,001"",Active,""Jul 27, 2024"",""Jun 30, 2029"",4,""$ 14,022,405"",,D,CB,29,Spain,Atletico Madrid,True,"
"Fran García,,""$ 56,180"",""$ 2,921,334"",""$ 736,176"",""$ 3,657,511"",Active,""Jul 1, 2023"",""Jun 30, 2027"",2,""$ 5,842,669"",,D,LB,26,Spain,Real Madrid,True,"
"Brais Méndez,,""$ 56,180"",""$ 2,921,334"",""$ 724,491"",""$ 3,645,825"",Active,""Jul 6, 2022"",""Jun 30, 2028"",3,""$ 8,764,003"",""$ 70,112,024"",F,AM,29,Spain,Real Sociedad,True,"
"Thiago Almada,,""$ 56,180"",""$ 2,921,334"",""$ 724,491"",""$ 3,645,825"",Active,""Jul 17, 2025"",""Jun 30, 2030"",5,""$ 14,606,672"",,F,LW,24,Argentina,Atletico Madrid,True,"
"Giovani Lo Celso,,""$ 56,180"",""$ 2,921,334"",""$ 724,491"",""$ 3,645,825"",Active,""Aug 30, 2024"",""Jun 30, 2028"",3,""$ 8,764,003"",,F,AM,29,Argentina,Real Betis,True,"
"Takefusa Kubo,,""$ 56,180"",""$ 2,921,334"",""$ 724,491"",""$ 3,645,825"",Active,""Feb 12, 2024"",""Jun 30, 2029"",4,""$ 11,685,337"",""$ 70,112,024"",F,RW,24,Japan,Real Sociedad,True,"
"Arda Güler,,""$ 56,180"",""$ 2,921,334"",""$ 724,491"",""$ 3,645,825"",Active,""Jul 6, 2023"",""Jun 30, 2029"",4,""$ 11,685,337"",,F,AM,20,Turkey,Real Madrid,True,"
"Borja Mayoral,,""$ 51,685"",""$ 2,687,628"",""$ 666,064"",""$ 3,353,692"",Active,""Aug 1, 2022"",""Jun 30, 2027"",2,""$ 5,375,255"",""$ 23,370,675"",F,CF,28,Spain,Getafe,True,"
"Ansu Fati,,""$ 50,562"",""$ 2,629,201"",""$ 654,379"",""$ 3,283,580"",Inactive,""Jul 1, 2025"",""Jun 30, 2028"",3,""$ 7,887,603"",""$ 1,168,533,730"",F,LW,22,Spain,Barcelona,False,"
"Andriy Lunin,,""$ 49,438"",""$ 2,570,774"",""$ 642,694"",""$ 3,213,468"",Active,""Sep 13, 2024"",""Jun 30, 2030"",5,""$ 12,853,871"",,K,GK,26,Ukraine,Real Madrid,True,"
"Georges Mikautadze,,""$ 49,438"",""$ 2,570,774"",""$ 642,694"",""$ 3,213,468"",Active,""Sep 1, 2025"",""Jun 30, 2031"",6,""$ 15,424,645"",,F,CF,25,Georgia,Villarreal,True,"
"José Gayà,,""$ 49,438"",""$ 2,570,774"",""$ 701,120"",""$ 3,271,894"",Active,""Oct 19, 2022"",""Jun 30, 2027"",2,""$ 5,141,548"",""$ 116,853,373"",D,LB,30,Spain,Valencia,True,"
"Yuri Berchiche,,""$ 46,067"",""$ 2,395,494"",""$ 595,952"",""$ 2,991,446"",Active,""May 21, 2025"",""Jun 30, 2026"",1,""$ 2,395,494"",""$ 116,853,373"",D,LB,35,Spain,Athletic Club,True,"
"Álex Remiro,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Jun 29, 2022"",""Jun 30, 2027"",2,""$ 4,674,135"",""$ 81,797,361"",K,GK,30,Spain,Real Sociedad,True,"
"Gonçalo Guedes,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 4, 2025"",""Jun 30, 2028"",3,""$ 7,011,202"",,F,LW,29,Portugal,Real Sociedad,True,"
"Vedat Muriqi,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Jul 9, 2025"",""Jun 30, 2029"",4,""$ 9,348,270"",,F,CF,31,Kosovo,Mallorca,True,"
"Juan Foyth,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 10, 2025"",""Jun 30, 2029"",4,""$ 9,348,270"",,D,CB,28,Argentina,Villarreal,True,"
"Yangel Herrera,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Sep 1, 2025"",""Jun 30, 2030"",5,""$ 11,685,337"",,M,CM,28,Venezuela,Real Sociedad,True,"
"Cucho Hernández,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Feb 3, 2025"",""Jun 30, 2030"",5,""$ 11,685,337"",,F,CF,26,Colombia,Real Betis,True,"
"Tanguy Nianzou,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 17, 2022"",""Jun 30, 2027"",2,""$ 4,674,135"",""$ 105,168,036"",D,CB,23,France,Sevilla,True,"
"Thomas Partey,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 7, 2025"",""Jun 30, 2026"",1,""$ 2,337,067"",,M,DM,32,Ghana,Villarreal,True,"
"Carlos Soler,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Sep 1, 2025"",""Jun 30, 2029"",4,""$ 9,348,270"",,M,CM,29,Spain,Real Sociedad,True,"
"André Silva,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 18, 2025"",""Jun 30, 2026"",1,""$ 2,337,067"",,F,CF,30,Portugal,Elche,True,"
"Oihan Sancet,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Apr 1, 2023"",""Jun 30, 2032"",7,""$ 16,359,472"",""$ 93,482,698"",F,AM,25,Spain,Athletic Club,True,"
"Hugo Duro,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Jul 4, 2024"",""Jun 30, 2028"",3,""$ 7,011,202"",,F,CF,26,Spain,Valencia,True,"
"César Azpilicueta,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 29, 2025"",""Jun 30, 2026"",1,""$ 2,337,067"",,D,CB,36,Spain,Sevilla,True,"
"Johnny,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Jul 16, 2025"",""Jun 30, 2030"",5,""$ 11,685,337"",,M,DM,24,United States,Atletico Madrid,True,"
"Marcos Alonso,,""$ 44,944"",""$ 2,337,067"",""$ 584,267"",""$ 2,921,334"",Active,""Aug 28, 2024"",""Jun 30, 2026"",1,""$ 2,337,067"",,D,CB,35,Spain,Celta Vigo,True,"
"Pau Cubarsí,,""$ 43,146"",""$ 2,243,585"",""$ 560,896"",""$ 2,804,481"",Active,""Feb 13, 2025"",""Jun 30, 2029"",4,""$ 8,974,339"",""$ 584,266,865"",D,CB,19,Spain,Barcelona,True,"
"Gabriel Suazo,,""$ 43,146"",""$ 2,243,585"",""$ 560,896"",""$ 2,804,481"",Active,""Jul 12, 2025"",""Jun 30, 2028"",3,""$ 6,730,754"",,D,LB,28,Chile,Sevilla,True,"
"Nemanja Gudelj,,""$ 42,696"",""$ 2,220,214"",""$ 560,896"",""$ 2,781,110"",Active,""Jun 24, 2023"",""Jun 30, 2026"",1,""$ 2,220,214"",,M,DM,34,Serbia,Sevilla,True,"
"Mouctar Diakhaby,,""$ 42,696"",""$ 2,220,214"",""$ 560,896"",""$ 2,781,110"",Active,""Jan 16, 2023"",""Jun 30, 2027"",2,""$ 4,440,428"",,D,CB,29,Guinea,Valencia,True,"
"Martin Valjent,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Jan 16, 2025"",""Jun 30, 2029"",4,""$ 8,413,443"",,D,CB,30,Slovakia,Mallorca,True,"
"Duje Caleta-Car,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Loan,""Aug 1, 2025"",""Jun 30, 2026"",1,""$ 2,103,361"",,D,CB,29,Croatia,Real Sociedad,True,"
"Dani Parejo,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Mar 26, 2024"",""Jun 30, 2026"",1,""$ 2,103,361"",,M,CM,36,Spain,Villarreal,True,"
"Mauro Arambarri,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Feb 6, 2023"",""Jun 30, 2028"",3,""$ 6,310,082"",,M,CM,30,Uruguay,Getafe,True,"
"Gerard Moreno,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Aug 9, 2021"",""Jun 30, 2027"",2,""$ 4,206,721"",""$ 116,853,373"",F,CF,33,Spain,Villarreal,True,"
"David López,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Dec 19, 2023"",""Jun 30, 2026"",1,""$ 2,103,361"",,D,CB,36,Spain,Girona,True,"
"Renato Veiga,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Aug 22, 2025"",""Jun 30, 2032"",7,""$ 14,723,525"",,D,CB,22,Portugal,Villarreal,True,"
"Junior Firpo,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Jul 17, 2025"",""Jun 30, 2028"",3,""$ 6,310,082"",,D,LB,29,Dominican Republic,Real Betis,True,"
"Giuliano Simeone,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Jan 15, 2026"",""Jun 30, 2030"",5,""$ 10,516,804"",""$ 584,266,865"",F,RW,23,Argentina,Atletico Madrid,True,"
"Lucas Beltrán,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Loan,""Sep 1, 2025"",""Jun 30, 2026"",1,""$ 2,103,361"",,F,CF,24,Argentina,Valencia,True,"
